[Script Info]
Title: NARUTO -ナルト- 第092話 「YESかNOか！ツナデの回答」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.57,0:00:10.94,Default,,0000,0000,0000,,We are Fi ght i ng Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:11.04,0:00:14.48,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.58,0:00:18.07,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.18,0:00:21.62,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.68,0:00:25.18,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.32,0:00:27.31,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:28.96,0:00:36.06,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.16,0:00:43.09,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.20,0:00:50.47,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.61,0:00:56.57,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.68,0:01:01.02,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:01.12,0:01:04.61,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.69,0:01:08.15,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.30,0:01:11.75,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:11.87,0:01:15.36,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.47,0:01:18.96,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:19.11,0:01:22.60,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.68,0:01:26.14,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.28,0:01:27.15,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:02:07.82,0:02:10.81,Default,,0000,0000,0000,,第92話\N綱手的回答是YES還NO
Dialogue: Marked=0,0:02:17.73,0:02:18.82,Default,,0000,0000,0000,,不行
Dialogue: Marked=0,0:02:20.64,0:02:21.69,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:02:22.24,0:02:23.10,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:02:23.20,0:02:26.14,Default,,0000,0000,0000,,我明天...絕對要...
Dialogue: Marked=0,0:02:38.29,0:02:40.65,Default,,0000,0000,0000,,只有妳有辦法
Dialogue: Marked=0,0:02:40.72,0:02:42.49,Default,,0000,0000,0000,,可以把大蛇丸大人的手治好
Dialogue: Marked=0,0:02:44.76,0:02:46.59,Default,,0000,0000,0000,,我們能不能做個交易呢
Dialogue: Marked=0,0:02:49.70,0:02:52.76,Default,,0000,0000,0000,,我可以\N讓妳深愛的弟弟和男人
Dialogue: Marked=0,0:02:52.87,0:02:55.50,Default,,0000,0000,0000,,兩個都起死回生
Dialogue: Marked=0,0:02:55.60,0:02:58.83,Default,,0000,0000,0000,,就用我開發出來的禁忌之術
Dialogue: Marked=0,0:02:59.81,0:03:02.07,Default,,0000,0000,0000,,妳不想見見他們兩個人嗎
Dialogue: Marked=0,0:03:02.18,0:03:03.37,Default,,0000,0000,0000,,綱手
Dialogue: Marked=0,0:03:03.78,0:03:07.74,Default,,0000,0000,0000,,您千萬不可以\N被他們說的話給騙了
Dialogue: Marked=0,0:03:07.85,0:03:09.41,Default,,0000,0000,0000,,難道您忘記了
Dialogue: Marked=0,0:03:09.55,0:03:13.15,Default,,0000,0000,0000,,那兩個人和您的\N夢想跟願望了嗎
Dialogue: Marked=0,0:03:13.82,0:03:15.45,Default,,0000,0000,0000,,那我就直說了
Dialogue: Marked=0,0:03:15.59,0:03:17.06,Default,,0000,0000,0000,,綱手
Dialogue: Marked=0,0:03:17.16,0:03:18.75,Default,,0000,0000,0000,,木葉忍者村要求妳
Dialogue: Marked=0,0:03:18.86,0:03:21.76,Default,,0000,0000,0000,,現在立刻繼任第五代火影
