[Script Info]
Title: NARUTO -ナルト- 第095話 「五代目火影 命を賭けた闘い！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.53,0:00:10.83,Default,,0000,0000,0000,,We are Fi ght i ng Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:10.94,0:00:14.43,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.54,0:00:17.98,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.08,0:00:21.57,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.68,0:00:25.18,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.25,0:00:27.22,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:28.86,0:00:35.89,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.03,0:00:43.10,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.17,0:00:50.41,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.55,0:00:56.58,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.65,0:01:00.92,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:01.06,0:01:04.51,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.63,0:01:08.12,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.20,0:01:11.69,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:11.83,0:01:15.33,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.40,0:01:18.93,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:19.07,0:01:22.53,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.64,0:01:26.14,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.21,0:01:27.15,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:31.09,0:01:32.35,Default,,0000,0000,0000,,告訴你
Dialogue: Marked=0,0:01:32.42,0:01:35.22,Default,,0000,0000,0000,,我向來都是說到做到的
Dialogue: Marked=0,0:01:37.33,0:01:40.56,Default,,0000,0000,0000,,這就是我的忍道
Dialogue: Marked=0,0:01:41.43,0:01:42.95,Default,,0000,0000,0000,,如果就這麼死了的話
Dialogue: Marked=0,0:01:43.06,0:01:44.86,Default,,0000,0000,0000,,不管夢想還是其它\N就什麼都沒有了
Dialogue: Marked=0,0:01:44.93,0:01:48.77,Default,,0000,0000,0000,,夠了，你快走，快逃走吧
Dialogue: Marked=0,0:01:48.87,0:01:50.90,Default,,0000,0000,0000,,我會就我們的賭注
Dialogue: Marked=0,0:01:50.97,0:01:54.41,Default,,0000,0000,0000,,要妳把那個\N不吉利的首飾送給我的
Dialogue: Marked=0,0:02:02.25,0:02:03.38,Default,,0000,0000,0000,,告訴妳
Dialogue: Marked=0,0:02:04.05,0:02:06.61,Default,,0000,0000,0000,,在我成為火影之前
Dialogue: Marked=0,0:02:06.75,0:02:08.95,Default,,0000,0000,0000,,我是絕對不會死的
Dialogue: Marked=0,0:02:13.63,0:02:15.62,Default,,0000,0000,0000,,這樣子你就沒有辦法逃了
Dialogue: Marked=0,0:02:15.76,0:02:16.86,Default,,0000,0000,0000,,接招吧
Dialogue: Marked=0,0:02:26.91,0:02:28.27,Default,,0000,0000,0000,,難...難道...
Dialogue: Marked=0,0:02:30.98,0:02:34.28,Default,,0000,0000,0000,,第95話\N第五代火影賭上性命的戰鬥
Dialogue: Marked=0,0:02:35.85,0:02:37.04,Default,,0000,0000,0000,,螺旋丸
Dialogue: Marked=0,0:02:39.75,0:02:41.05,Default,,0000,0000,0000,,這...這是
Dialogue: Marked=0,0:03:39.48,0:03:42.28,Default,,0000,0000,0000,,鳴人那傢伙，還真的成功了
Dialogue: Marked=0,0:03:43.15,0:03:45.14,Default,,0000,0000,0000,,那個九尾的小鬼
Dialogue: Marked=0,0:03:45.29,0:03:47.41,Default,,0000,0000,0000,,那種小鬼居然會那種忍術
Dialogue: Marked=0,0:03:48.09,0:03:50.42,Default,,0000,0000,0000,,難...難道...
