[Script Info]
Title: NARUTO -ナルト- 第096話 「三すくみの戦い」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.74,0:00:11.00,Default,,0000,0000,0000,,We are Fi ght i ng Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:11.07,0:00:14.56,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.68,0:00:18.17,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.31,0:00:21.75,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.82,0:00:25.31,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.45,0:00:27.32,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:29.12,0:00:36.16,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.26,0:00:43.26,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.41,0:00:50.61,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.68,0:00:56.67,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.79,0:01:01.19,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:01.29,0:01:04.78,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.86,0:01:08.32,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.46,0:01:11.90,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:12.03,0:01:15.53,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.60,0:01:19.10,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:19.24,0:01:22.73,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.81,0:01:26.27,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.35,0:01:27.21,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:43.60,0:01:44.93,Default,,0000,0000,0000,,第96話 三忍間的攻防
Dialogue: Marked=0,0:01:48.34,0:01:49.33,Default,,0000,0000,0000,,爸爸
Dialogue: Marked=0,0:01:59.25,0:02:00.04,Default,,0000,0000,0000,,糟糕了
Dialogue: Marked=0,0:02:00.58,0:02:01.61,Default,,0000,0000,0000,,快啊，蛤蟆龍
Dialogue: Marked=0,0:02:01.75,0:02:03.08,Default,,0000,0000,0000,,我們趕快離開這裡吧
Dialogue: Marked=0,0:02:04.12,0:02:05.61,Default,,0000,0000,0000,,為什麼
Dialogue: Marked=0,0:02:05.75,0:02:07.24,Default,,0000,0000,0000,,不要問了，趕快來
Dialogue: Marked=0,0:02:17.90,0:02:21.63,Default,,0000,0000,0000,,萬蛇跟大蛇丸，活蝓和綱手
Dialogue: Marked=0,0:02:22.44,0:02:25.34,Default,,0000,0000,0000,,這些全都是好久不見的面孔了
Dialogue: Marked=0,0:02:30.15,0:02:33.31,Default,,0000,0000,0000,,你現在是打算開同學會是嗎
Dialogue: Marked=0,0:02:33.45,0:02:34.68,Default,,0000,0000,0000,,自來也
Dialogue: Marked=0,0:02:34.78,0:02:35.98,Default,,0000,0000,0000,,傻瓜
Dialogue: Marked=0,0:02:36.08,0:02:37.95,Default,,0000,0000,0000,,我已經很久沒有召喚你出來了
Dialogue: Marked=0,0:02:38.05,0:02:40.45,Default,,0000,0000,0000,,你就別開這種無聊的玩笑
Dialogue: Marked=0,0:02:41.22,0:02:44.82,Default,,0000,0000,0000,,我想把這長久以來的因緣\N做個了斷
Dialogue: Marked=0,0:02:46.06,0:02:49.62,Default,,0000,0000,0000,,我今天要在這裡\N把大蛇丸解決掉
Dialogue: Marked=0,0:02:53.03,0:02:54.66,Default,,0000,0000,0000,,大蛇丸
Dialogue: Marked=0,0:02:54.74,0:02:58.70,Default,,0000,0000,0000,,你別召喚本大爺出來\N處理這種麻煩事好不好
