[Script Info]
Title: NARUTO -ナルト- 第097話 「ナルトの湯けむり珍道中」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.67,0:00:10.93,Default,,0000,0000,0000,,We are Fi ght i ng Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:11.04,0:00:14.53,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.64,0:00:18.04,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.15,0:00:21.64,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.78,0:00:25.28,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.39,0:00:27.25,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:29.02,0:00:36.06,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.13,0:00:43.20,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.30,0:00:50.47,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.58,0:00:56.57,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.65,0:01:01.05,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:01.12,0:01:04.65,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.79,0:01:08.29,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.36,0:01:11.80,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:11.87,0:01:15.39,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.54,0:01:19.03,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:19.11,0:01:22.57,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.64,0:01:26.17,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.31,0:01:27.11,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:34.09,0:01:35.06,Default,,0000,0000,0000,,溫泉?
Dialogue: Marked=0,0:01:35.12,0:01:36.11,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:01:36.26,0:01:38.62,Default,,0000,0000,0000,,在這個街道的前面不遠處
Dialogue: Marked=0,0:01:38.69,0:01:40.32,Default,,0000,0000,0000,,有一個很棒的溫泉街
Dialogue: Marked=0,0:01:41.13,0:01:42.60,Default,,0000,0000,0000,,湯之里溫泉
Dialogue: Marked=0,0:01:43.26,0:01:46.29,Default,,0000,0000,0000,,據說浸泡後有消除疲勞\N與美容的功效
Dialogue: Marked=0,0:01:47.07,0:01:49.06,Default,,0000,0000,0000,,不是要直接回村子裡去的嗎
Dialogue: Marked=0,0:01:49.14,0:01:50.57,Default,,0000,0000,0000,,大家都在等我們耶
Dialogue: Marked=0,0:01:50.64,0:01:52.47,Default,,0000,0000,0000,,鳴人說的沒有錯
Dialogue: Marked=0,0:01:52.57,0:01:54.60,Default,,0000,0000,0000,,現在是村子的非常時期
Dialogue: Marked=0,0:01:54.68,0:01:56.80,Default,,0000,0000,0000,,沒有時間在路上磨蹭了
Dialogue: Marked=0,0:01:56.95,0:02:00.11,Default,,0000,0000,0000,,就算晚個一兩天回去\N也沒什麼關係吧
Dialogue: Marked=0,0:02:02.48,0:02:04.48,Default,,0000,0000,0000,,聽說很受少女們的青睞
Dialogue: Marked=0,0:02:04.59,0:02:06.71,Default,,0000,0000,0000,,而且是男女共浴
