[Script Info]
Title: NARUTO -ナルト- 第098話 「忍者を辞めろ！ツナデの通告」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.50,0:00:10.87,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:11.01,0:00:14.50,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.61,0:00:18.05,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.15,0:00:21.64,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.75,0:00:25.21,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.29,0:00:27.15,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:28.92,0:00:35.89,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.00,0:00:43.13,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.20,0:00:50.47,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.61,0:00:56.57,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.68,0:01:00.98,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:01.12,0:01:04.61,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.69,0:01:08.18,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.26,0:01:11.72,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:11.87,0:01:15.36,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.44,0:01:18.93,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:19.01,0:01:22.53,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.68,0:01:26.11,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.21,0:01:27.04,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:40.56,0:01:43.16,Default,,0000,0000,0000,,第98話\N綱手的通告，放棄當忍者吧
Dialogue: Marked=0,0:01:58.25,0:01:59.44,Default,,0000,0000,0000,,很好，赤丸
Dialogue: Marked=0,0:01:59.58,0:02:03.07,Default,,0000,0000,0000,,你成功做出了\N空中動態標記了
Dialogue: Marked=0,0:02:04.25,0:02:06.31,Default,,0000,0000,0000,,再來是旋轉三次
Dialogue: Marked=0,0:02:06.42,0:02:07.68,Default,,0000,0000,0000,,確認你的目標
Dialogue: Marked=0,0:02:14.23,0:02:15.92,Default,,0000,0000,0000,,這樣算是出來散步嗎
Dialogue: Marked=0,0:02:16.56,0:02:18.26,Default,,0000,0000,0000,,不，不算
Dialogue: Marked=0,0:02:19.47,0:02:22.06,Default,,0000,0000,0000,,連靜下心來採集昆蟲都辦不到
Dialogue: Marked=0,0:02:23.87,0:02:25.43,Default,,0000,0000,0000,,我覺得很好啊
Dialogue: Marked=0,0:02:25.57,0:02:29.03,Default,,0000,0000,0000,,我們三個人都有自己最拿手\N和喜歡做的事情
Dialogue: Marked=0,0:02:30.21,0:02:31.64,Default,,0000,0000,0000,,妳也可以自己去發掘啊
Dialogue: Marked=0,0:02:33.05,0:02:34.11,Default,,0000,0000,0000,,說的也是
Dialogue: Marked=0,0:02:35.15,0:02:36.48,Default,,0000,0000,0000,,怎麼了嗎
Dialogue: Marked=0,0:02:38.42,0:02:39.85,Default,,0000,0000,0000,,妳找我應該有事吧
Dialogue: Marked=0,0:02:45.73,0:02:47.56,Default,,0000,0000,0000,,把我剛才講的當作提示
