[Script Info]
Title: NARUTO -ナルト- 第100話 「熱血師弟の絆〜男が忍道を貫くとき〜」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.80,0:00:11.10,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:11.21,0:00:14.66,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.74,0:00:18.24,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.35,0:00:21.84,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.95,0:00:25.39,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.49,0:00:27.46,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:29.19,0:00:36.15,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.30,0:00:43.33,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.41,0:00:50.64,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.71,0:00:56.78,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.89,0:01:01.19,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:01.32,0:01:04.85,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.93,0:01:08.38,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.50,0:01:11.95,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:12.10,0:01:15.59,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.67,0:01:19.16,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:19.31,0:01:22.80,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.91,0:01:26.37,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.45,0:01:27.31,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:37.53,0:01:39.32,Default,,0000,0000,0000,,老師再見...
Dialogue: Marked=0,0:01:39.46,0:01:41.79,Default,,0000,0000,0000,,再見...\N伊魯卡老師，再見
Dialogue: Marked=0,0:01:41.90,0:01:42.95,Default,,0000,0000,0000,,再見
Dialogue: Marked=0,0:01:43.80,0:01:45.77,Default,,0000,0000,0000,,今天教你們的變身之術
Dialogue: Marked=0,0:01:45.87,0:01:47.60,Default,,0000,0000,0000,,回家之後要好好的練習喔
Dialogue: Marked=0,0:01:48.24,0:01:51.60,Default,,0000,0000,0000,,還有，明天要舉辦\N第五代火影大人的就任儀式
Dialogue: Marked=0,0:01:51.71,0:01:53.64,Default,,0000,0000,0000,,別忘了告訴家裡的人
Dialogue: Marked=0,0:01:54.21,0:01:55.30,Default,,0000,0000,0000,,好~
Dialogue: Marked=0,0:01:59.28,0:02:00.21,Default,,0000,0000,0000,,木葉丸
Dialogue: Marked=0,0:02:00.78,0:02:03.05,Default,,0000,0000,0000,,有什麼事嗎，伊魯卡老師
