[Script Info]
Title: NARUTO -ナルト- 第102話 「いざ新任務 義理と人情と茶國を救え！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.47,0:00:10.77,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:10.91,0:00:14.34,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.48,0:00:17.93,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.08,0:00:21.52,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.65,0:00:25.14,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.25,0:00:27.19,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:28.82,0:00:35.89,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.03,0:00:43.03,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.14,0:00:50.37,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.45,0:00:56.51,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.58,0:01:00.92,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:01.02,0:01:04.51,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.66,0:01:08.10,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.20,0:01:11.69,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:11.83,0:01:15.23,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.37,0:01:18.86,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:18.94,0:01:22.43,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.51,0:01:26.00,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.15,0:01:26.94,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:39.73,0:01:41.72,Default,,0000,0000,0000,,看樣子木葉忍者村就快到了
Dialogue: Marked=0,0:01:42.43,0:01:43.62,Default,,0000,0000,0000,,大家都到齊了嗎
Dialogue: Marked=0,0:01:43.73,0:01:44.66,Default,,0000,0000,0000,,是...
Dialogue: Marked=0,0:01:47.47,0:01:48.94,Default,,0000,0000,0000,,大政大哥
Dialogue: Marked=0,0:01:49.00,0:01:50.23,Default,,0000,0000,0000,,少了一個人耶
Dialogue: Marked=0,0:01:50.64,0:01:52.50,Default,,0000,0000,0000,,什麼?是哪一個
Dialogue: Marked=0,0:01:54.38,0:01:55.27,Default,,0000,0000,0000,,伊馱天
Dialogue: Marked=0,0:01:55.41,0:01:56.74,Default,,0000,0000,0000,,是森乃伊馱天
Dialogue: Marked=0,0:01:58.15,0:01:59.98,Default,,0000,0000,0000,,真是的，那個毛頭小子
Dialogue: Marked=0,0:02:00.48,0:02:02.64,Default,,0000,0000,0000,,怎麼辦呢?還要等他嗎
Dialogue: Marked=0,0:02:02.75,0:02:04.01,Default,,0000,0000,0000,,也只好等了
Dialogue: Marked=0,0:02:06.65,0:02:07.64,Default,,0000,0000,0000,,你是什麼人
Dialogue: Marked=0,0:02:09.42,0:02:12.45,Default,,0000,0000,0000,,你們是茶之國的\N山葵一家派來的吧
Dialogue: Marked=0,0:02:13.09,0:02:14.46,Default,,0000,0000,0000,,你到底是什麼人
Dialogue: Marked=0,0:02:18.83,0:02:20.93,Default,,0000,0000,0000,,你們最好秤秤\N自己到底有幾兩重
Dialogue: Marked=0,0:02:21.07,0:02:22.63,Default,,0000,0000,0000,,像你們這種小混混
Dialogue: Marked=0,0:02:22.74,0:02:24.43,Default,,0000,0000,0000,,不可能是忍者的對手
Dialogue: Marked=0,0:02:41.19,0:02:42.66,Default,,0000,0000,0000,,你們放心好了
Dialogue: Marked=0,0:02:42.76,0:02:44.62,Default,,0000,0000,0000,,這不會要你們的命的
Dialogue: Marked=0,0:02:44.73,0:02:45.85,Default,,0000,0000,0000,,有得到教訓的話
Dialogue: Marked=0,0:02:45.96,0:02:49.19,Default,,0000,0000,0000,,你們就不要去參加\N轟大社的賽跑活動了
Dialogue: Marked=0,0:02:54.47,0:02:55.49,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:02:57.51,0:02:58.80,Default,,0000,0000,0000,,再怎麼樣也要把這封信
Dialogue: Marked=0,0:02:58.87,0:03:00.67,Default,,0000,0000,0000,,送到木葉忍者村裡才行
Dialogue: Marked=0,0:03:22.90,0:03:25.02,Default,,0000,0000,0000,,好，要執行任務了
Dialogue: Marked=0,0:03:25.17,0:03:26.69,Default,,0000,0000,0000,,我會卯足勁幹活的
Dialogue: Marked=0,0:03:28.17,0:03:30.64,Default,,0000,0000,0000,,可是還沒有看到卡卡西老師
