[Script Info]
Title: NARUTO -ナルト- 第103話 「ナルト撃沈！？陰謀うずまく大海原」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.57,0:00:10.87,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:10.97,0:00:14.46,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.58,0:00:18.01,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.11,0:00:21.61,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.72,0:00:25.15,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.25,0:00:27.15,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:28.99,0:00:35.99,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.06,0:00:43.20,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.27,0:00:50.44,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.51,0:00:56.58,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.72,0:01:01.02,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:01.12,0:01:04.61,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.76,0:01:08.22,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.30,0:01:11.79,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:11.87,0:01:15.43,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.54,0:01:18.97,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:19.04,0:01:22.53,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.64,0:01:26.08,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.21,0:01:27.04,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:38.69,0:01:41.16,Default,,0000,0000,0000,,您覺得怎麼樣呢，葵大人
Dialogue: Marked=0,0:01:41.86,0:01:44.20,Default,,0000,0000,0000,,現在我跟福助一起走
Dialogue: Marked=0,0:01:44.87,0:01:46.80,Default,,0000,0000,0000,,你們負責去追伊馱天
Dialogue: Marked=0,0:01:46.87,0:01:47.70,Default,,0000,0000,0000,,是
Dialogue: Marked=0,0:01:50.64,0:01:53.27,Default,,0000,0000,0000,,伊馱天，海是在那邊才對啦
Dialogue: Marked=0,0:01:53.34,0:01:56.31,Default,,0000,0000,0000,,你到底要去哪裡啊，快回來
Dialogue: Marked=0,0:01:57.41,0:01:58.67,Default,,0000,0000,0000,,誰要回去啊
Dialogue: Marked=0,0:02:08.69,0:02:09.68,Default,,0000,0000,0000,,出發了
Dialogue: Marked=0,0:02:09.79,0:02:10.55,Default,,0000,0000,0000,,好
Dialogue: Marked=0,0:02:14.53,0:02:16.93,Default,,0000,0000,0000,,那個小鬼\N他到底想要幹什麼
