[Script Info]
Title: NARUTO -ナルト- 第105話 「ゴール直前！雷鳴とどろく大激闘」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.41,0:00:19.51,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.68,0:00:28.45,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.59,0:00:33.86,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:34.80,0:00:37.99,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.23,0:00:43.97,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:44.94,0:00:51.90,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.42,0:00:56.71,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:56.79,0:01:03.92,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:03.99,0:01:10.92,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.00,0:01:18.00,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.14,0:01:27.28,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:38.49,0:01:40.83,Default,,0000,0000,0000,,好了，喝完了就唱唱歌吧
Dialogue: Marked=0,0:01:42.53,0:01:43.79,Default,,0000,0000,0000,,唉呀
Dialogue: Marked=0,0:01:43.93,0:01:46.70,Default,,0000,0000,0000,,就算是提前慶祝\N也未免太舖張了
Dialogue: Marked=0,0:01:48.50,0:01:49.73,Default,,0000,0000,0000,,已經解決掉了嗎
Dialogue: Marked=0,0:01:51.17,0:01:51.97,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:01:53.68,0:01:54.57,Default,,0000,0000,0000,,對了
Dialogue: Marked=0,0:01:54.71,0:01:56.23,Default,,0000,0000,0000,,已經開始下起雨來了喔
Dialogue: Marked=0,0:01:56.85,0:01:59.87,Default,,0000,0000,0000,,這種消遣的比賽\N應該趕快讓它結束掉不是嗎
Dialogue: Marked=0,0:02:01.48,0:02:02.71,Default,,0000,0000,0000,,我知道了
Dialogue: Marked=0,0:02:05.35,0:02:07.29,Default,,0000,0000,0000,,那我就準備開始跑囉
Dialogue: Marked=0,0:02:28.64,0:02:30.61,Default,,0000,0000,0000,,在...在這上面嗎
Dialogue: Marked=0,0:02:30.75,0:02:31.58,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:02:32.55,0:02:35.28,Default,,0000,0000,0000,,這裡的階梯還真是長耶
Dialogue: Marked=0,0:02:35.92,0:02:38.98,Default,,0000,0000,0000,,這裡的別名\N又稱為心臟停止跳動的石階
Dialogue: Marked=0,0:02:40.36,0:02:43.48,Default,,0000,0000,0000,,有意思，我就一口氣衝上去
Dialogue: Marked=0,0:02:43.59,0:02:46.62,Default,,0000,0000,0000,,看我的
Dialogue: Marked=0,0:02:51.37,0:02:54.16,Default,,0000,0000,0000,,等等，這不是真的吧
Dialogue: Marked=0,0:02:54.30,0:02:56.93,Default,,0000,0000,0000,,那傢伙怎麼會有這麼好的體力
Dialogue: Marked=0,0:03:05.41,0:03:06.24,Default,,0000,0000,0000,,老大
Dialogue: Marked=0,0:03:08.12,0:03:10.61,Default,,0000,0000,0000,,聽說伊馱天那個傢伙\N正往這邊過來
