[Script Info]
Title: NARUTO -ナルト- 第106話 「届くかイダテ！執念のラストスパート！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.54,0:00:19.57,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.72,0:00:28.45,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.52,0:00:33.89,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:34.90,0:00:38.02,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.27,0:00:43.90,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:44.91,0:00:51.94,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.42,0:00:56.82,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:56.92,0:01:03.95,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.06,0:01:10.97,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.07,0:01:18.06,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.17,0:01:27.41,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:40.43,0:01:41.90,Default,,0000,0000,0000,,還沒嗎
Dialogue: Marked=0,0:01:42.03,0:01:44.29,Default,,0000,0000,0000,,伊馱天還沒回來嗎
Dialogue: Marked=0,0:01:48.20,0:01:51.17,Default,,0000,0000,0000,,大人\N您上次交待給小的調查的事情
Dialogue: Marked=0,0:01:51.31,0:01:52.93,Default,,0000,0000,0000,,終於掌握到證據了
Dialogue: Marked=0,0:01:54.58,0:01:55.51,Default,,0000,0000,0000,,是嗎
Dialogue: Marked=0,0:01:59.11,0:02:00.08,Default,,0000,0000,0000,,辛苦了
Dialogue: Marked=0,0:02:01.88,0:02:03.85,Default,,0000,0000,0000,,大人，怎麼了
Dialogue: Marked=0,0:02:03.92,0:02:06.22,Default,,0000,0000,0000,,沒事，沒什麼
Dialogue: Marked=0,0:02:09.89,0:02:11.88,Default,,0000,0000,0000,,要集中查克拉
Dialogue: Marked=0,0:02:44.53,0:02:45.82,Default,,0000,0000,0000,,得救了
Dialogue: Marked=0,0:02:49.33,0:02:51.23,Default,,0000,0000,0000,,佐助，不要緊吧
