[Script Info]
Title: NARUTO -ナルト- 第107話 「オマエと戦いたい！ついに激突、サスケVSナルト」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.54,0:00:19.54,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.68,0:00:28.56,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.66,0:00:33.96,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:34.93,0:00:38.13,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.20,0:00:43.90,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:44.91,0:00:51.94,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.42,0:00:56.71,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:56.82,0:01:03.99,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.13,0:01:10.96,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.03,0:01:18.06,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.21,0:01:27.41,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:43.80,0:01:45.32,Default,,0000,0000,0000,,不過還好
Dialogue: Marked=0,0:01:45.43,0:01:47.73,Default,,0000,0000,0000,,因為佐助的傷勢並不是很嚴重
Dialogue: Marked=0,0:01:49.57,0:01:51.40,Default,,0000,0000,0000,,鳴人那傢伙也可以放心了
Dialogue: Marked=0,0:02:06.86,0:02:09.09,Default,,0000,0000,0000,,看來傳聞是真的了
Dialogue: Marked=0,0:02:09.19,0:02:12.42,Default,,0000,0000,0000,,村子裡的名門宇智波一族\N唯一存活下來的
Dialogue: Marked=0,0:02:12.53,0:02:14.86,Default,,0000,0000,0000,,就是資質最差的傢伙了
Dialogue: Marked=0,0:02:22.57,0:02:25.33,Default,,0000,0000,0000,,佐助，你肚子餓了吧
Dialogue: Marked=0,0:02:25.44,0:02:27.34,Default,,0000,0000,0000,,有沒有想吃什麼東西
Dialogue: Marked=0,0:02:27.44,0:02:29.34,Default,,0000,0000,0000,,我去幫你買些回來
Dialogue: Marked=0,0:02:36.75,0:02:41.19,Default,,0000,0000,0000,,第107話 我想和你戰鬥\N終於起衝突，佐助對鳴人
Dialogue: Marked=0,0:02:43.22,0:02:45.95,Default,,0000,0000,0000,,老實說這件事情\N我並不是很清楚
Dialogue: Marked=0,0:02:46.66,0:02:49.43,Default,,0000,0000,0000,,不過最後一場考試因故中斷
Dialogue: Marked=0,0:02:49.53,0:02:55.94,Default,,0000,0000,0000,,好像也有人提出這次合格者\N最好以從缺做為結尾的意見
Dialogue: Marked=0,0:02:56.47,0:02:59.10,Default,,0000,0000,0000,,可是\N我聽說去世的第三代火影
Dialogue: Marked=0,0:02:59.17,0:03:01.87,Default,,0000,0000,0000,,對你的比賽給了很高的評價
Dialogue: Marked=0,0:03:02.78,0:03:05.44,Default,,0000,0000,0000,,好像也有人打算\N推薦你晉升中忍
Dialogue: Marked=0,0:03:06.61,0:03:08.91,Default,,0000,0000,0000,,觀戰的其他國家的諸侯
Dialogue: Marked=0,0:03:09.02,0:03:11.25,Default,,0000,0000,0000,,與主考官們也都表贊同
Dialogue: Marked=0,0:03:12.15,0:03:13.18,Default,,0000,0000,0000,,既然如此
Dialogue: Marked=0,0:03:13.29,0:03:15.42,Default,,0000,0000,0000,,這就不是我能表示意見的問題
Dialogue: Marked=0,0:03:16.09,0:03:20.62,Default,,0000,0000,0000,,今後，希望你有更好的表現\N不要辜負大家的期望
Dialogue: Marked=0,0:03:21.13,0:03:22.12,Default,,0000,0000,0000,,恭喜你了
Dialogue: Marked=0,0:03:22.83,0:03:24.73,Default,,0000,0000,0000,,從今天開始你就是中忍了
Dialogue: Marked=0,0:03:29.20,0:03:31.20,Default,,0000,0000,0000,,想不到平常一向懶散的你
Dialogue: Marked=0,0:03:31.31,0:03:33.54,Default,,0000,0000,0000,,居然也有一本正經的時候
Dialogue: Marked=0,0:03:34.64,0:03:35.80,Default,,0000,0000,0000,,這不適合你
Dialogue: Marked=0,0:03:37.11,0:03:38.44,Default,,0000,0000,0000,,你們不要笑了
Dialogue: Marked=0,0:03:38.95,0:03:39.91,Default,,0000,0000,0000,,總而言之
Dialogue: Marked=0,0:03:40.01,0:03:43.75,Default,,0000,0000,0000,,我們先一起乾杯\N祝賀鹿丸晉升為中忍
Dialogue: Marked=0,0:03:44.39,0:03:46.25,Default,,0000,0000,0000,,我要開動了
Dialogue: Marked=0,0:03:47.16,0:03:51.09,Default,,0000,0000,0000,,丁次\N你怎麼可以在乾杯之前吃肉
Dialogue: Marked=0,0:03:51.19,0:03:54.16,Default,,0000,0000,0000,,可是...\N如果燒焦了不是很浪費嗎
Dialogue: Marked=0,0:03:54.53,0:03:56.83,Default,,0000,0000,0000,,這裡肉多得是，盡量吃沒關係
Dialogue: Marked=0,0:03:56.97,0:03:58.19,Default,,0000,0000,0000,,太好了
Dialogue: Marked=0,0:04:46.45,0:04:49.71,Default,,0000,0000,0000,,我現在對你根本沒有興趣
Dialogue: Marked=0,0:04:51.75,0:04:53.88,Default,,0000,0000,0000,,果然是衝著鳴人來的嗎
Dialogue: Marked=0,0:05:07.10,0:05:09.47,Default,,0000,0000,0000,,你小心又要住院了喔，丁次
Dialogue: Marked=0,0:05:09.60,0:05:12.04,Default,,0000,0000,0000,,難道你不知道\N什麼叫細嚼慢嚥嗎
Dialogue: Marked=0,0:05:12.41,0:05:14.67,Default,,0000,0000,0000,,沒關係，就算我吃很多
