[Script Info]
Title: NARUTO -ナルト- 第109話 「音の誘い」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.58,0:00:19.57,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.75,0:00:28.62,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.69,0:00:33.96,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:34.96,0:00:38.16,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.33,0:00:43.96,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:45.01,0:00:52.11,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.52,0:00:56.85,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:56.99,0:01:04.05,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.13,0:01:11.12,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.20,0:01:18.13,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.27,0:01:28.44,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:30.82,0:01:32.79,Default,,0000,0000,0000,,你們幾個到底是誰
Dialogue: Marked=0,0:02:00.08,0:02:02.07,Default,,0000,0000,0000,,我現在的心情很差
Dialogue: Marked=0,0:02:03.69,0:02:05.31,Default,,0000,0000,0000,,如果你們再鬧下去
Dialogue: Marked=0,0:02:05.89,0:02:07.12,Default,,0000,0000,0000,,我不會手下留情的
Dialogue: Marked=0,0:02:11.13,0:02:15.06,Default,,0000,0000,0000,,混蛋，明明就很弱\N就少在那裡說大話了
Dialogue: Marked=0,0:02:17.40,0:02:19.06,Default,,0000,0000,0000,,好了，來吧
Dialogue: Marked=0,0:02:20.20,0:02:23.86,Default,,0000,0000,0000,,我要折斷你的肋骨\N來演奏出美妙的旋律
Dialogue: Marked=0,0:02:25.21,0:02:26.04,Default,,0000,0000,0000,,讓開
Dialogue: Marked=0,0:02:42.06,0:02:43.22,Default,,0000,0000,0000,,用線把雙腳給...
Dialogue: Marked=0,0:03:00.74,0:03:03.01,Default,,0000,0000,0000,,要奏出美妙的旋律喔
Dialogue: Marked=0,0:03:03.11,0:03:03.91,Default,,0000,0000,0000,,DO
Dialogue: Marked=0,0:03:05.95,0:03:07.35,Default,,0000,0000,0000,,什...什麼
Dialogue: Marked=0,0:03:08.62,0:03:09.38,Default,,0000,0000,0000,,RE
Dialogue: Marked=0,0:03:14.82,0:03:17.45,Default,,0000,0000,0000,,他是從哪裡發動攻擊的
Dialogue: Marked=0,0:03:20.03,0:03:22.29,Default,,0000,0000,0000,,怎麼全都是低音啊
Dialogue: Marked=0,0:03:22.40,0:03:23.66,Default,,0000,0000,0000,,你的骨頭
Dialogue: Marked=0,0:03:25.10,0:03:27.40,Default,,0000,0000,0000,,發出更清脆的聲音吧
Dialogue: Marked=0,0:03:54.00,0:03:57.36,Default,,0000,0000,0000,,接下來要發出\NMl、FA、SO三個音階喔
Dialogue: Marked=0,0:04:07.94,0:04:08.74,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:04:16.05,0:04:16.98,Default,,0000,0000,0000,,最後一擊
Dialogue: Marked=0,0:04:19.75,0:04:20.74,Default,,0000,0000,0000,,獅子連彈
Dialogue: Marked=0,0:04:22.69,0:04:27.06,Default,,0000,0000,0000,,第109話 音之忍者的邀約
Dialogue: Marked=0,0:04:28.76,0:04:29.99,Default,,0000,0000,0000,,來，久等了
Dialogue: Marked=0,0:04:30.06,0:04:31.93,Default,,0000,0000,0000,,我要開動了
Dialogue: Marked=0,0:04:34.70,0:04:37.43,Default,,0000,0000,0000,,小櫻，快吃快吃呀
Dialogue: Marked=0,0:04:37.57,0:04:40.77,Default,,0000,0000,0000,,這裡的叉燒麵是最好吃的喔
Dialogue: Marked=0,0:04:43.51,0:04:46.07,Default,,0000,0000,0000,,妳放心，今天就算我請客啦
Dialogue: Marked=0,0:04:46.21,0:04:47.44,Default,,0000,0000,0000,,是吧，老闆
Dialogue: Marked=0,0:04:48.15,0:04:49.78,Default,,0000,0000,0000,,請女朋友吃麵啊
Dialogue: Marked=0,0:04:49.88,0:04:51.88,Default,,0000,0000,0000,,鳴人現在也變得有出息了
Dialogue: Marked=0,0:04:54.29,0:04:55.95,Default,,0000,0000,0000,,這...你在說什麼啊
Dialogue: Marked=0,0:04:56.09,0:04:59.29,Default,,0000,0000,0000,,我跟小櫻\N今天是有很重要的事情要談
Dialogue: Marked=0,0:04:59.39,0:05:01.52,Default,,0000,0000,0000,,不是男女朋友之間的...
Dialogue: Marked=0,0:05:03.03,0:05:04.09,Default,,0000,0000,0000,,小櫻
Dialogue: Marked=0,0:05:06.60,0:05:08.09,Default,,0000,0000,0000,,對不起，鳴人
Dialogue: Marked=0,0:05:08.17,0:05:09.47,Default,,0000,0000,0000,,我剛好在想事情
Dialogue: Marked=0,0:05:10.54,0:05:11.87,Default,,0000,0000,0000,,看起來好好吃喔
Dialogue: Marked=0,0:05:12.67,0:05:14.23,Default,,0000,0000,0000,,快吃吧，快吃吧
Dialogue: Marked=0,0:05:15.88,0:05:19.11,Default,,0000,0000,0000,,那妳就一邊吃\N一邊跟我講佐助的事好了
Dialogue: Marked=0,0:05:39.27,0:05:43.76,Default,,0000,0000,0000,,雖然佐助他有叫我不要跟你說
Dialogue: Marked=0,0:05:56.08,0:05:58.95,Default,,0000,0000,0000,,這一切都是大蛇丸那傢伙害的
Dialogue: Marked=0,0:06:06.09,0:06:07.03,Default,,0000,0000,0000,,不要啊
Dialogue: Marked=0,0:06:14.67,0:06:17.73,Default,,0000,0000,0000,,因為卡卡西老師說已經沒事了
Dialogue: Marked=0,0:06:17.81,0:06:19.47,Default,,0000,0000,0000,,而我也相信這個事實
Dialogue: Marked=0,0:06:20.24,0:06:23.47,Default,,0000,0000,0000,,可是在和我愛羅交手時又...
Dialogue: Marked=0,0:06:30.82,0:06:34.62,Default,,0000,0000,0000,,剛才佐助的表情\N看起來就跟那時一樣
Dialogue: Marked=0,0:06:35.32,0:06:36.88,Default,,0000,0000,0000,,所以我才會...
Dialogue: Marked=0,0:06:43.77,0:06:45.32,Default,,0000,0000,0000,,大蛇丸嗎
Dialogue: Marked=0,0:06:46.00,0:06:48.49,Default,,0000,0000,0000,,我前一陣子也有遇到過他
Dialogue: Marked=0,0:06:49.70,0:06:50.64,Default,,0000,0000,0000,,在哪裡
Dialogue: Marked=0,0:06:51.47,0:06:54.13,Default,,0000,0000,0000,,就在我們去找綱手奶奶的路上
Dialogue: Marked=0,0:06:57.91,0:06:58.71,Default,,0000,0000,0000,,去死吧
Dialogue: Marked=0,0:07:02.15,0:07:03.01,Default,,0000,0000,0000,,糟了
Dialogue: Marked=0,0:07:13.66,0:07:15.65,Default,,0000,0000,0000,,雖然好色仙人與綱手奶奶
Dialogue: Marked=0,0:07:15.73,0:07:17.66,Default,,0000,0000,0000,,兩人聯合起來與他戰鬥
Dialogue: Marked=0,0:07:17.80,0:07:19.16,Default,,0000,0000,0000,,但他實在是太厲害了
Dialogue: Marked=0,0:07:20.87,0:07:22.53,Default,,0000,0000,0000,,真是個危險的傢伙
Dialogue: Marked=0,0:07:24.04,0:07:25.16,Default,,0000,0000,0000,,那麼危險嗎
Dialogue: Marked=0,0:07:26.31,0:07:28.04,Default,,0000,0000,0000,,不過妳放心好了
Dialogue: Marked=0,0:07:29.68,0:07:33.24,Default,,0000,0000,0000,,佐助才不會被那種傢伙\N給引誘過去呢
Dialogue: Marked=0,0:07:33.38,0:07:37.18,Default,,0000,0000,0000,,就算他不這麼做\N就已經很厲害了喔
Dialogue: Marked=0,0:07:41.26,0:07:42.88,Default,,0000,0000,0000,,我可以跟妳保證
Dialogue: Marked=0,0:07:59.84,0:08:04.78,Default,,0000,0000,0000,,怎麼會想得到這種傢伙啊\N大蛇丸大人呀
Dialogue: Marked=0,0:08:05.91,0:08:08.64,Default,,0000,0000,0000,,君麻呂都比他好多了呢
Dialogue: Marked=0,0:08:12.15,0:08:15.59,Default,,0000,0000,0000,,況且你待在這種\N跟垃圾一樣的村子裡
Dialogue: Marked=0,0:08:15.66,0:08:18.49,Default,,0000,0000,0000,,像現在一樣停留在凡人的階段
Dialogue: Marked=0,0:08:19.29,0:08:20.73,Default,,0000,0000,0000,,不可能會變強的
Dialogue: Marked=0,0:08:22.50,0:08:23.59,Default,,0000,0000,0000,,為什麼
Dialogue: Marked=0,0:08:23.73,0:08:26.36,Default,,0000,0000,0000,,連彈應該全部都打中了才對
Dialogue: Marked=0,0:08:26.43,0:08:29.30,Default,,0000,0000,0000,,這傢伙卻好像完全沒受傷
Dialogue: Marked=0,0:08:30.87,0:08:33.93,Default,,0000,0000,0000,,老是和夥伴們\N玩無聊的忍者遊戲
Dialogue: Marked=0,0:08:34.08,0:08:36.17,Default,,0000,0000,0000,,你只會越來越墮落的
Dialogue: Marked=0,0:08:39.18,0:08:41.15,Default,,0000,0000,0000,,不如跟我們一起走
Dialogue: Marked=0,0:08:41.22,0:08:42.31,Default,,0000,0000,0000,,這麼一來
Dialogue: Marked=0,0:08:43.28,0:08:45.48,Default,,0000,0000,0000,,大蛇丸大人就會賜給你力量
