[Script Info]
Title: NARUTO -ナルト- 第110話 「結成！鉄壁のフォーメーション」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.58,0:00:19.57,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.75,0:00:28.59,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.69,0:00:33.89,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:34.90,0:00:38.16,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.27,0:00:43.76,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:44.91,0:00:52.07,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.45,0:00:56.78,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:56.92,0:01:03.95,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.09,0:01:10.93,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.03,0:01:18.03,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.17,0:01:28.34,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:39.66,0:01:41.39,Default,,0000,0000,0000,,不要忘了你的目的
Dialogue: Marked=0,0:01:44.47,0:01:45.49,Default,,0000,0000,0000,,不要走
Dialogue: Marked=0,0:01:48.47,0:01:49.46,Default,,0000,0000,0000,,謝謝妳
Dialogue: Marked=0,0:01:52.81,0:01:54.27,Default,,0000,0000,0000,,佐助...
Dialogue: Marked=0,0:02:00.95,0:02:06.05,Default,,0000,0000,0000,,第110話 結成鐵壁的陣式
Dialogue: Marked=0,0:02:10.13,0:02:12.39,Default,,0000,0000,0000,,都已經早上四點了
Dialogue: Marked=0,0:02:12.53,0:02:14.96,Default,,0000,0000,0000,,第五代火影還真會使喚人
Dialogue: Marked=0,0:02:15.10,0:02:17.33,Default,,0000,0000,0000,,忘記帶的文件就自己來...
Dialogue: Marked=0,0:02:23.20,0:02:24.07,Default,,0000,0000,0000,,怎麼了嗎
Dialogue: Marked=0,0:02:28.28,0:02:29.37,Default,,0000,0000,0000,,喂，快起來吧
