[Script Info]
Title: NARUTO -ナルト- 第111話 「接触 〜音四人衆の実力〜」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.48,0:00:19.50,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.75,0:00:28.52,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.62,0:00:33.86,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:34.93,0:00:38.19,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.30,0:00:43.79,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:44.87,0:00:51.84,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.48,0:00:56.81,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:56.95,0:01:04.05,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.13,0:01:11.03,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.10,0:01:18.06,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.17,0:01:28.28,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:45.83,0:01:46.66,Default,,0000,0000,0000,,佐助...
Dialogue: Marked=0,0:02:00.15,0:02:03.95,Default,,0000,0000,0000,,必須先讓你死一次才行
Dialogue: Marked=0,0:02:06.29,0:02:07.85,Default,,0000,0000,0000,,你們要我死一次?
Dialogue: Marked=0,0:02:18.33,0:02:19.70,Default,,0000,0000,0000,,醒心丸
Dialogue: Marked=0,0:02:20.90,0:02:22.80,Default,,0000,0000,0000,,要請你把這個吃下去
Dialogue: Marked=0,0:02:23.30,0:02:24.46,Default,,0000,0000,0000,,醒心丸?
Dialogue: Marked=0,0:02:25.37,0:02:26.90,Default,,0000,0000,0000,,這是什麼東西
Dialogue: Marked=0,0:02:27.74,0:02:31.18,Default,,0000,0000,0000,,你現在的咒印等級是狀態1
Dialogue: Marked=0,0:02:31.28,0:02:36.24,Default,,0000,0000,0000,,那種藥丸可以強行讓你身上的\N咒印力量覺醒到狀態2
Dialogue: Marked=0,0:02:38.35,0:02:40.79,Default,,0000,0000,0000,,不過變成狀態2後
Dialogue: Marked=0,0:02:40.89,0:02:44.76,Default,,0000,0000,0000,,咒印的侵蝕速度\N就會急遽往上竄升
Dialogue: Marked=0,0:02:44.86,0:02:47.23,Default,,0000,0000,0000,,不做任何處置的話\N你就會立刻身亡
Dialogue: Marked=0,0:02:48.93,0:02:49.92,Default,,0000,0000,0000,,但是...
Dialogue: Marked=0,0:02:50.53,0:02:53.80,Default,,0000,0000,0000,,要讓自己\N擁有控制狀態2的力量
Dialogue: Marked=0,0:02:53.90,0:02:58.07,Default,,0000,0000,0000,,必須花很長的一段時間\N讓自己的身體習慣
Dialogue: Marked=0,0:03:01.11,0:03:04.14,Default,,0000,0000,0000,,等到你的身體習慣之後
Dialogue: Marked=0,0:03:04.28,0:03:08.88,Default,,0000,0000,0000,,你應該就會得到\N和我們同等級的力量了
Dialogue: Marked=0,0:03:10.89,0:03:13.45,Default,,0000,0000,0000,,等你覺醒之後不用幾分鐘
Dialogue: Marked=0,0:03:14.02,0:03:15.46,Default,,0000,0000,0000,,你就會死掉
Dialogue: Marked=0,0:03:16.86,0:03:22.56,Default,,0000,0000,0000,,第111話\N接觸，音之忍者四人組的實力
Dialogue: Marked=0,0:03:38.48,0:03:41.24,Default,,0000,0000,0000,,死了以後會變成什麼樣子
Dialogue: Marked=0,0:03:42.08,0:03:44.02,Default,,0000,0000,0000,,這一點你不用擔心
Dialogue: Marked=0,0:03:45.35,0:03:47.72,Default,,0000,0000,0000,,這就是我們在你身邊的原因
Dialogue: Marked=0,0:03:54.16,0:03:57.86,Default,,0000,0000,0000,,我們會用結界忍術\N把副作用降到最低限度
Dialogue: Marked=0,0:03:59.00,0:04:03.30,Default,,0000,0000,0000,,緩和你從永久的死亡\N到假死狀態的這段過程
Dialogue: Marked=0,0:04:07.31,0:04:11.80,Default,,0000,0000,0000,,我能相信你們幾個\N所說的什麼結界忍術嗎
Dialogue: Marked=0,0:04:12.68,0:04:14.31,Default,,0000,0000,0000,,佐助大人
Dialogue: Marked=0,0:04:15.18,0:04:19.68,Default,,0000,0000,0000,,我們四個人\N本來就是大蛇丸大人的護衛
Dialogue: Marked=0,0:04:19.82,0:04:23.38,Default,,0000,0000,0000,,什麼結界或是防壁忍術\N咒印，封印術
Dialogue: Marked=0,0:04:23.46,0:04:24.89,Default,,0000,0000,0000,,都難不倒我們的
Dialogue: Marked=0,0:04:38.64,0:04:39.83,Default,,0000,0000,0000,,現在的我
Dialogue: Marked=0,0:04:41.28,0:04:43.47,Default,,0000,0000,0000,,不管怎樣都不能死
Dialogue: Marked=0,0:04:47.48,0:04:48.41,Default,,0000,0000,0000,,拜託了
Dialogue: Marked=0,0:05:15.38,0:05:18.24,Default,,0000,0000,0000,,你們再摸魚的話佐助大人\N就會在轉眼間死掉的
Dialogue: Marked=0,0:05:32.33,0:05:33.26,Default,,0000,0000,0000,,各就各位
Dialogue: Marked=0,0:05:34.90,0:05:35.76,Default,,0000,0000,0000,,開始吧
Dialogue: Marked=0,0:05:58.92,0:06:00.11,Default,,0000,0000,0000,,四黑霧陣
Dialogue: Marked=0,0:06:18.67,0:06:19.73,Default,,0000,0000,0000,,封黑法印
Dialogue: Marked=0,0:06:24.81,0:06:27.08,Default,,0000,0000,0000,,好了，已經告一段落了
Dialogue: Marked=0,0:06:37.39,0:06:38.88,Default,,0000,0000,0000,,累死我了
Dialogue: Marked=0,0:06:39.03,0:06:42.15,Default,,0000,0000,0000,,真沒想到這次執行的任務\N會拖那麼久
Dialogue: Marked=0,0:06:49.27,0:06:51.40,Default,,0000,0000,0000,,我過去察看一下狀況
Dialogue: Marked=0,0:06:51.54,0:06:52.90,Default,,0000,0000,0000,,雷同，我們走
Dialogue: Marked=0,0:06:53.54,0:06:54.34,Default,,0000,0000,0000,,好
Dialogue: Marked=0,0:07:03.72,0:07:05.41,Default,,0000,0000,0000,,碰到麻煩事了
Dialogue: Marked=0,0:07:06.12,0:07:07.05,Default,,0000,0000,0000,,一個人
Dialogue: Marked=0,0:07:07.92,0:07:09.05,Default,,0000,0000,0000,,不，是兩個人
Dialogue: Marked=0,0:07:11.23,0:07:11.92,Default,,0000,0000,0000,,來了
Dialogue: Marked=0,0:07:23.81,0:07:25.36,Default,,0000,0000,0000,,你們幾個是大蛇丸的...
Dialogue: Marked=0,0:07:26.74,0:07:28.14,Default,,0000,0000,0000,,從方向來看
Dialogue: Marked=0,0:07:28.24,0:07:31.64,Default,,0000,0000,0000,,現在應該是離開木葉忍者村\N的回程路途吧
Dialogue: Marked=0,0:07:38.89,0:07:40.82,Default,,0000,0000,0000,,那個桶子裡裝的是什麼
Dialogue: Marked=0,0:07:41.89,0:07:43.75,Default,,0000,0000,0000,,一次面對兩個上忍
Dialogue: Marked=0,0:07:44.96,0:07:46.52,Default,,0000,0000,0000,,就有一點棘手了
Dialogue: Marked=0,0:08:28.17,0:08:30.50,Default,,0000,0000,0000,,這幾個傢伙身上都有咒印嗎
Dialogue: Marked=0,0:08:31.11,0:08:32.87,Default,,0000,0000,0000,,咱們也廢話少說了
Dialogue: Marked=0,0:08:33.54,0:08:36.53,Default,,0000,0000,0000,,這次和被你們偷襲的上次\N可不一樣喔
Dialogue: Marked=0,0:08:37.14,0:08:38.63,Default,,0000,0000,0000,,少囉唆，垃圾
Dialogue: Marked=0,0:08:38.78,0:08:40.04,Default,,0000,0000,0000,,趕快受死吧
Dialogue: Marked=0,0:08:42.15,0:08:43.84,Default,,0000,0000,0000,,你們幾個大蛇丸的玩具
Dialogue: Marked=0,0:08:45.12,0:08:47.38,Default,,0000,0000,0000,,可別瞧不起木葉的忍者喔
Dialogue: Marked=0,0:09:06.91,0:09:08.93,Default,,0000,0000,0000,,他們兩個...好慢啊
