[Script Info]
Title: NARUTO -ナルト- 第113話 「パワー全開！燃えろチョウジ」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.58,0:00:19.54,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.82,0:00:28.55,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.69,0:00:33.96,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:34.96,0:00:38.16,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.43,0:00:44.03,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:44.97,0:00:52.04,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.52,0:00:56.81,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:56.99,0:01:04.12,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.23,0:01:11.13,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.23,0:01:18.16,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.24,0:01:28.48,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:36.02,0:01:37.46,Default,,0000,0000,0000,,看你的了，丁次
Dialogue: Marked=0,0:01:40.96,0:01:42.29,Default,,0000,0000,0000,,倍化之術
Dialogue: Marked=0,0:01:43.70,0:01:45.86,Default,,0000,0000,0000,,好，我要上了
Dialogue: Marked=0,0:01:53.54,0:01:55.34,Default,,0000,0000,0000,,肉彈戰車
Dialogue: Marked=0,0:02:19.37,0:02:20.06,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:02:29.18,0:02:30.08,Default,,0000,0000,0000,,丁次
Dialogue: Marked=0,0:02:31.21,0:02:32.58,Default,,0000,0000,0000,,你果然才是...
Dialogue: Marked=0,0:02:33.62,0:02:34.67,Default,,0000,0000,0000,,最棒的
Dialogue: Marked=0,0:02:38.12,0:02:42.02,Default,,0000,0000,0000,,第113話\N力量全開!燃燒的丁次
Dialogue: Marked=0,0:03:00.54,0:03:03.24,Default,,0000,0000,0000,,你們突破我的結界忍術了
Dialogue: Marked=0,0:03:08.22,0:03:10.12,Default,,0000,0000,0000,,只剩下那傢伙留下來而已嗎
Dialogue: Marked=0,0:03:11.55,0:03:14.08,Default,,0000,0000,0000,,其他那幾個好像已經先走了嘛
Dialogue: Marked=0,0:03:16.19,0:03:19.49,Default,,0000,0000,0000,,是啊，已經不在附近了
Dialogue: Marked=0,0:03:21.20,0:03:23.66,Default,,0000,0000,0000,,我們好不容易\N才追上他們的耶
Dialogue: Marked=0,0:03:35.51,0:03:38.07,Default,,0000,0000,0000,,你們幾位真是辛苦了
Dialogue: Marked=0,0:03:39.98,0:03:41.64,Default,,0000,0000,0000,,以廢物來說算不錯了
Dialogue: Marked=0,0:03:41.72,0:03:42.58,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:03:42.65,0:03:44.12,Default,,0000,0000,0000,,你說誰是廢物啊
Dialogue: Marked=0,0:03:46.45,0:03:48.51,Default,,0000,0000,0000,,到外面來\N就是我們的天下了
Dialogue: Marked=0,0:03:48.59,0:03:50.96,Default,,0000,0000,0000,,讓我來\N讓我來把他收拾掉
Dialogue: Marked=0,0:03:51.03,0:03:52.08,Default,,0000,0000,0000,,等一下，你們兩個
Dialogue: Marked=0,0:03:54.60,0:03:57.26,Default,,0000,0000,0000,,在這跟他們正面衝突的話\N是很危險的
Dialogue: Marked=0,0:03:57.33,0:03:58.82,Default,,0000,0000,0000,,結界已經破解掉了
Dialogue: Marked=0,0:03:59.03,0:04:00.59,Default,,0000,0000,0000,,就算是我們也能打敗他
Dialogue: Marked=0,0:04:04.54,0:04:05.27,Default,,0000,0000,0000,,通牙
Dialogue: Marked=0,0:04:08.21,0:04:09.54,Default,,0000,0000,0000,,影分身之術
Dialogue: Marked=0,0:04:10.85,0:04:11.78,Default,,0000,0000,0000,,接招吧
Dialogue: Marked=0,0:04:16.85,0:04:19.41,Default,,0000,0000,0000,,你們幾個不過是我的食物
Dialogue: Marked=0,0:04:19.55,0:04:20.28,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:04:21.69,0:04:22.55,Default,,0000,0000,0000,,突肩
Dialogue: Marked=0,0:04:23.56,0:04:24.29,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:04:24.43,0:04:25.48,Default,,0000,0000,0000,,昇膝
Dialogue: Marked=0,0:04:28.93,0:04:30.86,Default,,0000,0000,0000,,連當開胃菜的資格都沒有嘛
Dialogue: Marked=0,0:04:32.50,0:04:33.63,Default,,0000,0000,0000,,大家要小心
Dialogue: Marked=0,0:04:33.74,0:04:35.50,Default,,0000,0000,0000,,又有麻煩的招式要過來了
Dialogue: Marked=0,0:04:40.64,0:04:43.01,Default,,0000,0000,0000,,土遁結界．土牢堂無
Dialogue: Marked=0,0:04:44.31,0:04:45.44,Default,,0000,0000,0000,,倍化之術
Dialogue: Marked=0,0:04:48.38,0:04:49.71,Default,,0000,0000,0000,,肉彈戰車
Dialogue: Marked=0,0:05:02.03,0:05:03.33,Default,,0000,0000,0000,,那是沒有用的
Dialogue: Marked=0,0:05:08.74,0:05:09.76,Default,,0000,0000,0000,,沒有時間了
Dialogue: Marked=0,0:05:11.24,0:05:12.90,Default,,0000,0000,0000,,從現在開始要兵分二路
Dialogue: Marked=0,0:05:14.54,0:05:15.67,Default,,0000,0000,0000,,這是為什麼呢
Dialogue: Marked=0,0:05:17.28,0:05:18.27,Default,,0000,0000,0000,,原來如此
Dialogue: Marked=0,0:05:27.49,0:05:29.42,Default,,0000,0000,0000,,就算是五對一好了
Dialogue: Marked=0,0:05:29.49,0:05:31.62,Default,,0000,0000,0000,,在查克拉被奪走的情況下
Dialogue: Marked=0,0:05:31.69,0:05:33.79,Default,,0000,0000,0000,,也不是短時間就能打敗他的
Dialogue: Marked=0,0:05:34.70,0:05:36.63,Default,,0000,0000,0000,,如果花太多時間在戰鬥上
Dialogue: Marked=0,0:05:36.70,0:05:38.29,Default,,0000,0000,0000,,佐助就會越過國境
Dialogue: Marked=0,0:05:39.43,0:05:40.56,Default,,0000,0000,0000,,到那個時候
Dialogue: Marked=0,0:05:40.70,0:05:42.07,Default,,0000,0000,0000,,不是光靠我們幾個人的力量
Dialogue: Marked=0,0:05:42.14,0:05:43.36,Default,,0000,0000,0000,,就可以解決事情了
Dialogue: Marked=0,0:05:47.38,0:05:49.43,Default,,0000,0000,0000,,所以要分成阻擋那個傢伙
Dialogue: Marked=0,0:05:49.51,0:05:51.81,Default,,0000,0000,0000,,和負責把佐助追回來的部隊
Dialogue: Marked=0,0:05:53.31,0:05:54.71,Default,,0000,0000,0000,,副隊長是寧次
Dialogue: Marked=0,0:05:54.82,0:05:55.87,Default,,0000,0000,0000,,由你來負責
Dialogue: Marked=0,0:06:14.40,0:06:15.60,Default,,0000,0000,0000,,被我找到了
Dialogue: Marked=0,0:06:15.67,0:06:18.04,Default,,0000,0000,0000,,寧次，你帶著牙跟丁次
Dialogue: Marked=0,0:06:18.17,0:06:19.61,Default,,0000,0000,0000,,去追佐助吧
Dialogue: Marked=0,0:06:19.67,0:06:20.61,Default,,0000,0000,0000,,知道了
Dialogue: Marked=0,0:06:23.41,0:06:24.97,Default,,0000,0000,0000,,這個大塊頭
Dialogue: Marked=0,0:06:25.05,0:06:26.91,Default,,0000,0000,0000,,就由我和鳴人想辦法解決
Dialogue: Marked=0,0:06:27.48,0:06:30.18,Default,,0000,0000,0000,,你又要施展影子模仿術了嗎
Dialogue: Marked=0,0:06:31.05,0:06:32.82,Default,,0000,0000,0000,,真是無聊的忍術
Dialogue: Marked=0,0:06:32.92,0:06:35.86,Default,,0000,0000,0000,,是看一次\N就不會想再看的雜耍技藝
Dialogue: Marked=0,0:06:36.49,0:06:39.82,Default,,0000,0000,0000,,不知當初被那種\N雜耍技藝困住的人
Dialogue: Marked=0,0:06:39.93,0:06:41.83,Default,,0000,0000,0000,,是哪裡的哪個傢伙呀
Dialogue: Marked=0,0:07:07.09,0:07:07.95,Default,,0000,0000,0000,,不見了
