[Script Info]
Title: NARUTO -ナルト- 第114話 「さらば友よ…！それでもオレは信じてる」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.64,0:00:19.71,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.92,0:00:28.69,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.79,0:00:34.02,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:35.00,0:00:38.23,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.47,0:00:44.06,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:45.07,0:00:52.10,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.58,0:00:56.98,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:57.09,0:01:04.12,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.26,0:01:11.10,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.20,0:01:18.26,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.37,0:01:28.51,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:31.02,0:01:34.72,Default,,0000,0000,0000,,鹿丸一直都是很相信我的
Dialogue: Marked=0,0:01:35.69,0:01:37.18,Default,,0000,0000,0000,,比起我或寧次
Dialogue: Marked=0,0:01:37.29,0:01:38.85,Default,,0000,0000,0000,,還有在這裡的所有人
Dialogue: Marked=0,0:01:39.59,0:01:40.89,Default,,0000,0000,0000,,那傢伙還比較強
Dialogue: Marked=0,0:01:46.53,0:01:47.73,Default,,0000,0000,0000,,我來了，胖子
Dialogue: Marked=0,0:01:48.90,0:01:50.27,Default,,0000,0000,0000,,你給我閉上嘴
Dialogue: Marked=0,0:01:51.51,0:01:53.37,Default,,0000,0000,0000,,部分倍化之術
Dialogue: Marked=0,0:01:55.31,0:01:56.07,Default,,0000,0000,0000,,手
Dialogue: Marked=0,0:02:02.88,0:02:04.35,Default,,0000,0000,0000,,部分倍化之術
Dialogue: Marked=0,0:02:06.82,0:02:07.91,Default,,0000,0000,0000,,腳
Dialogue: Marked=0,0:02:08.99,0:02:10.51,Default,,0000,0000,0000,,部分倍化之術
Dialogue: Marked=0,0:02:10.63,0:02:11.52,Default,,0000,0000,0000,,手
Dialogue: Marked=0,0:02:26.07,0:02:28.60,Default,,0000,0000,0000,,別開玩笑了，廢物
Dialogue: Marked=0,0:02:32.45,0:02:33.41,Default,,0000,0000,0000,,接招吧
Dialogue: Marked=0,0:02:33.48,0:02:33.97,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:02:34.08,0:02:36.45,Default,,0000,0000,0000,,超倍化之術
Dialogue: Marked=0,0:02:48.66,0:02:53.03,Default,,0000,0000,0000,,第114話 再見了朋友\N即使如此還是相信你
Dialogue: Marked=0,0:02:58.11,0:03:00.23,Default,,0000,0000,0000,,我成功了...鹿丸
Dialogue: Marked=0,0:03:05.35,0:03:06.14,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:03:10.59,0:03:13.02,Default,,0000,0000,0000,,沒想到面對這種對手
Dialogue: Marked=0,0:03:13.12,0:03:15.61,Default,,0000,0000,0000,,居然還要變成狀態2
Dialogue: Marked=0,0:03:19.99,0:03:21.79,Default,,0000,0000,0000,,昇擊掌
Dialogue: Marked=0,0:03:41.95,0:03:44.04,Default,,0000,0000,0000,,那模樣是怎麼回事
Dialogue: Marked=0,0:03:44.89,0:03:47.12,Default,,0000,0000,0000,,變成這樣你就完蛋了
Dialogue: Marked=0,0:03:47.89,0:03:52.95,Default,,0000,0000,0000,,施展出比之前多出10倍\N以上力量的狀態2是無人能敵的
Dialogue: Marked=0,0:04:02.70,0:04:04.70,Default,,0000,0000,0000,,我痛得沒辦法動了
Dialogue: Marked=0,0:04:04.77,0:04:07.71,Default,,0000,0000,0000,,沒想到咖哩丸的副作用\N居然會這麼強烈
Dialogue: Marked=0,0:04:10.98,0:04:15.47,Default,,0000,0000,0000,,自不量力\N卻還是想強出頭的廢物
Dialogue: Marked=0,0:04:15.58,0:04:18.35,Default,,0000,0000,0000,,就會變成這樣
Dialogue: Marked=0,0:04:22.59,0:04:26.99,Default,,0000,0000,0000,,像你們這種人\N只適合去玩模仿忍者的遊戲
Dialogue: Marked=0,0:04:31.73,0:04:35.10,Default,,0000,0000,0000,,想要玩忍者遊戲的\N抓住這隻手指
Dialogue: Marked=0,0:04:35.24,0:04:36.93,Default,,0000,0000,0000,,我要...\N我要玩...
Dialogue: Marked=0,0:04:37.67,0:04:38.93,Default,,0000,0000,0000,,等等我
Dialogue: Marked=0,0:04:39.51,0:04:41.37,Default,,0000,0000,0000,,剪刀石頭布
Dialogue: Marked=0,0:04:42.24,0:04:43.01,Default,,0000,0000,0000,,解散
Dialogue: Marked=0,0:04:43.81,0:04:46.94,Default,,0000,0000,0000,,1、2、3
Dialogue: Marked=0,0:04:47.52,0:04:49.45,Default,,0000,0000,0000,,等等我
Dialogue: Marked=0,0:04:54.09,0:04:56.52,Default,,0000,0000,0000,,99、100
Dialogue: Marked=0,0:05:03.03,0:05:04.62,Default,,0000,0000,0000,,剛已經說解散了吧
Dialogue: Marked=0,0:05:06.77,0:05:07.70,Default,,0000,0000,0000,,好痛
Dialogue: Marked=0,0:05:08.20,0:05:09.40,Default,,0000,0000,0000,,找到你了
Dialogue: Marked=0,0:05:10.10,0:05:12.33,Default,,0000,0000,0000,,你們兩個就一起乖乖投降吧
Dialogue: Marked=0,0:05:19.48,0:05:21.21,Default,,0000,0000,0000,,終於全都抓到了
Dialogue: Marked=0,0:05:21.92,0:05:23.21,Default,,0000,0000,0000,,真的很討厭耶
