[Script Info]
Title: NARUTO -ナルト- 第116話 「視界360度 白眼の死角」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.64,0:00:19.74,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.95,0:00:28.69,Default,,0000,0000,0000,,我只是想表達\N我們單純的想法
Dialogue: Marked=0,0:00:28.76,0:00:34.09,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:35.06,0:00:38.29,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.47,0:00:44.20,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:45.11,0:00:52.10,Default,,0000,0000,0000,,即便如此\N那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.62,0:00:56.98,Default,,0000,0000,0000,,就因為這樣才要道再見
Dialogue: Marked=0,0:00:57.09,0:01:04.15,Default,,0000,0000,0000,,只是這樣\N毫無保留地與你分享
Dialogue: Marked=0,0:01:04.23,0:01:11.19,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.27,0:01:18.26,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.41,0:01:28.51,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:33.92,0:01:35.01,Default,,0000,0000,0000,,柔拳法
Dialogue: Marked=0,0:01:36.16,0:01:38.52,Default,,0000,0000,0000,,八卦，六十四掌
Dialogue: Marked=0,0:01:40.03,0:01:40.79,Default,,0000,0000,0000,,不妙了
Dialogue: Marked=0,0:01:44.30,0:01:45.32,Default,,0000,0000,0000,,八卦，二掌
Dialogue: Marked=0,0:01:50.31,0:01:51.20,Default,,0000,0000,0000,,四掌
Dialogue: Marked=0,0:01:52.84,0:01:53.71,Default,,0000,0000,0000,,八掌
Dialogue: Marked=0,0:01:55.04,0:01:56.03,Default,,0000,0000,0000,,十六掌
Dialogue: Marked=0,0:01:57.08,0:01:58.05,Default,,0000,0000,0000,,三十二掌
Dialogue: Marked=0,0:02:00.78,0:02:01.81,Default,,0000,0000,0000,,六十四掌
Dialogue: Marked=0,0:02:24.14,0:02:25.44,Default,,0000,0000,0000,,怎麼回事
Dialogue: Marked=0,0:02:41.19,0:02:42.71,Default,,0000,0000,0000,,金色的表皮...
Dialogue: Marked=0,0:03:08.15,0:03:11.14,Default,,0000,0000,0000,,跟剛才從嘴巴\N吐出來的武器相同物質
Dialogue: Marked=0,0:03:13.76,0:03:15.81,Default,,0000,0000,0000,,好險，好險
Dialogue: Marked=0,0:03:15.96,0:03:18.02,Default,,0000,0000,0000,,聽說只要正面遭到柔拳的攻擊
Dialogue: Marked=0,0:03:18.13,0:03:21.53,Default,,0000,0000,0000,,經絡系統就會受損\N而無法凝聚查克拉了
Dialogue: Marked=0,0:03:22.20,0:03:23.53,Default,,0000,0000,0000,,還真是危險呢
Dialogue: Marked=0,0:03:25.80,0:03:26.93,Default,,0000,0000,0000,,你是怪物嗎
Dialogue: Marked=0,0:03:28.24,0:03:30.14,Default,,0000,0000,0000,,好像不只從嘴裡吐出來而已啊
Dialogue: Marked=0,0:03:32.57,0:03:37.57,Default,,0000,0000,0000,,我的蜘蛛粘金只要一出體外\N就會瞬間硬化成金屬
Dialogue: Marked=0,0:03:38.25,0:03:40.48,Default,,0000,0000,0000,,而且查克拉也流不過去
Dialogue: Marked=0,0:03:41.45,0:03:44.28,Default,,0000,0000,0000,,還有這個
Dialogue: Marked=0,0:03:44.82,0:03:49.69,Default,,0000,0000,0000,,不只可以從嘴巴\N連身體的汗腺也可以分泌出來
Dialogue: Marked=0,0:03:59.43,0:04:03.96,Default,,0000,0000,0000,,也就是點穴攻擊\N起不了任何作用嗎
Dialogue: Marked=0,0:04:12.65,0:04:14.38,Default,,0000,0000,0000,,蜘蛛束縛奈何不了他
Dialogue: Marked=0,0:04:15.05,0:04:17.92,Default,,0000,0000,0000,,還有面對柔拳的對手\N不能近身戰鬥
