[Script Info]
Title: NARUTO -ナルト- 第117話 「負けられない理由」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.48,0:00:19.47,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.82,0:00:28.48,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.52,0:00:33.93,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:34.90,0:00:37.99,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.27,0:00:44.00,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:45.01,0:00:51.94,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.48,0:00:56.78,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:56.82,0:01:03.99,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.03,0:01:11.02,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.07,0:01:18.03,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.21,0:01:28.28,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:50.64,0:01:51.47,Default,,0000,0000,0000,,結束了
Dialogue: Marked=0,0:01:54.81,0:01:59.44,Default,,0000,0000,0000,,第117話 不能輸的理由
Dialogue: Marked=0,0:02:00.82,0:02:01.65,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:02:08.89,0:02:10.19,Default,,0000,0000,0000,,差那麼一點點
Dialogue: Marked=0,0:02:10.29,0:02:11.52,Default,,0000,0000,0000,,剛才真的好危險
Dialogue: Marked=0,0:02:12.39,0:02:14.88,Default,,0000,0000,0000,,可是，我讓箭稍微偏離軌道
