[Script Info]
Title: NARUTO -ナルト- 第119話 「失策！新たなる敵」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.58,0:00:19.67,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.85,0:00:28.69,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.79,0:00:34.06,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:35.03,0:00:38.33,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.37,0:00:44.13,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:45.01,0:00:52.07,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.62,0:00:56.88,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:57.02,0:01:04.12,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.19,0:01:11.12,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.27,0:01:18.17,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.31,0:01:28.44,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:42.53,0:01:44.46,Default,,0000,0000,0000,,我會放你離開這裡的
Dialogue: Marked=0,0:01:45.43,0:01:48.73,Default,,0000,0000,0000,,而且我還可以\N讓你實現一個願望呢
Dialogue: Marked=0,0:01:49.37,0:01:52.24,Default,,0000,0000,0000,,你儘管放心吧，你強烈的意志
Dialogue: Marked=0,0:01:52.34,0:01:55.78,Default,,0000,0000,0000,,會以殘留思念的形式\N留在我的心中
Dialogue: Marked=0,0:01:56.85,0:01:59.75,Default,,0000,0000,0000,,所以你並不會失去一切
Dialogue: Marked=0,0:02:03.49,0:02:06.85,Default,,0000,0000,0000,,現在我要收下你的肉體了
Dialogue: Marked=0,0:02:14.36,0:02:16.99,Default,,0000,0000,0000,,這麼一來大蛇丸大人的身體
Dialogue: Marked=0,0:02:17.10,0:02:19.50,Default,,0000,0000,0000,,接下來的幾年都沒辦法轉生了
Dialogue: Marked=0,0:02:20.34,0:02:22.20,Default,,0000,0000,0000,,不過，下一次的...
Dialogue: Marked=0,0:02:26.21,0:02:32.11,Default,,0000,0000,0000,,我的確已經沒有資格\N當作進行轉生術時的容器了
