[Script Info]
Title: NARUTO -ナルト- 第120話 「唸れ！吼えろ！究極のタッグ」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.51,0:00:19.50,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.78,0:00:28.52,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.66,0:00:33.89,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:34.93,0:00:38.16,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.37,0:00:43.96,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:44.94,0:00:51.94,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.45,0:00:56.75,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:56.89,0:01:03.98,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.13,0:01:11.03,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.17,0:01:18.13,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.21,0:01:27.14,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:30.35,0:01:34.01,Default,,0000,0000,0000,,第120話\N吶喊!吼叫吧!極致的標籤
Dialogue: Marked=0,0:01:35.26,0:01:36.15,Default,,0000,0000,0000,,逮到你了
Dialogue: Marked=0,0:01:49.14,0:01:50.10,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:01:51.37,0:01:52.63,Default,,0000,0000,0000,,怎麼回事啊
Dialogue: Marked=0,0:01:55.38,0:01:57.71,Default,,0000,0000,0000,,明明就攻擊到他了卻沒有用
Dialogue: Marked=0,0:01:58.28,0:02:00.18,Default,,0000,0000,0000,,而且那種攻擊是從哪來的
Dialogue: Marked=0,0:02:04.15,0:02:05.21,Default,,0000,0000,0000,,聽好了，赤丸
Dialogue: Marked=0,0:02:07.12,0:02:09.32,Default,,0000,0000,0000,,用牙通牙進行夾擊
Dialogue: Marked=0,0:02:13.86,0:02:14.56,Default,,0000,0000,0000,,上吧
Dialogue: Marked=0,0:02:19.23,0:02:20.17,Default,,0000,0000,0000,,牙通牙
Dialogue: Marked=0,0:02:22.74,0:02:23.80,Default,,0000,0000,0000,,通靈之術
Dialogue: Marked=0,0:02:34.38,0:02:35.91,Default,,0000,0000,0000,,這下子可傷腦筋了
Dialogue: Marked=0,0:02:38.09,0:02:40.32,Default,,0000,0000,0000,,讓我為你吹奏死亡的旋律
Dialogue: Marked=0,0:02:48.36,0:02:49.42,Default,,0000,0000,0000,,怎麼會，這傢伙...
Dialogue: Marked=0,0:02:52.07,0:02:52.83,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:02:55.57,0:02:58.00,Default,,0000,0000,0000,,二對二這樣子剛剛好嘛
Dialogue: Marked=0,0:02:58.07,0:02:59.23,Default,,0000,0000,0000,,對不對，左近
Dialogue: Marked=0,0:03:07.18,0:03:10.35,Default,,0000,0000,0000,,那四人眾到現在花這麼多的時間
Dialogue: Marked=0,0:03:11.22,0:03:14.59,Default,,0000,0000,0000,,難道對方派出\N足以阻擋他們前進的高手嗎
Dialogue: Marked=0,0:03:15.42,0:03:17.41,Default,,0000,0000,0000,,或是他們玩過頭了呢
Dialogue: Marked=0,0:03:21.63,0:03:26.90,Default,,0000,0000,0000,,會扯他們後腿的\N不是容易肚子餓的次郎坊
Dialogue: Marked=0,0:03:27.00,0:03:29.23,Default,,0000,0000,0000,,就是喜歡玩樂的鬼童丸了
Dialogue: Marked=0,0:03:29.77,0:03:33.10,Default,,0000,0000,0000,,可是一旦發飆的話\N最難對付的就是左近了吧
Dialogue: Marked=0,0:03:35.18,0:03:37.37,Default,,0000,0000,0000,,他就是非得殺了敵人才甘心
Dialogue: Marked=0,0:03:38.11,0:03:39.58,Default,,0000,0000,0000,,明明別理他就行了
Dialogue: Marked=0,0:03:40.48,0:03:44.04,Default,,0000,0000,0000,,就因為他是四人眾中最強的\N所以也很愛面子
Dialogue: Marked=0,0:03:46.42,0:03:47.62,Default,,0000,0000,0000,,怎麼說呢
Dialogue: Marked=0,0:03:48.36,0:03:51.55,Default,,0000,0000,0000,,多由也是從來不肯服輸的臭脾氣
Dialogue: Marked=0,0:03:52.36,0:03:57.56,Default,,0000,0000,0000,,反正不管怎麼樣\N讓那孩子去的話就萬無一失了
Dialogue: Marked=0,0:03:59.57,0:04:00.63,Default,,0000,0000,0000,,君麻呂
Dialogue: Marked=0,0:04:01.24,0:04:08.14,Default,,0000,0000,0000,,要是他的話\N馬上就會替我把沒用的東西除掉
Dialogue: Marked=0,0:04:18.19,0:04:20.52,Default,,0000,0000,0000,,佐助是絕不會讓你帶走的
Dialogue: Marked=0,0:04:22.02,0:04:24.39,Default,,0000,0000,0000,,眼前的垃圾還真是多啊
Dialogue: Marked=0,0:04:26.39,0:04:29.52,Default,,0000,0000,0000,,不過，再怎麼說\N垃圾終究只是垃圾
Dialogue: Marked=0,0:04:30.40,0:04:32.46,Default,,0000,0000,0000,,只要清理乾淨就好了
Dialogue: Marked=0,0:04:33.77,0:04:34.89,Default,,0000,0000,0000,,吵死了
Dialogue: Marked=0,0:04:38.21,0:04:38.97,Default,,0000,0000,0000,,來吧
Dialogue: Marked=0,0:04:40.21,0:04:41.84,Default,,0000,0000,0000,,看我怎麼打敗你
Dialogue: Marked=0,0:05:19.15,0:05:21.31,Default,,0000,0000,0000,,這就是她口中的死亡旋律嗎
Dialogue: Marked=0,0:05:41.10,0:05:42.54,Default,,0000,0000,0000,,是用笛子的音樂在操縱的嗎
Dialogue: Marked=0,0:05:59.12,0:06:00.49,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:06:00.56,0:06:02.85,Default,,0000,0000,0000,,我離那個傢伙越來越遠了
Dialogue: Marked=0,0:06:02.92,0:06:05.19,Default,,0000,0000,0000,,怎麼辦，該怎麼辦才好
Dialogue: Marked=0,0:06:07.76,0:06:09.56,Default,,0000,0000,0000,,再這樣下去真的不妙了...
Dialogue: Marked=0,0:06:22.21,0:06:23.07,Default,,0000,0000,0000,,赤丸
Dialogue: Marked=0,0:06:24.95,0:06:26.44,Default,,0000,0000,0000,,那個才是本尊嗎
Dialogue: Marked=0,0:06:26.81,0:06:27.71,Default,,0000,0000,0000,,多連拳
Dialogue: Marked=0,0:06:32.89,0:06:33.88,Default,,0000,0000,0000,,再來一拳
