[Script Info]
Title: NARUTO -ナルト- 第121話 「それぞれの闘い」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.64,0:00:19.60,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.88,0:00:28.72,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.82,0:00:34.06,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:35.06,0:00:38.33,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.47,0:00:44.23,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:45.11,0:00:52.17,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.62,0:00:57.02,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:57.09,0:01:04.12,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.26,0:01:11.26,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.33,0:01:18.26,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.34,0:01:27.11,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:39.09,0:01:40.32,Default,,0000,0000,0000,,還有另外一個在哪裡
Dialogue: Marked=0,0:01:44.27,0:01:45.73,Default,,0000,0000,0000,,你是在找誰啊
Dialogue: Marked=0,0:01:48.34,0:01:50.10,Default,,0000,0000,0000,,接下來我會處理
Dialogue: Marked=0,0:01:50.21,0:01:52.33,Default,,0000,0000,0000,,你去前面的河邊\N把眼睛洗一洗吧
Dialogue: Marked=0,0:01:56.64,0:01:58.84,Default,,0000,0000,0000,,這就是我的能力了
Dialogue: Marked=0,0:01:58.91,0:02:00.88,Default,,0000,0000,0000,,我可是暗殺專家
Dialogue: Marked=0,0:02:00.98,0:02:05.35,Default,,0000,0000,0000,,光有靈敏的鼻子和爪子\N可是打不贏我的
Dialogue: Marked=0,0:02:06.29,0:02:08.38,Default,,0000,0000,0000,,因為我有這種能力
Dialogue: Marked=0,0:02:18.57,0:02:19.50,Default,,0000,0000,0000,,赤丸
Dialogue: Marked=0,0:02:20.50,0:02:22.63,Default,,0000,0000,0000,,對不起，赤丸
Dialogue: Marked=0,0:02:23.47,0:02:25.77,Default,,0000,0000,0000,,過去我們都是一路走來
Dialogue: Marked=0,0:02:25.87,0:02:27.67,Default,,0000,0000,0000,,不論何時何地都膩在一起
Dialogue: Marked=0,0:02:28.74,0:02:29.57,Default,,0000,0000,0000,,可是
Dialogue: Marked=0,0:02:30.21,0:02:32.37,Default,,0000,0000,0000,,就只有這一次我舉雙手投降了
Dialogue: Marked=0,0:02:33.08,0:02:37.92,Default,,0000,0000,0000,,我的細胞可以在\N你的身體裡面自由地四處游走
Dialogue: Marked=0,0:02:38.02,0:02:40.49,Default,,0000,0000,0000,,也可以製造出只屬於你的部分
Dialogue: Marked=0,0:02:40.59,0:02:43.58,Default,,0000,0000,0000,,也就是說我們正處於融合狀態
Dialogue: Marked=0,0:02:43.73,0:02:45.96,Default,,0000,0000,0000,,目前一起共有這個肉體
Dialogue: Marked=0,0:02:47.36,0:02:49.09,Default,,0000,0000,0000,,我跟你...共有
Dialogue: Marked=0,0:02:49.73,0:02:50.99,Default,,0000,0000,0000,,沒錯
Dialogue: Marked=0,0:02:51.10,0:02:54.40,Default,,0000,0000,0000,,而且也只有我\N才做得到的殘酷殺人方法
Dialogue: Marked=0,0:02:55.17,0:02:58.97,Default,,0000,0000,0000,,就是慢慢地奪取\N只屬於你那部分的獨立細胞
Dialogue: Marked=0,0:02:59.81,0:03:00.77,Default,,0000,0000,0000,,原來如此
Dialogue: Marked=0,0:03:08.48,0:03:09.42,Default,,0000,0000,0000,,既然這樣的話
Dialogue: Marked=0,0:03:19.19,0:03:22.53,Default,,0000,0000,0000,,我這麼做，你又會怎麼樣呢
Dialogue: Marked=0,0:03:24.93,0:03:26.03,Default,,0000,0000,0000,,你要自行了斷
Dialogue: Marked=0,0:03:26.94,0:03:27.83,Default,,0000,0000,0000,,笨蛋!
Dialogue: Marked=0,0:03:30.51,0:03:32.13,Default,,0000,0000,0000,,我們一起死吧
Dialogue: Marked=0,0:03:35.31,0:03:36.83,Default,,0000,0000,0000,,第121話 各自的戰鬥
Dialogue: Marked=0,0:04:03.84,0:04:06.33,Default,,0000,0000,0000,,臭小子，你到底在想什麼呀
Dialogue: Marked=0,0:04:15.22,0:04:16.91,Default,,0000,0000,0000,,果然跟我想的一樣
