[Script Info]
Title: NARUTO -ナルト- 第122話 「フェイク！男シカマル 起死回生の賭け」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.51,0:00:19.45,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.75,0:00:28.52,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.62,0:00:33.82,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:34.96,0:00:38.16,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.30,0:00:43.74,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:44.94,0:00:51.87,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.48,0:00:56.81,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:56.89,0:01:04.02,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.13,0:01:11.03,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.13,0:01:18.06,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.14,0:01:26.77,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:35.16,0:01:36.09,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:01:47.17,0:01:49.14,Default,,0000,0000,0000,,做得不錯嘛
Dialogue: Marked=0,0:01:49.20,0:01:53.07,Default,,0000,0000,0000,,巧妙利用時機讓他們分散攻擊我
Dialogue: Marked=0,0:01:54.31,0:01:55.97,Default,,0000,0000,0000,,妳下過不少苦心練習吧
Dialogue: Marked=0,0:01:57.31,0:01:59.44,Default,,0000,0000,0000,,因為曲子相當複雜呢
Dialogue: Marked=0,0:02:03.22,0:02:07.71,Default,,0000,0000,0000,,你不只馬上發現\N我是用笛子在操縱這些傢伙
Dialogue: Marked=0,0:02:07.82,0:02:11.99,Default,,0000,0000,0000,,還知道我吹的曲子難度有多高\N了不起的臭小子呀
Dialogue: Marked=0,0:02:13.23,0:02:16.76,Default,,0000,0000,0000,,只可惜你絕對沒辦法\N徹底了解這首曲子
Dialogue: Marked=0,0:02:17.67,0:02:18.65,Default,,0000,0000,0000,,的確
Dialogue: Marked=0,0:02:19.67,0:02:22.76,Default,,0000,0000,0000,,我對所謂的藝術是毫無緣份呀
Dialogue: Marked=0,0:02:24.07,0:02:25.23,Default,,0000,0000,0000,,但是
Dialogue: Marked=0,0:02:25.34,0:02:27.71,Default,,0000,0000,0000,,既然她是用那把笛子操控他們
Dialogue: Marked=0,0:02:27.78,0:02:29.04,Default,,0000,0000,0000,,就表示那首曲子當中
Dialogue: Marked=0,0:02:29.14,0:02:35.14,Default,,0000,0000,0000,,一定有用來控制每一個人行動的\N各別特定聲音的排列
Dialogue: Marked=0,0:02:36.52,0:02:40.01,Default,,0000,0000,0000,,雖然我對自己的\N分析能力很有信心
Dialogue: Marked=0,0:02:40.12,0:02:41.71,Default,,0000,0000,0000,,不過，這次真的很危險...
Dialogue: Marked=0,0:02:43.93,0:02:44.91,Default,,0000,0000,0000,,原因是...
Dialogue: Marked=0,0:02:45.83,0:02:48.52,Default,,0000,0000,0000,,我完全搞不懂\N那些像蝌蚪的音樂符號
Dialogue: Marked=0,0:02:50.57,0:02:54.06,Default,,0000,0000,0000,,第122話 假動作!男子漢鹿丸\N起死回生的賭注
Dialogue: Marked=0,0:03:02.24,0:03:05.54,Default,,0000,0000,0000,,我就特別讓你\N見識一下"樁之舞"吧
Dialogue: Marked=0,0:03:06.45,0:03:07.64,Default,,0000,0000,0000,,看我怎麼收拾你
Dialogue: Marked=0,0:03:09.08,0:03:11.92,Default,,0000,0000,0000,,奉勸你最好不要把\N自己辦不到的事情
Dialogue: Marked=0,0:03:12.05,0:03:13.32,Default,,0000,0000,0000,,掛在嘴上
Dialogue: Marked=0,0:03:13.92,0:03:14.91,Default,,0000,0000,0000,,少廢話!
Dialogue: Marked=0,0:03:30.54,0:03:31.37,Default,,0000,0000,0000,,怎麼會...
Dialogue: Marked=0,0:03:35.04,0:03:36.07,Default,,0000,0000,0000,,我說過了吧
Dialogue: Marked=0,0:03:36.81,0:03:39.14,Default,,0000,0000,0000,,我的骨頭可是比鋼鐵還硬
Dialogue: Marked=0,0:03:43.45,0:03:46.78,Default,,0000,0000,0000,,你就用你自己的身體\N體會看看好了
Dialogue: Marked=0,0:04:19.85,0:04:20.84,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:04:32.63,0:04:35.76,Default,,0000,0000,0000,,凡是聽過這首曲子的人\N沒有一個能活著
Dialogue: Marked=0,0:04:42.28,0:04:45.21,Default,,0000,0000,0000,,終曲第九節
Dialogue: Marked=0,0:04:45.28,0:04:46.51,Default,,0000,0000,0000,,魔境之亂
Dialogue: Marked=0,0:05:01.16,0:05:02.29,Default,,0000,0000,0000,,曲調已經變了
Dialogue: Marked=0,0:05:05.67,0:05:06.60,Default,,0000,0000,0000,,好像有什麼要來了
Dialogue: Marked=0,0:05:21.25,0:05:22.05,Default,,0000,0000,0000,,那是...
Dialogue: Marked=0,0:05:37.13,0:05:38.00,Default,,0000,0000,0000,,什麼
