[Script Info]
Title: NARUTO -ナルト- 第123話 「木ノ葉の碧き野獣 見参！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.54,0:00:19.50,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.75,0:00:28.52,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.66,0:00:33.92,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:34.93,0:00:38.09,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.33,0:00:43.43,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:44.97,0:00:51.85,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.48,0:00:56.85,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:56.95,0:01:04.02,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.16,0:01:11.07,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.20,0:01:18.16,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.27,0:01:27.01,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:36.02,0:01:39.79,Default,,0000,0000,0000,,第123話\N木葉的蒼藍野獸拜見了!
Dialogue: Marked=0,0:01:50.51,0:01:51.53,Default,,0000,0000,0000,,可惡...
Dialogue: Marked=0,0:01:54.64,0:01:56.01,Default,,0000,0000,0000,,不管你做幾次...
Dialogue: Marked=0,0:01:59.51,0:02:00.34,Default,,0000,0000,0000,,都是一樣的!
Dialogue: Marked=0,0:02:20.17,0:02:21.90,Default,,0000,0000,0000,,我不得不承認
Dialogue: Marked=0,0:02:22.00,0:02:24.40,Default,,0000,0000,0000,,你不只是腦袋靈光而已
Dialogue: Marked=0,0:02:24.51,0:02:26.13,Default,,0000,0000,0000,,而且還挺有膽識的
Dialogue: Marked=0,0:02:28.44,0:02:31.04,Default,,0000,0000,0000,,除此之外我還很溫柔呢
Dialogue: Marked=0,0:02:32.51,0:02:35.14,Default,,0000,0000,0000,,雖然動手打柔弱的女性
Dialogue: Marked=0,0:02:35.25,0:02:37.28,Default,,0000,0000,0000,,和我的行事作風相違背
Dialogue: Marked=0,0:02:37.95,0:02:41.55,Default,,0000,0000,0000,,不過妳再怎麼看\N都不像柔弱的女性嘛
Dialogue: Marked=0,0:02:43.16,0:02:44.42,Default,,0000,0000,0000,,是妳的話
Dialogue: Marked=0,0:02:52.77,0:02:56.57,Default,,0000,0000,0000,,別以為你解開了我的幻術\N就可以這麼囂張
Dialogue: Marked=0,0:02:56.70,0:02:57.76,Default,,0000,0000,0000,,你這個廢物
Dialogue: Marked=0,0:02:59.71,0:03:01.40,Default,,0000,0000,0000,,還沒辦法完全束縛住
Dialogue: Marked=0,0:03:01.51,0:03:02.44,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:03:04.38,0:03:05.51,Default,,0000,0000,0000,,怎麼可以輸給她呢
Dialogue: Marked=0,0:03:12.22,0:03:13.24,Default,,0000,0000,0000,,還差一點...
Dialogue: Marked=0,0:03:34.18,0:03:36.54,Default,,0000,0000,0000,,這個傢伙\N哪來這麼強的查克拉
Dialogue: Marked=0,0:03:36.68,0:03:38.41,Default,,0000,0000,0000,,這麼近距離的束縛
Dialogue: Marked=0,0:03:38.51,0:03:40.21,Default,,0000,0000,0000,,還會被她硬推回來...
Dialogue: Marked=0,0:03:41.42,0:03:43.54,Default,,0000,0000,0000,,可是我只要一放手
Dialogue: Marked=0,0:03:43.69,0:03:45.02,Default,,0000,0000,0000,,絕對會被她幹掉
Dialogue: Marked=0,0:03:46.96,0:03:47.82,Default,,0000,0000,0000,,看樣子
Dialogue: Marked=0,0:03:47.92,0:03:50.36,Default,,0000,0000,0000,,我只能用這一招\N來收拾她了啊
Dialogue: Marked=0,0:04:18.25,0:04:20.24,Default,,0000,0000,0000,,加油啊，赤丸
Dialogue: Marked=0,0:04:55.66,0:04:56.72,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:04:56.79,0:04:58.28,Default,,0000,0000,0000,,這到底是怎麼回事
Dialogue: Marked=0,0:05:28.32,0:05:29.55,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:05:45.27,0:05:47.40,Default,,0000,0000,0000,,還剩下一個了
Dialogue: Marked=0,0:05:49.04,0:05:50.64,Default,,0000,0000,0000,,也未免太強了吧
Dialogue: Marked=0,0:05:50.71,0:05:51.64,Default,,0000,0000,0000,,這傢伙...
Dialogue: Marked=0,0:05:53.92,0:05:55.71,Default,,0000,0000,0000,,那麼多分身
Dialogue: Marked=0,0:05:55.85,0:05:56.98,Default,,0000,0000,0000,,居然連一拳...
Dialogue: Marked=0,0:05:58.72,0:05:59.91,Default,,0000,0000,0000,,時間差不多了
Dialogue: Marked=0,0:06:01.09,0:06:02.15,Default,,0000,0000,0000,,我等很久了
Dialogue: Marked=0,0:06:06.23,0:06:08.16,Default,,0000,0000,0000,,大蛇丸大人的野心
Dialogue: Marked=0,0:06:09.10,0:06:10.66,Default,,0000,0000,0000,,要踏出第一步了
Dialogue: Marked=0,0:07:00.21,0:07:01.04,Default,,0000,0000,0000,,佐助...
Dialogue: Marked=0,0:07:07.49,0:07:08.72,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:07:08.79,0:07:11.22,Default,,0000,0000,0000,,你幹嘛要跟這種傢伙\N混在一起啊
Dialogue: Marked=0,0:07:11.99,0:07:13.98,Default,,0000,0000,0000,,好啦，趕快跟我回去了
Dialogue: Marked=0,0:07:19.37,0:07:20.23,Default,,0000,0000,0000,,佐助?
Dialogue: Marked=0,0:07:34.18,0:07:35.24,Default,,0000,0000,0000,,要回去了嗎
Dialogue: Marked=0,0:07:35.75,0:07:36.58,Default,,0000,0000,0000,,好啊
Dialogue: Marked=0,0:07:38.52,0:07:41.75,Default,,0000,0000,0000,,我們兩個人都爬到最頂端了
Dialogue: Marked=0,0:07:43.96,0:07:46.69,Default,,0000,0000,0000,,說真的我也很想跟你交個手
Dialogue: Marked=0,0:07:51.47,0:07:52.33,Default,,0000,0000,0000,,該回去了
Dialogue: Marked=0,0:07:55.70,0:07:58.76,Default,,0000,0000,0000,,大家都很擔心你喔
Dialogue: Marked=0,0:08:00.98,0:08:01.91,Default,,0000,0000,0000,,所以啊
Dialogue: Marked=0,0:08:11.55,0:08:12.85,Default,,0000,0000,0000,,佐助!
Dialogue: Marked=0,0:08:13.62,0:08:17.49,Default,,0000,0000,0000,,請你把...佐助帶回來
Dialogue: Marked=0,0:08:18.23,0:08:21.06,Default,,0000,0000,0000,,你應該有聽到我在叫你吧
Dialogue: Marked=0,0:08:27.64,0:08:29.00,Default,,0000,0000,0000,,不要走，佐助
Dialogue: Marked=0,0:08:33.57,0:08:34.34,Default,,0000,0000,0000,,沒用的
Dialogue: Marked=0,0:08:36.98,0:08:37.84,Default,,0000,0000,0000,,納命來
Dialogue: Marked=0,0:08:46.59,0:08:47.35,Default,,0000,0000,0000,,誰?
