[Script Info]
Title: NARUTO -ナルト- 第126話 「最強対決！我愛羅VS君麻呂！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.61,0:00:19.60,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.85,0:00:28.62,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.76,0:00:34.02,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:34.96,0:00:38.16,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.40,0:00:43.46,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:45.04,0:00:52.04,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.58,0:00:56.91,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:56.99,0:01:04.12,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.19,0:01:11.06,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.17,0:01:18.20,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.34,0:01:27.18,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:02:01.75,0:02:02.94,Default,,0000,0000,0000,,砂縛柩
Dialogue: Marked=0,0:02:07.09,0:02:08.08,Default,,0000,0000,0000,,我來對付他
Dialogue: Marked=0,0:02:11.19,0:02:11.92,Default,,0000,0000,0000,,不
Dialogue: Marked=0,0:02:11.99,0:02:13.69,Default,,0000,0000,0000,,請你負責支援我就好了
Dialogue: Marked=0,0:02:19.57,0:02:20.80,Default,,0000,0000,0000,,沙子跑進嘴...
Dialogue: Marked=0,0:02:22.00,0:02:23.49,Default,,0000,0000,0000,,請你放開我
Dialogue: Marked=0,0:02:29.54,0:02:31.94,Default,,0000,0000,0000,,現在的你\N根本就沒辦法對付他
Dialogue: Marked=0,0:02:33.31,0:02:34.54,Default,,0000,0000,0000,,讓我來就好
Dialogue: Marked=0,0:02:34.65,0:02:36.01,Default,,0000,0000,0000,,請你一定要小心
Dialogue: Marked=0,0:02:36.08,0:02:37.98,Default,,0000,0000,0000,,那個人是用骨頭攻擊的
Dialogue: Marked=0,0:02:44.09,0:02:46.15,Default,,0000,0000,0000,,他會像剛才一樣\N射出自己的骨頭
Dialogue: Marked=0,0:02:46.29,0:02:48.23,Default,,0000,0000,0000,,或是讓骨頭\N從身體各部位冒出來
Dialogue: Marked=0,0:02:49.70,0:02:51.56,Default,,0000,0000,0000,,他可以自由地操縱骨頭
Dialogue: Marked=0,0:02:52.43,0:02:53.87,Default,,0000,0000,0000,,砂瀑我愛羅
Dialogue: Marked=0,0:02:57.41,0:02:59.97,Default,,0000,0000,0000,,就跟你的名字一樣\N專門操控沙子嗎
Dialogue: Marked=0,0:03:06.38,0:03:09.32,Default,,0000,0000,0000,,第126話 最強對決!\N我愛羅對君麻呂!
Dialogue: Marked=0,0:03:17.43,0:03:19.76,Default,,0000,0000,0000,,利用沙子進行堅固的防禦
Dialogue: Marked=0,0:03:21.43,0:03:24.73,Default,,0000,0000,0000,,這傢伙並不是打近戰的類型嘛
Dialogue: Marked=0,0:03:26.27,0:03:28.96,Default,,0000,0000,0000,,也就是說想靠近他\N並不是一件容易的事
Dialogue: Marked=0,0:03:37.88,0:03:38.47,Default,,0000,0000,0000,,來了
Dialogue: Marked=0,0:03:40.42,0:03:41.35,Default,,0000,0000,0000,,十指穿彈
Dialogue: Marked=0,0:03:57.53,0:03:59.52,Default,,0000,0000,0000,,對方的動作十分俐落
