[Script Info]
Title: NARUTO -ナルト- 第127話 「執念の一撃！早蕨の舞」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.58,0:00:19.57,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.78,0:00:28.59,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.66,0:00:34.03,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:34.93,0:00:38.16,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.37,0:00:43.39,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:44.97,0:00:51.97,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.55,0:00:56.92,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:56.99,0:01:04.08,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:04.16,0:01:11.00,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.13,0:01:18.16,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.27,0:01:27.18,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:31.25,0:01:32.38,Default,,0000,0000,0000,,那種模樣是...
Dialogue: Marked=0,0:02:14.00,0:02:18.36,Default,,0000,0000,0000,,傳聞中的所謂"絕對防禦"\N就只是這種程度嗎
Dialogue: Marked=0,0:02:23.10,0:02:24.30,Default,,0000,0000,0000,,真是令人掃興
Dialogue: Marked=0,0:02:34.88,0:02:36.18,Default,,0000,0000,0000,,原來如此
Dialogue: Marked=0,0:02:36.32,0:02:37.98,Default,,0000,0000,0000,,把沙子纏繞在身上嗎
Dialogue: Marked=0,0:02:38.92,0:02:40.79,Default,,0000,0000,0000,,你的對手不只有他而已
Dialogue: Marked=0,0:02:40.89,0:02:41.95,Default,,0000,0000,0000,,還有我
Dialogue: Marked=0,0:03:01.21,0:03:02.54,Default,,0000,0000,0000,,剛才的一擊
Dialogue: Marked=0,0:03:02.61,0:03:05.67,Default,,0000,0000,0000,,如果沒有沙子保護我\N真的很危險
Dialogue: Marked=0,0:03:08.02,0:03:10.42,Default,,0000,0000,0000,,我的身體...
Dialogue: Marked=0,0:03:12.39,0:03:14.95,Default,,0000,0000,0000,,我這麼做反而會礙手礙腳
Dialogue: Marked=0,0:03:18.36,0:03:19.85,Default,,0000,0000,0000,,這些沙子真礙事
Dialogue: Marked=0,0:03:21.06,0:03:23.55,Default,,0000,0000,0000,,就先收拾掉你了，我愛羅
Dialogue: Marked=0,0:03:44.82,0:03:46.81,Default,,0000,0000,0000,,竟然把脊椎骨拔出來...
Dialogue: Marked=0,0:03:50.69,0:03:55.39,Default,,0000,0000,0000,,第127話\N最後的一擊!早蕨之舞
Dialogue: Marked=0,0:04:01.70,0:04:03.10,Default,,0000,0000,0000,,鐵線花之舞
Dialogue: Marked=0,0:04:03.91,0:04:04.77,Default,,0000,0000,0000,,藤蔓
Dialogue: Marked=0,0:04:16.42,0:04:17.21,Default,,0000,0000,0000,,花
Dialogue: Marked=0,0:04:23.79,0:04:25.73,Default,,0000,0000,0000,,硬化到最強程度的骨頭
Dialogue: Marked=0,0:04:27.73,0:04:31.22,Default,,0000,0000,0000,,把你和你的最強防禦\N一起貫穿
Dialogue: Marked=0,0:04:33.37,0:04:34.49,Default,,0000,0000,0000,,沒時間了嗎
Dialogue: Marked=0,0:04:42.24,0:04:44.07,Default,,0000,0000,0000,,最強絕對防禦
Dialogue: Marked=0,0:04:44.18,0:04:45.24,Default,,0000,0000,0000,,守鶴之盾
Dialogue: Marked=0,0:04:55.19,0:04:56.68,Default,,0000,0000,0000,,兜
Dialogue: Marked=0,0:04:56.76,0:04:59.16,Default,,0000,0000,0000,,君麻呂大概還能撐多久?
Dialogue: Marked=0,0:04:59.96,0:05:02.90,Default,,0000,0000,0000,,我想\N還可以再撐一段時間吧
Dialogue: Marked=0,0:05:05.60,0:05:08.69,Default,,0000,0000,0000,,雖然我已經盡全力治療他了
Dialogue: Marked=0,0:05:08.84,0:05:12.70,Default,,0000,0000,0000,,不過我手邊關於\N他身體的情報實在是太少了
Dialogue: Marked=0,0:05:14.21,0:05:17.97,Default,,0000,0000,0000,,如果有他們一族的病歷\N或者是醫療資料
Dialogue: Marked=0,0:05:18.05,0:05:20.28,Default,,0000,0000,0000,,或許情況就會大不相同了
Dialogue: Marked=0,0:05:22.92,0:05:24.91,Default,,0000,0000,0000,,我查到的就只有
