[Script Info]
Title: NARUTO -ナルト- 第128話 「届かない叫び」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:14.48,0:00:19.47,Default,,0000,0000,0000,,用陳舊的言辭
Dialogue: Marked=0,0:00:20.75,0:00:28.38,Default,,0000,0000,0000,,我只是想表達我們單純的想法
Dialogue: Marked=0,0:00:28.49,0:00:33.86,Default,,0000,0000,0000,,已吹拂而去的那天的風
Dialogue: Marked=0,0:00:34.83,0:00:38.20,Default,,0000,0000,0000,,被捨棄在昨日的廢墟裡
Dialogue: Marked=0,0:00:39.23,0:00:43.97,Default,,0000,0000,0000,,兩人相視而笑\N就因為活在當下
Dialogue: Marked=0,0:00:44.84,0:00:51.87,Default,,0000,0000,0000,,即便如此那件事還困擾著你嗎
Dialogue: Marked=0,0:00:53.35,0:00:56.72,Default,,0000,0000,0000,,就因為這樣才要說再見
Dialogue: Marked=0,0:00:56.85,0:01:03.88,Default,,0000,0000,0000,,只是這樣毫無保留地與你分享
Dialogue: Marked=0,0:01:03.99,0:01:10.92,Default,,0000,0000,0000,,好不容易我們察覺到\N那就是一切
Dialogue: Marked=0,0:01:11.00,0:01:17.96,Default,,0000,0000,0000,,悲傷流過臉頰\N如淚河般傾瀉而下
Dialogue: Marked=0,0:01:18.04,0:01:28.28,Default,,0000,0000,0000,,搖擺不定的想法\N變成強烈的漩渦 合而為一
Dialogue: Marked=0,0:01:49.37,0:01:50.34,Default,,0000,0000,0000,,佐助!
Dialogue: Marked=0,0:01:59.55,0:02:01.04,Default,,0000,0000,0000,,你這是在逃避我嗎
Dialogue: Marked=0,0:02:21.37,0:02:22.17,Default,,0000,0000,0000,,嗨
Dialogue: Marked=0,0:02:23.77,0:02:25.10,Default,,0000,0000,0000,,超級大白痴
Dialogue: Marked=0,0:02:25.74,0:02:30.40,Default,,0000,0000,0000,,第128話 聽不到的吶喊
Dialogue: Marked=0,0:02:43.49,0:02:44.69,Default,,0000,0000,0000,,這次換你了嗎
Dialogue: Marked=0,0:02:49.76,0:02:51.13,Default,,0000,0000,0000,,光憑我一個人辦不到的
Dialogue: Marked=0,0:02:52.50,0:02:55.66,Default,,0000,0000,0000,,根本沒有辦法\N阻止佐助離開村子
Dialogue: Marked=0,0:02:57.31,0:03:00.64,Default,,0000,0000,0000,,現在可以阻止得了佐助...
Dialogue: Marked=0,0:03:01.91,0:03:03.38,Default,,0000,0000,0000,,可以救他回來的人...
Dialogue: Marked=0,0:03:04.88,0:03:07.44,Default,,0000,0000,0000,,鳴人，就只有你了
Dialogue: Marked=0,0:03:08.82,0:03:09.61,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:03:10.92,0:03:13.68,Default,,0000,0000,0000,,這是我這一生的請求
Dialogue: Marked=0,0:03:15.56,0:03:19.25,Default,,0000,0000,0000,,請你把...把佐助帶回來
Dialogue: Marked=0,0:03:24.33,0:03:25.70,Default,,0000,0000,0000,,小櫻也已經跟我說過了
Dialogue: Marked=0,0:03:28.40,0:03:30.23,Default,,0000,0000,0000,,別再來煩我了
Dialogue: Marked=0,0:03:36.98,0:03:37.81,Default,,0000,0000,0000,,怎麼了
Dialogue: Marked=0,0:03:37.95,0:03:38.81,Default,,0000,0000,0000,,那是什麼表情啊
Dialogue: Marked=0,0:03:47.82,0:03:49.65,Default,,0000,0000,0000,,伊魯卡老師
Dialogue: Marked=0,0:03:49.72,0:03:53.79,Default,,0000,0000,0000,,這麼優秀的我為什麼\N會跟這種傢伙分在同一組呢
Dialogue: Marked=0,0:03:55.26,0:03:58.10,Default,,0000,0000,0000,,佐助是畢業生裡頭\N成績最好的
Dialogue: Marked=0,0:03:59.17,0:04:01.07,Default,,0000,0000,0000,,鳴人，你是最差的
Dialogue: Marked=0,0:04:01.97,0:04:04.37,Default,,0000,0000,0000,,為了讓各組的實力均等
Dialogue: Marked=0,0:04:04.51,0:04:05.67,Default,,0000,0000,0000,,這樣分組是理所當然的
Dialogue: Marked=0,0:04:06.87,0:04:09.47,Default,,0000,0000,0000,,你只要不要扯我後腿就行了
Dialogue: Marked=0,0:04:09.58,0:04:10.48,Default,,0000,0000,0000,,倒數的
Dialogue: Marked=0,0:04:10.58,0:04:14.48,Default,,0000,0000,0000,,我這個人啊\N就算沒有吃飯也不會怎麼樣的啦
Dialogue: Marked=0,0:04:14.62,0:04:16.61,Default,,0000,0000,0000,,沒有任何影響的哦
Dialogue: Marked=0,0:04:18.85,0:04:19.91,Default,,0000,0000,0000,,沒關係...
Dialogue: Marked=0,0:04:22.19,0:04:22.92,Default,,0000,0000,0000,,拿去吃吧
Dialogue: Marked=0,0:04:31.73,0:04:33.06,Default,,0000,0000,0000,,就...就是之前...
Dialogue: Marked=0,0:04:33.20,0:04:35.50,Default,,0000,0000,0000,,你跟小櫻問過訣竅不是嗎
Dialogue: Marked=0,0:04:36.24,0:04:37.86,Default,,0000,0000,0000,,小櫻跟你說了什麼
Dialogue: Marked=0,0:04:41.88,0:04:43.37,Default,,0000,0000,0000,,要回去了嗎
Dialogue: Marked=0,0:04:43.44,0:04:44.31,Default,,0000,0000,0000,,好啊
Dialogue: Marked=0,0:04:50.15,0:04:53.95,Default,,0000,0000,0000,,你這是什麼表情...
Dialogue: Marked=0,0:04:55.89,0:04:58.59,Default,,0000,0000,0000,,你這...超級大白痴
Dialogue: Marked=0,0:05:00.96,0:05:01.89,Default,,0000,0000,0000,,為...為什麼
Dialogue: Marked=0,0:05:03.40,0:05:07.84,Default,,0000,0000,0000,,我明明...就是最討厭你的
Dialogue: Marked=0,0:05:11.97,0:05:13.91,Default,,0000,0000,0000,,誰叫你多管閒事啊
Dialogue: Marked=0,0:05:18.75,0:05:20.18,Default,,0000,0000,0000,,誰知道啊
Dialogue: Marked=0,0:05:21.05,0:05:25.18,Default,,0000,0000,0000,,身體不由自主就這麼做了
Dialogue: Marked=0,0:05:29.86,0:05:33.42,Default,,0000,0000,0000,,就算拼命\N你也要把小櫻救出來
