[Script Info]
Title: NARUTO -ナルト- 第130話 「父と子 ひび割れた家紋」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:11.27,0:00:15.23,Default,,0000,0000,0000,,少年呀 你聽我說
Dialogue: Marked=0,0:00:16.18,0:00:19.74,Default,,0000,0000,0000,,人類沒什麼大不了的
Dialogue: Marked=0,0:00:21.02,0:00:24.68,Default,,0000,0000,0000,,因為已經沒有明天了
Dialogue: Marked=0,0:00:25.25,0:00:28.19,Default,,0000,0000,0000,,別把握緊的拳頭藏起來
Dialogue: Marked=0,0:00:30.39,0:00:38.16,Default,,0000,0000,0000,,還沒老糊塗到\N會把夢想賤賣給不安吧
Dialogue: Marked=0,0:00:40.07,0:00:47.17,Default,,0000,0000,0000,,少年呀 能扣下\N心槍扳機的就只有你了
Dialogue: Marked=0,0:00:49.28,0:00:51.54,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:00:51.68,0:00:53.91,Default,,0000,0000,0000,,做什麼都無聊到不行
Dialogue: Marked=0,0:00:54.05,0:00:58.68,Default,,0000,0000,0000,,因為現在\N就活在這美好的世界裡
Dialogue: Marked=0,0:00:58.79,0:01:01.15,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:01.26,0:01:03.52,Default,,0000,0000,0000,,所有的真實和謊言
Dialogue: Marked=0,0:01:03.59,0:01:06.75,Default,,0000,0000,0000,,我是絕對不會忘記的
Dialogue: Marked=0,0:01:08.40,0:01:10.69,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:10.77,0:01:13.03,Default,,0000,0000,0000,,要死也太過年輕了吧
Dialogue: Marked=0,0:01:13.17,0:01:15.43,Default,,0000,0000,0000,,全都一臉掃興的表情
Dialogue: Marked=0,0:01:15.50,0:01:17.87,Default,,0000,0000,0000,,在這空盪盪的城市裡
Dialogue: Marked=0,0:01:17.94,0:01:20.20,Default,,0000,0000,0000,,所有年輕人都去了
Dialogue: Marked=0,0:01:20.34,0:01:22.64,Default,,0000,0000,0000,,因為想在這無風的夜裡
Dialogue: Marked=0,0:01:22.71,0:01:25.84,Default,,0000,0000,0000,,嘗試著來改變些什麼
Dialogue: Marked=0,0:01:43.26,0:01:44.73,Default,,0000,0000,0000,,我看你這下子
Dialogue: Marked=0,0:01:44.80,0:01:46.53,Default,,0000,0000,0000,,應該清醒過來了吧
Dialogue: Marked=0,0:01:50.74,0:01:52.54,Default,,0000,0000,0000,,那次是因為有人出面阻擋
Dialogue: Marked=0,0:01:53.58,0:01:55.17,Default,,0000,0000,0000,,不過這次不會再有了
Dialogue: Marked=0,0:01:58.75,0:02:00.48,Default,,0000,0000,0000,,我就讓你見識一下
Dialogue: Marked=0,0:02:00.55,0:02:02.98,Default,,0000,0000,0000,,寫輪眼的真正力量
Dialogue: Marked=0,0:02:05.09,0:02:08.42,Default,,0000,0000,0000,,好啊，既然這樣的話\N我也拿出實力跟你拼了
Dialogue: Marked=0,0:02:10.66,0:02:14.75,Default,,0000,0000,0000,,你也一樣用你的那雙寫輪眼\N仔細看清楚
Dialogue: Marked=0,0:02:14.86,0:02:17.06,Default,,0000,0000,0000,,我鳴人口中所說的"忍道"
Dialogue: Marked=0,0:02:19.13,0:02:20.57,Default,,0000,0000,0000,,影分身之術
Dialogue: Marked=0,0:02:24.24,0:02:26.07,Default,,0000,0000,0000,,只是無謂增加人數的話
Dialogue: Marked=0,0:02:26.17,0:02:27.37,Default,,0000,0000,0000,,是打敗不了我的
Dialogue: Marked=0,0:02:30.15,0:02:30.91,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:02:38.35,0:02:42.19,Default,,0000,0000,0000,,用寫輪眼\N我只要看一眼就會看穿本體
Dialogue: Marked=0,0:02:42.29,0:02:44.82,Default,,0000,0000,0000,,我是故意\N想多陪你玩一下遊戲
Dialogue: Marked=0,0:02:47.96,0:02:49.45,Default,,0000,0000,0000,,我不會再手下留情了
Dialogue: Marked=0,0:02:57.47,0:02:59.24,Default,,0000,0000,0000,,火遁 豪火球之術
Dialogue: Marked=0,0:03:22.90,0:03:26.39,Default,,0000,0000,0000,,第130話\N父與子 出現裂痕的家紋
Dialogue: Marked=0,0:03:47.86,0:03:48.84,Default,,0000,0000,0000,,到底是什麼
Dialogue: Marked=0,0:03:50.26,0:03:51.38,Default,,0000,0000,0000,,哥哥的那種眼睛
Dialogue: Marked=0,0:03:52.93,0:03:56.62,Default,,0000,0000,0000,,那種樣子\N絕對不是普通的寫輪眼
Dialogue: Marked=0,0:04:02.57,0:04:06.34,Default,,0000,0000,0000,,而且\N那件事已經發生一段時間了
Dialogue: Marked=0,0:04:07.48,0:04:10.04,Default,,0000,0000,0000,,爸爸和哥哥之間的感覺\N還是不太對
Dialogue: Marked=0,0:05:12.31,0:05:15.24,Default,,0000,0000,0000,,早安，爸爸
Dialogue: Marked=0,0:05:19.88,0:05:20.68,Default,,0000,0000,0000,,早安
Dialogue: Marked=0,0:05:21.68,0:05:22.81,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:05:22.88,0:05:24.88,Default,,0000,0000,0000,,最近忍者學校的課\N上得怎麼樣了
Dialogue: Marked=0,0:05:28.32,0:05:30.55,Default,,0000,0000,0000,,我覺得在學校上課好無聊
Dialogue: Marked=0,0:05:31.33,0:05:32.76,Default,,0000,0000,0000,,因為我每次都是第一名
Dialogue: Marked=0,0:05:35.90,0:05:37.96,Default,,0000,0000,0000,,火遁 豪火球之術
