[Script Info]
Title: NARUTO -ナルト- 第134話 「涙雨の結末」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:11.31,0:00:15.17,Default,,0000,0000,0000,,少年呀 你聽我說
Dialogue: Marked=0,0:00:16.18,0:00:19.74,Default,,0000,0000,0000,,人類沒什麼大不了的
Dialogue: Marked=0,0:00:21.02,0:00:25.15,Default,,0000,0000,0000,,因為已經沒有明天了
Dialogue: Marked=0,0:00:25.25,0:00:28.19,Default,,0000,0000,0000,,別把握緊的拳頭藏起來
Dialogue: Marked=0,0:00:30.43,0:00:38.30,Default,,0000,0000,0000,,還沒老糊塗到\N會把夢想賤賣給不安吧
Dialogue: Marked=0,0:00:40.14,0:00:47.41,Default,,0000,0000,0000,,少年呀 能扣下\N心槍扳機的就只有你了
Dialogue: Marked=0,0:00:49.34,0:00:51.64,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:00:51.75,0:00:54.04,Default,,0000,0000,0000,,做什麼都無聊到不行
Dialogue: Marked=0,0:00:54.15,0:00:58.64,Default,,0000,0000,0000,,因為現在\N就活在這美好的世界裡
Dialogue: Marked=0,0:00:58.75,0:01:01.15,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:01.26,0:01:03.55,Default,,0000,0000,0000,,所有的真實和謊言
Dialogue: Marked=0,0:01:03.66,0:01:06.75,Default,,0000,0000,0000,,我是絕對不會忘記的
Dialogue: Marked=0,0:01:08.40,0:01:10.73,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:10.83,0:01:13.06,Default,,0000,0000,0000,,要死也太過年輕了吧
Dialogue: Marked=0,0:01:13.17,0:01:15.47,Default,,0000,0000,0000,,全都一臉掃興的表情
Dialogue: Marked=0,0:01:15.57,0:01:17.87,Default,,0000,0000,0000,,在這空盪盪的城市裡
Dialogue: Marked=0,0:01:17.97,0:01:20.27,Default,,0000,0000,0000,,所有年輕人都去了
Dialogue: Marked=0,0:01:20.38,0:01:22.64,Default,,0000,0000,0000,,因為想在這無風的夜裡
Dialogue: Marked=0,0:01:22.74,0:01:25.84,Default,,0000,0000,0000,,嘗試著來改變些什麼
Dialogue: Marked=0,0:01:31.09,0:01:35.96,Default,,0000,0000,0000,,第134話 淚雨的結局
Dialogue: Marked=0,0:01:51.34,0:01:52.93,Default,,0000,0000,0000,,特別...
Dialogue: Marked=0,0:01:54.41,0:01:57.85,Default,,0000,0000,0000,,你說的特別\N就是指這麼回事嗎
Dialogue: Marked=0,0:02:03.52,0:02:05.15,Default,,0000,0000,0000,,我不覺得我會輸
Dialogue: Marked=0,0:03:39.15,0:03:41.51,Default,,0000,0000,0000,,佐助...你...
Dialogue: Marked=0,0:03:52.69,0:03:55.39,Default,,0000,0000,0000,,如果解放狀態持續太久的話
Dialogue: Marked=0,0:03:55.50,0:03:58.62,Default,,0000,0000,0000,,咒印就會慢慢侵蝕你的身體
Dialogue: Marked=0,0:03:58.73,0:04:01.36,Default,,0000,0000,0000,,等到你全身都被咒印侵蝕
Dialogue: Marked=0,0:04:01.47,0:04:04.93,Default,,0000,0000,0000,,你就會永遠地失去自我
Dialogue: Marked=0,0:04:08.78,0:04:10.04,Default,,0000,0000,0000,,我的身體...
Dialogue: Marked=0,0:04:11.21,0:04:13.87,Default,,0000,0000,0000,,好像已經沒有時間\N凝聚查克拉了
Dialogue: Marked=0,0:04:23.36,0:04:26.19,Default,,0000,0000,0000,,我的左手沒有感覺了
Dialogue: Marked=0,0:04:29.83,0:04:31.49,Default,,0000,0000,0000,,看來你的那種力量
Dialogue: Marked=0,0:04:34.04,0:04:37.06,Default,,0000,0000,0000,,果然也是伴隨著風險嘛
Dialogue: Marked=0,0:04:41.68,0:04:42.73,Default,,0000,0000,0000,,你知道嗎
Dialogue: Marked=0,0:04:49.42,0:04:53.65,Default,,0000,0000,0000,,大家都把它叫做"終結之谷"
Dialogue: Marked=0,0:04:56.49,0:04:58.19,Default,,0000,0000,0000,,這是個不錯的舞台呢
Dialogue: Marked=0,0:04:59.89,0:05:01.59,Default,,0000,0000,0000,,不是嗎?鳴人
Dialogue: Marked=0,0:05:12.37,0:05:13.74,Default,,0000,0000,0000,,說的也是
Dialogue: Marked=0,0:05:15.11,0:05:17.74,Default,,0000,0000,0000,,我說過我們\N聊天的時間已經結束了
Dialogue: Marked=0,0:05:19.45,0:05:21.97,Default,,0000,0000,0000,,差不多是該做個了結了
Dialogue: Marked=0,0:05:22.98,0:05:24.38,Default,,0000,0000,0000,,這一場戰鬥...
Dialogue: Marked=0,0:05:26.05,0:05:27.75,Default,,0000,0000,0000,,到現在為止的戰鬥...
Dialogue: Marked=0,0:05:29.09,0:05:31.06,Default,,0000,0000,0000,,接下來是第七小組
Dialogue: Marked=0,0:05:31.16,0:05:32.35,Default,,0000,0000,0000,,漩渦鳴人
Dialogue: Marked=0,0:05:33.70,0:05:34.75,Default,,0000,0000,0000,,春野櫻
Dialogue: Marked=0,0:05:36.66,0:05:38.06,Default,,0000,0000,0000,,太好了!
Dialogue: Marked=0,0:05:38.17,0:05:39.60,Default,,0000,0000,0000,,跟鳴人同一組...
