[Script Info]
Title: NARUTO -ナルト- 第136話 「潜入捜査！？遂にきたきた超S級任務」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:11.27,0:00:15.14,Default,,0000,0000,0000,,少年呀 你聽我說
Dialogue: Marked=0,0:00:16.21,0:00:19.77,Default,,0000,0000,0000,,人類沒什麼大不了的
Dialogue: Marked=0,0:00:21.05,0:00:25.18,Default,,0000,0000,0000,,因為已經沒有明天了
Dialogue: Marked=0,0:00:25.29,0:00:28.22,Default,,0000,0000,0000,,別把握緊的拳頭藏起來
Dialogue: Marked=0,0:00:30.46,0:00:38.19,Default,,0000,0000,0000,,還沒老糊塗到\N會把夢想賤賣給不安吧
Dialogue: Marked=0,0:00:40.17,0:00:47.27,Default,,0000,0000,0000,,少年呀 能扣下\N心槍扳機的就只有你了
Dialogue: Marked=0,0:00:49.34,0:00:51.64,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:00:51.75,0:00:54.01,Default,,0000,0000,0000,,做什麼都無聊到不行
Dialogue: Marked=0,0:00:54.12,0:00:58.71,Default,,0000,0000,0000,,因為現在\N就活在這美好的世界裡
Dialogue: Marked=0,0:00:58.82,0:01:01.19,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:01.29,0:01:03.59,Default,,0000,0000,0000,,所有的真實和謊言
Dialogue: Marked=0,0:01:03.69,0:01:06.72,Default,,0000,0000,0000,,我是絕對不會忘記的
Dialogue: Marked=0,0:01:08.46,0:01:10.76,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:10.87,0:01:13.10,Default,,0000,0000,0000,,要死也太過年輕了吧
Dialogue: Marked=0,0:01:13.20,0:01:15.53,Default,,0000,0000,0000,,全都一臉掃興的表情
Dialogue: Marked=0,0:01:15.64,0:01:17.90,Default,,0000,0000,0000,,在這空盪盪的城市裡
Dialogue: Marked=0,0:01:18.01,0:01:20.27,Default,,0000,0000,0000,,所有年輕人都去了
Dialogue: Marked=0,0:01:20.38,0:01:22.67,Default,,0000,0000,0000,,因為想在這無風的夜裡
Dialogue: Marked=0,0:01:22.78,0:01:25.80,Default,,0000,0000,0000,,嘗試著來改變些什麼
Dialogue: Marked=0,0:01:30.62,0:01:34.55,Default,,0000,0000,0000,,第136話 潛入搜查!\N終於接到的超S級任務
Dialogue: Marked=0,0:01:47.77,0:01:48.67,Default,,0000,0000,0000,,搞不好在那邊
Dialogue: Marked=0,0:01:57.08,0:02:00.91,Default,,0000,0000,0000,,想要精力充沛\N果然還是吃一樂的拉麵最棒了
Dialogue: Marked=0,0:02:01.78,0:02:03.55,Default,,0000,0000,0000,,老闆，再來一碗
Dialogue: Marked=0,0:02:04.99,0:02:05.78,Default,,0000,0000,0000,,好的
Dialogue: Marked=0,0:02:16.80,0:02:18.63,Default,,0000,0000,0000,,要再來一碗啊
Dialogue: Marked=0,0:02:18.73,0:02:21.86,Default,,0000,0000,0000,,你擅自離開病房\N我還以為你是跑去修練了呢
Dialogue: Marked=0,0:02:26.41,0:02:27.81,Default,,0000,0000,0000,,你們也要吃嗎
Dialogue: Marked=0,0:02:30.78,0:02:32.94,Default,,0000,0000,0000,,老闆，麵錢放在桌上了
Dialogue: Marked=0,0:02:34.22,0:02:35.08,Default,,0000,0000,0000,,謝謝惠顧
Dialogue: Marked=0,0:02:36.52,0:02:38.35,Default,,0000,0000,0000,,真是的，我已經好了啦
Dialogue: Marked=0,0:02:38.45,0:02:39.44,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:02:39.55,0:02:41.42,Default,,0000,0000,0000,,就算表面上看起來\N好像都痊癒了
Dialogue: Marked=0,0:02:41.52,0:02:42.82,Default,,0000,0000,0000,,裡面還是很糟糕的喔
Dialogue: Marked=0,0:02:43.83,0:02:45.55,Default,,0000,0000,0000,,才沒有那麼一回事呢
Dialogue: Marked=0,0:02:45.66,0:02:49.72,Default,,0000,0000,0000,,因為我啊，必須藉由修行\N讓自己變得更強更強才行
Dialogue: Marked=0,0:02:49.83,0:02:51.26,Default,,0000,0000,0000,,是...
Dialogue: Marked=0,0:02:51.37,0:02:53.06,Default,,0000,0000,0000,,等你的傷治好再說吧
Dialogue: Marked=0,0:02:53.17,0:02:54.16,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:02:54.27,0:02:58.30,Default,,0000,0000,0000,,因為我得早日實現\N答應小櫻的約定啦
Dialogue: Marked=0,0:03:03.75,0:03:06.87,Default,,0000,0000,0000,,小櫻，現在的妳
Dialogue: Marked=0,0:03:06.98,0:03:07.97,Default,,0000,0000,0000,,真的很丟臉
Dialogue: Marked=0,0:03:10.35,0:03:15.45,Default,,0000,0000,0000,,鳴人\N這是我一生一世的請求
Dialogue: Marked=0,0:03:17.09,0:03:18.22,Default,,0000,0000,0000,,請你把...
Dialogue: Marked=0,0:03:19.26,0:03:20.96,Default,,0000,0000,0000,,請你把佐助帶回來
Dialogue: Marked=0,0:03:25.33,0:03:26.96,Default,,0000,0000,0000,,我已經無能為力了
Dialogue: Marked=0,0:03:28.10,0:03:29.03,Default,,0000,0000,0000,,光憑我一個人
Dialogue: Marked=0,0:03:29.14,0:03:31.50,Default,,0000,0000,0000,,根本沒辦法\N阻止佐助離開村子
Dialogue: Marked=0,0:03:35.78,0:03:39.77,Default,,0000,0000,0000,,我覺得現在\N可以阻止得了佐助
Dialogue: Marked=0,0:03:39.88,0:03:41.61,Default,,0000,0000,0000,,可以救他回來的人
Dialogue: Marked=0,0:03:43.08,0:03:45.95,Default,,0000,0000,0000,,鳴人，就只有你了
Dialogue: Marked=0,0:03:51.06,0:03:53.62,Default,,0000,0000,0000,,我只會在一旁流淚哭泣
Dialogue: Marked=0,0:03:54.43,0:03:56.76,Default,,0000,0000,0000,,只會把責任推給鳴人去扛
Dialogue: Marked=0,0:03:57.77,0:03:59.03,Default,,0000,0000,0000,,自己卻什麼都...
Dialogue: Marked=0,0:04:00.54,0:04:03.70,Default,,0000,0000,0000,,鳴人甚至可以\N拿自己的生命當賭注
Dialogue: Marked=0,0:04:03.81,0:04:06.33,Default,,0000,0000,0000,,下定決心\N一定要把佐助帶回來
Dialogue: Marked=0,0:04:21.36,0:04:24.79,Default,,0000,0000,0000,,現在的我到底\N可以為了佐助做些什麼呢
Dialogue: Marked=0,0:04:29.13,0:04:30.39,Default,,0000,0000,0000,,只能賭上我這條命了
Dialogue: Marked=0,0:04:37.04,0:04:38.47,Default,,0000,0000,0000,,沒用的
