[Script Info]
Title: NARUTO -ナルト- 第143話 「走れトントン！お前の鼻が頼りだってばよ」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:11.34,0:00:15.28,Default,,0000,0000,0000,,少年呀 你聽我說
Dialogue: Marked=0,0:00:16.18,0:00:19.81,Default,,0000,0000,0000,,人類沒什麼大不了的
Dialogue: Marked=0,0:00:21.02,0:00:25.18,Default,,0000,0000,0000,,因為已經沒有明天了
Dialogue: Marked=0,0:00:25.29,0:00:28.12,Default,,0000,0000,0000,,別把握緊的拳頭藏起來
Dialogue: Marked=0,0:00:30.46,0:00:38.23,Default,,0000,0000,0000,,還沒老糊塗到\N會把夢想賤賣給不安吧
Dialogue: Marked=0,0:00:40.10,0:00:47.30,Default,,0000,0000,0000,,少年呀 能扣下\N心槍扳機的就只有你了
Dialogue: Marked=0,0:00:49.31,0:00:51.68,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:00:51.78,0:00:54.01,Default,,0000,0000,0000,,做什麼都無聊到不行
Dialogue: Marked=0,0:00:54.12,0:00:58.75,Default,,0000,0000,0000,,因為現在\N就活在這美好的世界裡
Dialogue: Marked=0,0:00:58.85,0:01:01.19,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:01.29,0:01:03.52,Default,,0000,0000,0000,,所有的真實和謊言
Dialogue: Marked=0,0:01:03.63,0:01:06.56,Default,,0000,0000,0000,,我是絕對不會忘記的
Dialogue: Marked=0,0:01:08.43,0:01:10.69,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:10.80,0:01:13.10,Default,,0000,0000,0000,,要死也太過年輕了吧
Dialogue: Marked=0,0:01:13.20,0:01:15.50,Default,,0000,0000,0000,,全都一臉掃興的表情
Dialogue: Marked=0,0:01:15.60,0:01:17.90,Default,,0000,0000,0000,,在這空盪盪的城市裡
Dialogue: Marked=0,0:01:18.01,0:01:20.24,Default,,0000,0000,0000,,所有年輕人都去了
Dialogue: Marked=0,0:01:20.34,0:01:22.64,Default,,0000,0000,0000,,因為想在這無風的夜裡
Dialogue: Marked=0,0:01:22.74,0:01:25.80,Default,,0000,0000,0000,,嘗試著來改變些什麼
Dialogue: Marked=0,0:01:31.75,0:01:35.52,Default,,0000,0000,0000,,第143話 跑吧咚咚!\N現在只能靠你的鼻子了
Dialogue: Marked=0,0:01:41.53,0:01:42.69,Default,,0000,0000,0000,,紅老師
Dialogue: Marked=0,0:01:42.80,0:01:43.76,Default,,0000,0000,0000,,阿斯瑪老師
Dialogue: Marked=0,0:01:44.63,0:01:46.53,Default,,0000,0000,0000,,這...這到底是怎麼回事啊
Dialogue: Marked=0,0:01:49.80,0:01:51.14,Default,,0000,0000,0000,,鳴...鳴人
Dialogue: Marked=0,0:02:00.72,0:02:01.31,Default,,0000,0000,0000,,找到了
Dialogue: Marked=0,0:02:02.12,0:02:03.02,Default,,0000,0000,0000,,快一點
Dialogue: Marked=0,0:02:04.95,0:02:05.89,Default,,0000,0000,0000,,醫療班...
Dialogue: Marked=0,0:02:10.66,0:02:12.65,Default,,0000,0000,0000,,現在沒有時間拖拖拉拉的了
Dialogue: Marked=0,0:02:12.76,0:02:15.16,Default,,0000,0000,0000,,做好應急處置之後\N立刻送到醫院去
Dialogue: Marked=0,0:02:17.60,0:02:20.07,Default,,0000,0000,0000,,到底...發生什麼事了啊
Dialogue: Marked=0,0:02:24.31,0:02:26.10,Default,,0000,0000,0000,,先不要管其他的犯人了
Dialogue: Marked=0,0:02:26.94,0:02:29.31,Default,,0000,0000,0000,,我們現在\N要把目標鎖定在水木身上
Dialogue: Marked=0,0:02:29.41,0:02:30.40,Default,,0000,0000,0000,,知道嗎
Dialogue: Marked=0,0:02:30.51,0:02:31.31,Default,,0000,0000,0000,,是
Dialogue: Marked=0,0:02:36.82,0:02:38.15,Default,,0000,0000,0000,,咚咚，很近了嗎
Dialogue: Marked=0,0:02:44.19,0:02:44.95,Default,,0000,0000,0000,,來了
Dialogue: Marked=0,0:02:45.59,0:02:47.56,Default,,0000,0000,0000,,我要開動了
Dialogue: Marked=0,0:02:47.66,0:02:49.10,Default,,0000,0000,0000,,難道這兩個傢伙是
Dialogue: Marked=0,0:02:52.07,0:02:53.12,Default,,0000,0000,0000,,風神雷神
Dialogue: Marked=0,0:02:54.54,0:02:56.50,Default,,0000,0000,0000,,這兩個傢伙就是風神，雷神
Dialogue: Marked=0,0:02:56.60,0:02:58.07,Default,,0000,0000,0000,,太大意可是會沒命的喔
Dialogue: Marked=0,0:02:58.74,0:03:01.23,Default,,0000,0000,0000,,大哥，炸豬排和烤生薑
Dialogue: Marked=0,0:03:01.34,0:03:02.60,Default,,0000,0000,0000,,哪一種好吃?
Dialogue: Marked=0,0:03:02.71,0:03:04.14,Default,,0000,0000,0000,,應該是兩種都好吃
Dialogue: Marked=0,0:03:06.48,0:03:08.42,Default,,0000,0000,0000,,我問你們，水木在哪裡
Dialogue: Marked=0,0:03:09.18,0:03:11.68,Default,,0000,0000,0000,,看來我好像挺受歡迎的嘛
Dialogue: Marked=0,0:03:12.85,0:03:13.84,Default,,0000,0000,0000,,是什麼時候...
Dialogue: Marked=0,0:03:14.56,0:03:15.39,Default,,0000,0000,0000,,糟了
Dialogue: Marked=0,0:03:31.74,0:03:35.30,Default,,0000,0000,0000,,還以為這事終於告一段落了...
Dialogue: Marked=0,0:03:35.41,0:03:37.34,Default,,0000,0000,0000,,又給我添麻煩了嘛
Dialogue: Marked=0,0:03:38.51,0:03:39.50,Default,,0000,0000,0000,,大蛇丸
Dialogue: Marked=0,0:03:45.49,0:03:46.68,Default,,0000,0000,0000,,報告火影大人
Dialogue: Marked=0,0:03:46.79,0:03:48.38,Default,,0000,0000,0000,,紅老師，阿斯瑪老師
Dialogue: Marked=0,0:03:48.49,0:03:49.89,Default,,0000,0000,0000,,都平安護送回來了
Dialogue: Marked=0,0:03:51.13,0:03:52.79,Default,,0000,0000,0000,,是嗎，辛苦了
Dialogue: Marked=0,0:03:59.40,0:04:01.87,Default,,0000,0000,0000,,我好像太小看對手了，對不起
Dialogue: Marked=0,0:04:01.97,0:04:04.00,Default,,0000,0000,0000,,不會，真是太丟臉了
Dialogue: Marked=0,0:04:04.11,0:04:06.07,Default,,0000,0000,0000,,都怪我們太大意
Dialogue: Marked=0,0:04:06.17,0:04:09.11,Default,,0000,0000,0000,,真沒想到所有的囚犯\N居然都正打算逃獄
Dialogue: Marked=0,0:04:09.91,0:04:12.71,Default,,0000,0000,0000,,加上看守的人\N被對方挾持當人質
Dialogue: Marked=0,0:04:14.42,0:04:16.21,Default,,0000,0000,0000,,在那之後的情況怎麼樣
Dialogue: Marked=0,0:04:20.05,0:04:24.96,Default,,0000,0000,0000,,這次的逃獄事件\N應該不是單純的突發事件
Dialogue: Marked=0,0:04:26.36,0:04:29.19,Default,,0000,0000,0000,,有計畫地\N先讓大量的其他囚犯脫逃
Dialogue: Marked=0,0:04:29.30,0:04:31.32,Default,,0000,0000,0000,,自己再乘隙逃之夭夭
Dialogue: Marked=0,0:04:32.37,0:04:33.70,Default,,0000,0000,0000,,水木那個傢伙...
Dialogue: Marked=0,0:04:35.84,0:04:36.93,Default,,0000,0000,0000,,綱手婆婆!
Dialogue: Marked=0,0:04:37.67,0:04:38.47,Default,,0000,0000,0000,,不要這樣!
Dialogue: Marked=0,0:04:39.31,0:04:42.24,Default,,0000,0000,0000,,妳不是說過\N大蛇丸怎樣怎樣的嗎
Dialogue: Marked=0,0:04:42.34,0:04:44.50,Default,,0000,0000,0000,,所以才會派老師\N他們過去處理的
Dialogue: Marked=0,0:04:46.05,0:04:48.74,Default,,0000,0000,0000,,我也不知道，只不過...
Dialogue: Marked=0,0:04:48.85,0:04:53.41,Default,,0000,0000,0000,,這筆跡跟從大蛇丸以前進行\N人體實驗的設施裡面搜出來資料
Dialogue: Marked=0,0:04:53.52,0:04:55.18,Default,,0000,0000,0000,,相似度很高
Dialogue: Marked=0,0:04:57.09,0:04:58.18,Default,,0000,0000,0000,,大蛇丸...
Dialogue: Marked=0,0:04:59.46,0:05:01.29,Default,,0000,0000,0000,,這小子全都聽到了嗎
Dialogue: Marked=0,0:05:08.04,0:05:09.20,Default,,0000,0000,0000,,可以放開我了吧
Dialogue: Marked=0,0:05:09.30,0:05:10.29,Default,,0000,0000,0000,,放開他吧
Dialogue: Marked=0,0:05:10.41,0:05:11.27,Default,,0000,0000,0000,,是
Dialogue: Marked=0,0:05:16.44,0:05:18.34,Default,,0000,0000,0000,,總而言之，我先去找線索
Dialogue: Marked=0,0:05:18.45,0:05:20.21,Default,,0000,0000,0000,,你打算一個人到哪去
Dialogue: Marked=0,0:05:22.18,0:05:23.98,Default,,0000,0000,0000,,這還用得著說嗎
Dialogue: Marked=0,0:05:24.09,0:05:26.18,Default,,0000,0000,0000,,就是去把佐助給帶回來啊
Dialogue: Marked=0,0:05:28.46,0:05:31.12,Default,,0000,0000,0000,,真是的\N現在已經戰力不足了
