[Script Info]
Title: NARUTO -ナルト- 第146話 「残された野望 大蛇丸の影」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:11.61,0:00:15.37,Default,,0000,0000,0000,,少年呀 你聽我說
Dialogue: Marked=0,0:00:16.48,0:00:20.01,Default,,0000,0000,0000,,人類沒什麼大不了的
Dialogue: Marked=0,0:00:21.32,0:00:24.88,Default,,0000,0000,0000,,因為已經沒有明天了
Dialogue: Marked=0,0:00:25.55,0:00:28.42,Default,,0000,0000,0000,,別把握緊的拳頭藏起來
Dialogue: Marked=0,0:00:30.73,0:00:38.46,Default,,0000,0000,0000,,還沒老糊塗到\N會把夢想賤賣給不安吧
Dialogue: Marked=0,0:00:40.40,0:00:47.57,Default,,0000,0000,0000,,少年呀 能扣下\N心槍扳機的就只有你了
Dialogue: Marked=0,0:00:49.61,0:00:51.94,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:00:52.05,0:00:54.31,Default,,0000,0000,0000,,做什麼都無聊到不行
Dialogue: Marked=0,0:00:54.42,0:00:58.94,Default,,0000,0000,0000,,因為現在\N就活在這美好的世界裡
Dialogue: Marked=0,0:00:59.05,0:01:01.45,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:01.56,0:01:03.82,Default,,0000,0000,0000,,所有的真實和謊言
Dialogue: Marked=0,0:01:03.93,0:01:06.86,Default,,0000,0000,0000,,我是絕對不會忘記的
Dialogue: Marked=0,0:01:08.73,0:01:10.99,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:11.10,0:01:13.36,Default,,0000,0000,0000,,要死也太過年輕了吧
Dialogue: Marked=0,0:01:13.47,0:01:15.77,Default,,0000,0000,0000,,全都一臉掃興的表情
Dialogue: Marked=0,0:01:15.87,0:01:18.20,Default,,0000,0000,0000,,在這空盪盪的城市裡
Dialogue: Marked=0,0:01:18.31,0:01:20.57,Default,,0000,0000,0000,,所有年輕人都去了
Dialogue: Marked=0,0:01:20.68,0:01:22.97,Default,,0000,0000,0000,,因為想在這無風的夜裡
Dialogue: Marked=0,0:01:23.08,0:01:26.14,Default,,0000,0000,0000,,嘗試著來改變些什麼
Dialogue: Marked=0,0:01:30.75,0:01:35.21,Default,,0000,0000,0000,,第146話 遺留下的野心\N大蛇丸的影子
Dialogue: Marked=0,0:01:43.20,0:01:44.63,Default,,0000,0000,0000,,不會吧
Dialogue: Marked=0,0:01:44.73,0:01:47.10,Default,,0000,0000,0000,,伊魯卡老師\N現在到底是怎麼樣了
Dialogue: Marked=0,0:01:47.74,0:01:50.26,Default,,0000,0000,0000,,伊魯卡的味道\N到這裡就聞不到了
Dialogue: Marked=0,0:01:50.97,0:01:52.67,Default,,0000,0000,0000,,總而言之現在也只有找了
Dialogue: Marked=0,0:01:53.61,0:01:55.10,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:01:55.21,0:01:57.20,Default,,0000,0000,0000,,伊魯卡老師到底在哪裡啊
Dialogue: Marked=0,0:02:06.29,0:02:07.15,Default,,0000,0000,0000,,伊魯卡老師
Dialogue: Marked=0,0:02:08.89,0:02:10.19,Default,,0000,0000,0000,,真是太好了
Dialogue: Marked=0,0:02:10.29,0:02:11.42,Default,,0000,0000,0000,,原來你平安無事
Dialogue: Marked=0,0:02:13.13,0:02:13.99,Default,,0000,0000,0000,,算是吧
Dialogue: Marked=0,0:02:16.46,0:02:18.83,Default,,0000,0000,0000,,可惡...水木那傢伙
Dialogue: Marked=0,0:02:19.87,0:02:21.30,Default,,0000,0000,0000,,伊魯卡老師
Dialogue: Marked=0,0:02:21.40,0:02:22.37,Default,,0000,0000,0000,,你的傷...
Dialogue: Marked=0,0:02:23.27,0:02:25.36,Default,,0000,0000,0000,,這種小傷算不了什麼的
Dialogue: Marked=0,0:02:27.68,0:02:28.54,Default,,0000,0000,0000,,伊魯卡老師
Dialogue: Marked=0,0:02:29.74,0:02:30.90,Default,,0000,0000,0000,,沒事
Dialogue: Marked=0,0:02:31.01,0:02:32.57,Default,,0000,0000,0000,,只是傷口有一點疼而已
Dialogue: Marked=0,0:02:34.35,0:02:35.25,Default,,0000,0000,0000,,有人過來了
Dialogue: Marked=0,0:02:44.66,0:02:46.82,Default,,0000,0000,0000,,幸好傷口沒有很深
Dialogue: Marked=0,0:02:50.73,0:02:53.13,Default,,0000,0000,0000,,我總覺得氣氛很沈重
Dialogue: Marked=0,0:02:54.80,0:03:00.14,Default,,0000,0000,0000,,根據我的想法\N那兩個人好像有什麼關係
