[Script Info]
Title: NARUTO -ナルト- 第147話 「因縁の対決！オマエにオレは倒せねえ」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:11.37,0:00:15.10,Default,,0000,0000,0000,,少年呀 你聽我說
Dialogue: Marked=0,0:00:16.18,0:00:19.81,Default,,0000,0000,0000,,人類沒什麼大不了的
Dialogue: Marked=0,0:00:21.02,0:00:24.58,Default,,0000,0000,0000,,因為已經沒有明天了
Dialogue: Marked=0,0:00:25.29,0:00:28.19,Default,,0000,0000,0000,,別把握緊的拳頭藏起來
Dialogue: Marked=0,0:00:30.53,0:00:38.19,Default,,0000,0000,0000,,還沒老糊塗到\N會把夢想賤賣給不安吧
Dialogue: Marked=0,0:00:40.14,0:00:47.20,Default,,0000,0000,0000,,少年呀 能扣下\N心槍扳機的就只有你了
Dialogue: Marked=0,0:00:49.28,0:00:51.68,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:00:51.78,0:00:54.01,Default,,0000,0000,0000,,做什麼都無聊到不行
Dialogue: Marked=0,0:00:54.12,0:00:58.81,Default,,0000,0000,0000,,因為現在\N就活在這美好的世界裡
Dialogue: Marked=0,0:00:58.92,0:01:01.22,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:01.32,0:01:03.62,Default,,0000,0000,0000,,所有的真實和謊言
Dialogue: Marked=0,0:01:03.73,0:01:06.75,Default,,0000,0000,0000,,我是絕對不會忘記的
Dialogue: Marked=0,0:01:08.50,0:01:10.73,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:10.83,0:01:13.10,Default,,0000,0000,0000,,要死也太過年輕了吧
Dialogue: Marked=0,0:01:13.20,0:01:15.50,Default,,0000,0000,0000,,全都一臉掃興的表情
Dialogue: Marked=0,0:01:15.60,0:01:17.87,Default,,0000,0000,0000,,在這空盪盪的城市裡
Dialogue: Marked=0,0:01:17.97,0:01:20.30,Default,,0000,0000,0000,,所有年輕人都去了
Dialogue: Marked=0,0:01:20.41,0:01:22.71,Default,,0000,0000,0000,,因為想在這無風的夜裡
Dialogue: Marked=0,0:01:22.81,0:01:25.80,Default,,0000,0000,0000,,嘗試著來改變些什麼
Dialogue: Marked=0,0:01:31.45,0:01:35.95,Default,,0000,0000,0000,,第147話 因緣的對決!\N你是打敗不了我的
Dialogue: Marked=0,0:01:39.73,0:01:42.16,Default,,0000,0000,0000,,這到底是什麼樣的查克拉
Dialogue: Marked=0,0:01:42.26,0:01:44.06,Default,,0000,0000,0000,,連皮膚都有刺痛的感覺
Dialogue: Marked=0,0:01:45.10,0:01:46.43,Default,,0000,0000,0000,,我的鼻子也是
Dialogue: Marked=0,0:01:50.14,0:01:50.97,Default,,0000,0000,0000,,水木...
Dialogue: Marked=0,0:01:55.31,0:01:57.87,Default,,0000,0000,0000,,怎麼啦，不過來嗎
Dialogue: Marked=0,0:01:58.68,0:02:00.51,Default,,0000,0000,0000,,你這混蛋
Dialogue: Marked=0,0:02:01.62,0:02:03.14,Default,,0000,0000,0000,,鳴人，別去
Dialogue: Marked=0,0:02:07.06,0:02:07.89,Default,,0000,0000,0000,,真是個笨蛋
Dialogue: Marked=0,0:02:13.13,0:02:13.82,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:02:14.60,0:02:17.06,Default,,0000,0000,0000,,喂\N你還有餘地去擔心別人嗎
Dialogue: Marked=0,0:02:17.57,0:02:18.36,Default,,0000,0000,0000,,好快啊
Dialogue: Marked=0,0:02:24.47,0:02:26.20,Default,,0000,0000,0000,,再加上超強大的力量
Dialogue: Marked=0,0:02:29.78,0:02:32.41,Default,,0000,0000,0000,,這就是大蛇丸大人\N所說的力量了嗎
Dialogue: Marked=0,0:02:33.78,0:02:37.22,Default,,0000,0000,0000,,真是了不起\N力量大到有點可怕
Dialogue: Marked=0,0:02:38.55,0:02:40.49,Default,,0000,0000,0000,,對吧，伊魯卡
Dialogue: Marked=0,0:02:45.09,0:02:47.19,Default,,0000,0000,0000,,水木，一切到此為止吧
Dialogue: Marked=0,0:02:48.63,0:02:49.43,Default,,0000,0000,0000,,我求求你
Dialogue: Marked=0,0:02:54.24,0:02:55.00,Default,,0000,0000,0000,,小椿
Dialogue: Marked=0,0:02:55.74,0:02:57.60,Default,,0000,0000,0000,,我不在乎自己會怎麼樣
Dialogue: Marked=0,0:02:57.71,0:03:00.77,Default,,0000,0000,0000,,我只希望\N你不要再繼續犯錯下去了
Dialogue: Marked=0,0:03:02.48,0:03:03.34,Default,,0000,0000,0000,,我求求你
Dialogue: Marked=0,0:03:04.75,0:03:05.91,Default,,0000,0000,0000,,回村子去吧
Dialogue: Marked=0,0:03:08.32,0:03:09.51,Default,,0000,0000,0000,,小椿
Dialogue: Marked=0,0:03:09.62,0:03:13.61,Default,,0000,0000,0000,,如果妳真如此替我著想的話
Dialogue: Marked=0,0:03:14.29,0:03:16.35,Default,,0000,0000,0000,,就給我派上點用場吧
Dialogue: Marked=0,0:03:18.49,0:03:19.36,Default,,0000,0000,0000,,小椿姊姊
Dialogue: Marked=0,0:03:24.80,0:03:25.53,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:03:26.20,0:03:27.29,Default,,0000,0000,0000,,太慢了吧
Dialogue: Marked=0,0:03:33.11,0:03:34.04,Default,,0000,0000,0000,,伊魯卡老師
Dialogue: Marked=0,0:03:34.68,0:03:35.64,Default,,0000,0000,0000,,可惡...
Dialogue: Marked=0,0:03:36.34,0:03:37.68,Default,,0000,0000,0000,,影分身之術
Dialogue: Marked=0,0:03:41.55,0:03:44.35,Default,,0000,0000,0000,,一成不變的集體攻擊是嗎
Dialogue: Marked=0,0:03:44.45,0:03:46.11,Default,,0000,0000,0000,,簡直完全沒有進步嘛
Dialogue: Marked=0,0:03:47.42,0:03:48.35,Default,,0000,0000,0000,,不見了
Dialogue: Marked=0,0:03:48.46,0:03:51.48,Default,,0000,0000,0000,,他不是不見了\N只是速度變快而已
Dialogue: Marked=0,0:03:52.76,0:03:55.99,Default,,0000,0000,0000,,從剛才那傢伙就利用\N加速在製造死角
Dialogue: Marked=0,0:03:56.10,0:03:56.96,Default,,0000,0000,0000,,既然這樣
Dialogue: Marked=0,0:03:57.87,0:04:01.49,Default,,0000,0000,0000,,各位\N周圍要徹底做好警戒喔
Dialogue: Marked=0,0:04:01.60,0:04:03.87,Default,,0000,0000,0000,,這就叫做漩渦之陣
Dialogue: Marked=0,0:04:03.97,0:04:04.73,Default,,0000,0000,0000,,好!
Dialogue: Marked=0,0:04:11.81,0:04:13.44,Default,,0000,0000,0000,,原來如此
Dialogue: Marked=0,0:04:13.55,0:04:16.28,Default,,0000,0000,0000,,的確是傻瓜才想得出來
Dialogue: Marked=0,0:04:16.38,0:04:17.37,Default,,0000,0000,0000,,既然這樣
Dialogue: Marked=0,0:04:18.62,0:04:20.75,Default,,0000,0000,0000,,就讓你好不容易想到的智慧
Dialogue: Marked=0,0:04:20.86,0:04:23.05,Default,,0000,0000,0000,,跌入更深的絕望裡吧
Dialogue: Marked=0,0:04:23.73,0:04:24.38,Default,,0000,0000,0000,,找到了
Dialogue: Marked=0,0:04:24.49,0:04:25.62,Default,,0000,0000,0000,,已經看到人了
Dialogue: Marked=0,0:04:26.13,0:04:27.79,Default,,0000,0000,0000,,不是你們找到了
Dialogue: Marked=0,0:04:27.90,0:04:29.59,Default,,0000,0000,0000,,是我故意要讓你們看見的
Dialogue: Marked=0,0:04:38.94,0:04:40.07,Default,,0000,0000,0000,,在這裡
Dialogue: Marked=0,0:04:46.18,0:04:49.62,Default,,0000,0000,0000,,可惡，明明看到了卻打不到
Dialogue: Marked=0,0:04:50.15,0:04:53.05,Default,,0000,0000,0000,,我告訴你\N我可沒有看穿你的動作
Dialogue: Marked=0,0:04:53.15,0:04:54.95,Default,,0000,0000,0000,,是你們太遲鈍了
Dialogue: Marked=0,0:05:00.93,0:05:01.86,Default,,0000,0000,0000,,好痛...
Dialogue: Marked=0,0:05:06.03,0:05:07.26,Default,,0000,0000,0000,,好個狼狽樣呀
Dialogue: Marked=0,0:05:08.30,0:05:09.70,Default,,0000,0000,0000,,你這妖狐
Dialogue: Marked=0,0:05:16.14,0:05:19.41,Default,,0000,0000,0000,,你別高興得這麼誇張嘛
Dialogue: Marked=0,0:05:19.51,0:05:23.38,Default,,0000,0000,0000,,接下來我要你償還\N我在牢裡所嚐到的痛苦
Dialogue: Marked=0,0:05:24.22,0:05:26.24,Default,,0000,0000,0000,,我還沒有正式開始呢，鳴人
Dialogue: Marked=0,0:05:27.82,0:05:31.09,Default,,0000,0000,0000,,真正的好戲才要上場了
Dialogue: Marked=0,0:05:37.40,0:05:39.06,Default,,0000,0000,0000,,住手，水木
Dialogue: Marked=0,0:05:39.17,0:05:40.73,Default,,0000,0000,0000,,你不要對鳴人下手
