[Script Info]
Title: NARUTO -ナルト- 第148話 「超追尾力に赤丸も嫉妬！幻の微香虫を探せ」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:11.51,0:00:15.24,Default,,0000,0000,0000,,少年呀 你聽我說
Dialogue: Marked=0,0:00:16.31,0:00:19.94,Default,,0000,0000,0000,,人類沒什麼大不了的
Dialogue: Marked=0,0:00:21.18,0:00:24.71,Default,,0000,0000,0000,,因為已經沒有明天了
Dialogue: Marked=0,0:00:25.45,0:00:28.32,Default,,0000,0000,0000,,別把握緊的拳頭藏起來
Dialogue: Marked=0,0:00:30.66,0:00:38.33,Default,,0000,0000,0000,,還沒老糊塗到\N會把夢想賤賣給不安吧
Dialogue: Marked=0,0:00:40.30,0:00:47.40,Default,,0000,0000,0000,,少年呀 能扣下\N心槍扳機的就只有你了
Dialogue: Marked=0,0:00:49.51,0:00:51.84,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:00:51.95,0:00:54.21,Default,,0000,0000,0000,,做什麼都無聊到不行
Dialogue: Marked=0,0:00:54.32,0:00:58.91,Default,,0000,0000,0000,,因為現在\N就活在這美好的世界裡
Dialogue: Marked=0,0:00:59.02,0:01:01.35,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:01.46,0:01:03.75,Default,,0000,0000,0000,,所有的真實和謊言
Dialogue: Marked=0,0:01:03.86,0:01:06.92,Default,,0000,0000,0000,,我是絕對不會忘記的
Dialogue: Marked=0,0:01:08.66,0:01:10.93,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:11.03,0:01:13.30,Default,,0000,0000,0000,,要死也太過年輕了吧
Dialogue: Marked=0,0:01:13.40,0:01:15.70,Default,,0000,0000,0000,,全都一臉掃興的表情
Dialogue: Marked=0,0:01:15.80,0:01:18.10,Default,,0000,0000,0000,,在這空盪盪的城市裡
Dialogue: Marked=0,0:01:18.21,0:01:20.44,Default,,0000,0000,0000,,所有年輕人都去了
Dialogue: Marked=0,0:01:20.54,0:01:22.84,Default,,0000,0000,0000,,因為想在這無風的夜裡
Dialogue: Marked=0,0:01:22.94,0:01:26.00,Default,,0000,0000,0000,,嘗試著來改變些什麼
Dialogue: Marked=0,0:01:47.04,0:01:48.02,Default,,0000,0000,0000,,是綱手大人
Dialogue: Marked=0,0:01:50.41,0:01:51.46,Default,,0000,0000,0000,,你們幾個是...
Dialogue: Marked=0,0:01:51.57,0:01:53.67,Default,,0000,0000,0000,,什麼嘛，你們也是來探病的嗎
Dialogue: Marked=0,0:01:54.31,0:01:55.04,Default,,0000,0000,0000,,是
Dialogue: Marked=0,0:01:55.51,0:01:57.03,Default,,0000,0000,0000,,那麼綱手大人也是
Dialogue: Marked=0,0:01:57.91,0:01:58.61,Default,,0000,0000,0000,,算吧
Dialogue: Marked=0,0:01:59.18,0:02:01.34,Default,,0000,0000,0000,,是因為不想待在辦公室裡
Dialogue: Marked=0,0:02:01.45,0:02:02.38,Default,,0000,0000,0000,,妳少囉嗦
Dialogue: Marked=0,0:02:03.82,0:02:06.58,Default,,0000,0000,0000,,雛田\N看到紅老師不可以暈過去喔
Dialogue: Marked=0,0:02:07.26,0:02:09.59,Default,,0000,0000,0000,,這件事不要再提了
Dialogue: Marked=0,0:02:10.23,0:02:11.82,Default,,0000,0000,0000,,發生什麼事了嗎
Dialogue: Marked=0,0:02:11.93,0:02:13.59,Default,,0000,0000,0000,,之前過來探望鳴人的時候...
Dialogue: Marked=0,0:02:13.70,0:02:14.82,Default,,0000,0000,0000,,志乃!
Dialogue: Marked=0,0:02:14.93,0:02:16.92,Default,,0000,0000,0000,,這傢伙就暈過去了
Dialogue: Marked=0,0:02:17.03,0:02:19.40,Default,,0000,0000,0000,,因為看到全身包滿繃帶的鳴人\N牙!
Dialogue: Marked=0,0:02:19.50,0:02:21.59,Default,,0000,0000,0000,,我...我這次不會再暈過去了
