[Script Info]
Title: NARUTO -ナルト- 第149話 「どこが違うのさ！？ 虫って同じに見えないか」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:11.57,0:00:15.41,Default,,0000,0000,0000,,少年呀 你聽我說
Dialogue: Marked=0,0:00:16.38,0:00:19.97,Default,,0000,0000,0000,,人類沒什麼大不了的
Dialogue: Marked=0,0:00:21.22,0:00:24.78,Default,,0000,0000,0000,,因為已經沒有明天了
Dialogue: Marked=0,0:00:25.52,0:00:28.32,Default,,0000,0000,0000,,別把握緊的拳頭藏起來
Dialogue: Marked=0,0:00:30.69,0:00:38.43,Default,,0000,0000,0000,,還沒老糊塗到\N會把夢想賤賣給不安吧
Dialogue: Marked=0,0:00:40.34,0:00:47.43,Default,,0000,0000,0000,,少年呀 能扣下\N心槍扳機的就只有你了
Dialogue: Marked=0,0:00:49.54,0:00:51.88,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:00:51.98,0:00:54.21,Default,,0000,0000,0000,,做什麼都無聊到不行
Dialogue: Marked=0,0:00:54.32,0:00:58.95,Default,,0000,0000,0000,,因為現在\N就活在這美好的世界裡
Dialogue: Marked=0,0:00:59.05,0:01:01.42,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:01.52,0:01:03.79,Default,,0000,0000,0000,,所有的真實和謊言
Dialogue: Marked=0,0:01:03.89,0:01:06.92,Default,,0000,0000,0000,,我是絕對不會忘記的
Dialogue: Marked=0,0:01:08.66,0:01:10.96,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:11.07,0:01:13.33,Default,,0000,0000,0000,,要死也太過年輕了吧
Dialogue: Marked=0,0:01:13.44,0:01:15.77,Default,,0000,0000,0000,,全都一臉掃興的表情
Dialogue: Marked=0,0:01:15.87,0:01:18.13,Default,,0000,0000,0000,,在這空盪盪的城市裡
Dialogue: Marked=0,0:01:18.24,0:01:20.54,Default,,0000,0000,0000,,所有年輕人都去了
Dialogue: Marked=0,0:01:20.64,0:01:22.94,Default,,0000,0000,0000,,因為想在這無風的夜裡
Dialogue: Marked=0,0:01:23.04,0:01:26.01,Default,,0000,0000,0000,,嘗試著來改變些什麼
Dialogue: Marked=0,0:01:32.39,0:01:33.88,Default,,0000,0000,0000,,好安靜啊
Dialogue: Marked=0,0:01:35.42,0:01:38.26,Default,,0000,0000,0000,,和平真的是很棒
Dialogue: Marked=0,0:01:38.36,0:01:40.09,Default,,0000,0000,0000,,可以這麼地平靜
Dialogue: Marked=0,0:01:40.20,0:01:42.25,Default,,0000,0000,0000,,而且還可以喝酒
Dialogue: Marked=0,0:01:47.90,0:01:50.63,Default,,0000,0000,0000,,現在根本不是\N您泡溫泉喝酒的時候
Dialogue: Marked=0,0:01:53.48,0:01:55.34,Default,,0000,0000,0000,,在村子裡和平的時候
Dialogue: Marked=0,0:01:56.21,0:01:58.27,Default,,0000,0000,0000,,更需要趕快\N把工作理出個頭緒
Dialogue: Marked=0,0:01:59.55,0:02:03.21,Default,,0000,0000,0000,,為什麼工作\N就只會增加不會減少呢
Dialogue: Marked=0,0:02:03.32,0:02:06.98,Default,,0000,0000,0000,,這是因為綱手大人\N沒有一一將工作完成的緣故
Dialogue: Marked=0,0:02:08.29,0:02:10.78,Default,,0000,0000,0000,,上水流一族\N出現不穩定的行動
Dialogue: Marked=0,0:02:11.53,0:02:14.36,Default,,0000,0000,0000,,那是派遣到土之國的暗部\N傳來的報告嘛
Dialogue: Marked=0,0:02:15.06,0:02:16.76,Default,,0000,0000,0000,,很少聽人提起這個族名耶
Dialogue: Marked=0,0:02:17.50,0:02:22.10,Default,,0000,0000,0000,,上水流一族\N是岩忍村裡面的蟲使一族
Dialogue: Marked=0,0:02:22.77,0:02:26.93,Default,,0000,0000,0000,,以前的名聲可以說是\N和油女一族並駕齊驅的
Dialogue: Marked=0,0:02:29.31,0:02:31.68,Default,,0000,0000,0000,,可是卻漸漸衰敗
Dialogue: Marked=0,0:02:31.78,0:02:35.41,Default,,0000,0000,0000,,現在記得他們一族名號的人\N大概沒幾個了
Dialogue: Marked=0,0:02:35.52,0:02:36.71,Default,,0000,0000,0000,,原來是這樣
Dialogue: Marked=0,0:02:37.99,0:02:39.75,Default,,0000,0000,0000,,就算有不穩定的行動
Dialogue: Marked=0,0:02:39.85,0:02:42.29,Default,,0000,0000,0000,,應該也沒剩下幾個人
Dialogue: Marked=0,0:02:42.39,0:02:44.26,Default,,0000,0000,0000,,還不至於\N需要到注意的程度吧
Dialogue: Marked=0,0:02:48.83,0:02:53.20,Default,,0000,0000,0000,,第149話 有哪裡不一樣!?\N看起來還不都一樣是蟲
Dialogue: Marked=0,0:02:56.40,0:02:59.84,Default,,0000,0000,0000,,好厲害，有好多蟲喔
Dialogue: Marked=0,0:02:59.94,0:03:02.57,Default,,0000,0000,0000,,這裡還真的是\N昆蟲們的樂園呢
Dialogue: Marked=0,0:03:02.68,0:03:04.44,Default,,0000,0000,0000,,那我們會不會被牠們咬啊
Dialogue: Marked=0,0:03:05.28,0:03:08.48,Default,,0000,0000,0000,,幾乎沒有那種\N會刻意危害人類的昆蟲
Dialogue: Marked=0,0:03:08.58,0:03:11.31,Default,,0000,0000,0000,,雖然我有帶\N油女一族秘傳的除蟲藥
Dialogue: Marked=0,0:03:12.92,0:03:14.22,Default,,0000,0000,0000,,不過我盡可能不想用
Dialogue: Marked=0,0:03:14.92,0:03:16.86,Default,,0000,0000,0000,,如果用了\N微香蟲也會因此不敢靠近
Dialogue: Marked=0,0:03:18.23,0:03:20.32,Default,,0000,0000,0000,,如果是這樣\N就不需要拿出來啦
Dialogue: Marked=0,0:03:24.17,0:03:25.22,Default,,0000,0000,0000,,絕對錯不了
Dialogue: Marked=0,0:03:25.83,0:03:27.49,Default,,0000,0000,0000,,帶頭的那個小鬼
Dialogue: Marked=0,0:03:27.60,0:03:29.59,Default,,0000,0000,0000,,果然是油女一族的人
Dialogue: Marked=0,0:03:36.48,0:03:39.34,Default,,0000,0000,0000,,沒想到會在這種地方\N遇到油女一族
Dialogue: Marked=0,0:03:40.15,0:03:43.08,Default,,0000,0000,0000,,他們的目的\N也是為了微香蟲來的嗎
