[Script Info]
Title: NARUTO -ナルト- 第150話 「だまして化かしてだまされて！ 壮絶ムシムシ大バトル」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:11.37,0:00:15.24,Default,,0000,0000,0000,,少年呀 你聽我說
Dialogue: Marked=0,0:00:16.24,0:00:19.91,Default,,0000,0000,0000,,人類沒什麼大不了的
Dialogue: Marked=0,0:00:21.08,0:00:24.75,Default,,0000,0000,0000,,因為已經沒有明天了
Dialogue: Marked=0,0:00:25.39,0:00:28.25,Default,,0000,0000,0000,,別把握緊的拳頭藏起來
Dialogue: Marked=0,0:00:30.49,0:00:38.37,Default,,0000,0000,0000,,還沒老糊塗到\N會把夢想賤賣給不安吧
Dialogue: Marked=0,0:00:40.24,0:00:47.40,Default,,0000,0000,0000,,少年呀 能扣下\N心槍扳機的就只有你了
Dialogue: Marked=0,0:00:49.44,0:00:51.74,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:00:51.85,0:00:54.08,Default,,0000,0000,0000,,做什麼都無聊到不行
Dialogue: Marked=0,0:00:54.18,0:00:58.85,Default,,0000,0000,0000,,因為現在\N就活在這美好的世界裡
Dialogue: Marked=0,0:00:58.95,0:01:01.29,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:01.39,0:01:03.55,Default,,0000,0000,0000,,所有的真實和謊言
Dialogue: Marked=0,0:01:03.66,0:01:06.79,Default,,0000,0000,0000,,我是絕對不會忘記的
Dialogue: Marked=0,0:01:08.53,0:01:10.79,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:10.90,0:01:13.16,Default,,0000,0000,0000,,要死也太過年輕了吧
Dialogue: Marked=0,0:01:13.27,0:01:15.57,Default,,0000,0000,0000,,全都一臉掃興的表情
Dialogue: Marked=0,0:01:15.67,0:01:17.97,Default,,0000,0000,0000,,在這空盪盪的城市裡
Dialogue: Marked=0,0:01:18.07,0:01:20.34,Default,,0000,0000,0000,,所有年輕人都去了
Dialogue: Marked=0,0:01:20.44,0:01:22.77,Default,,0000,0000,0000,,因為想在這無風的夜裡
Dialogue: Marked=0,0:01:22.88,0:01:25.94,Default,,0000,0000,0000,,嘗試著來改變些什麼
Dialogue: Marked=0,0:01:31.65,0:01:35.82,Default,,0000,0000,0000,,第150話 欺騙，變身，被騙!\N壯烈的蟲蟲大戰
Dialogue: Marked=0,0:01:38.26,0:01:40.39,Default,,0000,0000,0000,,這到底是怎麼回事啊
Dialogue: Marked=0,0:01:41.03,0:01:43.52,Default,,0000,0000,0000,,為什麼\N雛田會被人給擄走了呢
Dialogue: Marked=0,0:01:43.63,0:01:47.69,Default,,0000,0000,0000,,為什麼會有人知道我們\N在這裡尋找微香蟲的事呢
Dialogue: Marked=0,0:01:48.14,0:01:51.87,Default,,0000,0000,0000,,因為從我們到這裡的時候\N開始就一直被監視了
Dialogue: Marked=0,0:01:52.71,0:01:54.50,Default,,0000,0000,0000,,你早就察覺到了?
Dialogue: Marked=0,0:01:54.61,0:01:56.44,Default,,0000,0000,0000,,我們四個裡只有你不知道
Dialogue: Marked=0,0:01:56.54,0:01:58.91,Default,,0000,0000,0000,,那你們為什麼\N不早點告訴我嘛
Dialogue: Marked=0,0:01:59.65,0:02:02.41,Default,,0000,0000,0000,,要是告訴你\N你一定會大驚小怪地亂叫吧
Dialogue: Marked=0,0:02:02.52,0:02:04.95,Default,,0000,0000,0000,,這樣蟲全部都會跑掉的
Dialogue: Marked=0,0:02:05.05,0:02:06.28,Default,,0000,0000,0000,,連微香蟲也不例外
Dialogue: Marked=0,0:02:11.19,0:02:14.46,Default,,0000,0000,0000,,他們如果強行\N搶走微香蟲的話
Dialogue: Marked=0,0:02:14.56,0:02:16.00,Default,,0000,0000,0000,,會有傷及微香蟲的顧慮
Dialogue: Marked=0,0:02:17.00,0:02:18.63,Default,,0000,0000,0000,,因此才會採取抓住雛田
Dialogue: Marked=0,0:02:18.73,0:02:21.17,Default,,0000,0000,0000,,用人質來交換的形式
Dialogue: Marked=0,0:02:21.27,0:02:22.33,Default,,0000,0000,0000,,是個聰明的方法
Dialogue: Marked=0,0:02:24.34,0:02:26.33,Default,,0000,0000,0000,,我好像聞到了甜味
Dialogue: Marked=0,0:02:26.44,0:02:27.81,Default,,0000,0000,0000,,是蜜的味道
Dialogue: Marked=0,0:02:28.31,0:02:29.50,Default,,0000,0000,0000,,應該是蜜蜂的蜜
Dialogue: Marked=0,0:02:29.61,0:02:30.48,Default,,0000,0000,0000,,蜜蜂?
Dialogue: Marked=0,0:02:32.98,0:02:35.35,Default,,0000,0000,0000,,雛田的味道\N在這裡中斷了是嗎
Dialogue: Marked=0,0:02:36.18,0:02:37.01,Default,,0000,0000,0000,,這樣的話...
Dialogue: Marked=0,0:02:45.63,0:02:48.36,Default,,0000,0000,0000,,我想他們一定是\N等雛田一個人落單
Dialogue: Marked=0,0:02:48.46,0:02:51.02,Default,,0000,0000,0000,,然後再利用蜜蜂襲擊她
Dialogue: Marked=0,0:02:51.13,0:02:52.53,Default,,0000,0000,0000,,我以前曾聽說過
Dialogue: Marked=0,0:02:52.63,0:02:57.63,Default,,0000,0000,0000,,土之國的岩忍村有運用蜜蜂的\N馴蟲專家的一族
Dialogue: Marked=0,0:02:58.44,0:03:00.03,Default,,0000,0000,0000,,那一族的名稱
Dialogue: Marked=0,0:03:00.14,0:03:01.70,Default,,0000,0000,0000,,就叫上水流一族
Dialogue: Marked=0,0:03:01.81,0:03:02.97,Default,,0000,0000,0000,,上水流?
Dialogue: Marked=0,0:03:03.08,0:03:04.27,Default,,0000,0000,0000,,從來都沒聽說過耶
Dialogue: Marked=0,0:03:05.28,0:03:09.27,Default,,0000,0000,0000,,過去好像曾經跟油女一族\N並駕齊驅的樣子
Dialogue: Marked=0,0:03:09.38,0:03:11.15,Default,,0000,0000,0000,,那現在不一樣了嗎
Dialogue: Marked=0,0:03:11.95,0:03:13.39,Default,,0000,0000,0000,,這是我祖父那時代的事
Dialogue: Marked=0,0:03:16.39,0:03:18.05,Default,,0000,0000,0000,,聽說岩忍村的忍者
Dialogue: Marked=0,0:03:18.16,0:03:21.06,Default,,0000,0000,0000,,曾經有過攻擊木葉村的舉動
Dialogue: Marked=0,0:03:22.50,0:03:25.13,Default,,0000,0000,0000,,負責打前鋒的就是\N上水流一族
Dialogue: Marked=0,0:03:26.57,0:03:31.67,Default,,0000,0000,0000,,好像是放了一大群蜜蜂到村子\N造成混亂之後再趁亂入侵
Dialogue: Marked=0,0:03:33.24,0:03:33.94,Default,,0000,0000,0000,,但是
Dialogue: Marked=0,0:03:34.04,0:03:35.91,Default,,0000,0000,0000,,先行察覺到\N這一點的油女一族
Dialogue: Marked=0,0:03:36.01,0:03:37.64,Default,,0000,0000,0000,,在西邊的森林裡迎擊
Dialogue: Marked=0,0:03:47.12,0:03:50.22,Default,,0000,0000,0000,,史上罕見的\N馴蟲專家同志間的戰鬥
Dialogue: Marked=0,0:03:50.33,0:03:52.49,Default,,0000,0000,0000,,最後是油女一族獲得勝利
Dialogue: Marked=0,0:03:59.03,0:04:00.73,Default,,0000,0000,0000,,以這一戰為契機
Dialogue: Marked=0,0:04:00.84,0:04:04.53,Default,,0000,0000,0000,,油女一族鞏固了\N在木葉村裡面的地位
Dialogue: Marked=0,0:04:05.44,0:04:06.43,Default,,0000,0000,0000,,反觀之
