[Script Info]
Title: NARUTO -ナルト- 第152話 「生あるものへの葬送曲」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:11.31,0:00:15.14,Default,,0000,0000,0000,,少年呀 你聽我說
Dialogue: Marked=0,0:00:16.14,0:00:19.77,Default,,0000,0000,0000,,人類沒什麼大不了的
Dialogue: Marked=0,0:00:21.02,0:00:24.75,Default,,0000,0000,0000,,因為已經沒有明天了
Dialogue: Marked=0,0:00:25.32,0:00:28.22,Default,,0000,0000,0000,,別把握緊的拳頭藏起來
Dialogue: Marked=0,0:00:30.49,0:00:38.37,Default,,0000,0000,0000,,還沒老糊塗到\N會把夢想賤賣給不安吧
Dialogue: Marked=0,0:00:40.20,0:00:47.27,Default,,0000,0000,0000,,少年呀 能扣下\N心槍扳機的就只有你了
Dialogue: Marked=0,0:00:49.38,0:00:51.64,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:00:51.75,0:00:54.04,Default,,0000,0000,0000,,做什麼都無聊到不行
Dialogue: Marked=0,0:00:54.15,0:00:58.81,Default,,0000,0000,0000,,因為現在\N就活在這美好的世界裡
Dialogue: Marked=0,0:00:58.92,0:01:01.22,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:01.32,0:01:03.59,Default,,0000,0000,0000,,所有的真實和謊言
Dialogue: Marked=0,0:01:03.69,0:01:06.82,Default,,0000,0000,0000,,我是絕對不會忘記的
Dialogue: Marked=0,0:01:08.46,0:01:10.76,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:10.87,0:01:13.13,Default,,0000,0000,0000,,要死也太過年輕了吧
Dialogue: Marked=0,0:01:13.23,0:01:15.53,Default,,0000,0000,0000,,全都一臉掃興的表情
Dialogue: Marked=0,0:01:15.64,0:01:17.94,Default,,0000,0000,0000,,在這空盪盪的城市裡
Dialogue: Marked=0,0:01:18.04,0:01:20.27,Default,,0000,0000,0000,,所有年輕人都去了
Dialogue: Marked=0,0:01:20.38,0:01:22.71,Default,,0000,0000,0000,,因為想在這無風的夜裡
Dialogue: Marked=0,0:01:22.81,0:01:25.87,Default,,0000,0000,0000,,嘗試著來改變些什麼
Dialogue: Marked=0,0:01:37.83,0:01:42.16,Default,,0000,0000,0000,,第152話 給生者的送葬曲
Dialogue: Marked=0,0:01:45.60,0:01:46.69,Default,,0000,0000,0000,,為什麼
Dialogue: Marked=0,0:01:47.27,0:01:49.86,Default,,0000,0000,0000,,為什麼這麼好的一個人
Dialogue: Marked=0,0:01:49.97,0:01:51.63,Default,,0000,0000,0000,,會就這樣死掉呢
Dialogue: Marked=0,0:01:53.17,0:01:54.61,Default,,0000,0000,0000,,我好難過
Dialogue: Marked=0,0:01:54.71,0:01:56.07,Default,,0000,0000,0000,,我真的好難過
Dialogue: Marked=0,0:02:07.89,0:02:09.72,Default,,0000,0000,0000,,我全部都還記得
Dialogue: Marked=0,0:02:09.82,0:02:13.23,Default,,0000,0000,0000,,我忘記是什麼時候了\N是你展現給我看的
Dialogue: Marked=0,0:02:16.13,0:02:20.19,Default,,0000,0000,0000,,你眼中閃耀著光芒說\N要替老爹一吐怨氣的
Dialogue: Marked=0,0:02:20.87,0:02:22.53,Default,,0000,0000,0000,,那個叫煙管箱的是嗎
Dialogue: Marked=0,0:02:23.24,0:02:26.30,Default,,0000,0000,0000,,你很引以為豪的\N是一個很了不起的東西
Dialogue: Marked=0,0:02:27.14,0:02:30.54,Default,,0000,0000,0000,,即使我舉起那玩意兒\N重重地摔壞的時候
Dialogue: Marked=0,0:02:30.65,0:02:32.58,Default,,0000,0000,0000,,你臉上也是保持著微笑
Dialogue: Marked=0,0:02:34.82,0:02:38.45,Default,,0000,0000,0000,,就算我們踢你踹你\N你也總是保持著微笑
Dialogue: Marked=0,0:02:39.05,0:02:40.52,Default,,0000,0000,0000,,你的笑容好迷人
Dialogue: Marked=0,0:02:41.86,0:02:42.82,Default,,0000,0000,0000,,我是說真的
Dialogue: Marked=0,0:02:45.39,0:02:47.16,Default,,0000,0000,0000,,你可要撐住，六助
Dialogue: Marked=0,0:02:47.26,0:02:49.82,Default,,0000,0000,0000,,不趁他們\N傾巢而出的這個時候走
Dialogue: Marked=0,0:02:49.93,0:02:52.09,Default,,0000,0000,0000,,我們就沒機會離開村子了
Dialogue: Marked=0,0:02:52.20,0:02:54.13,Default,,0000,0000,0000,,可是，紅鰤他...
Dialogue: Marked=0,0:02:54.94,0:02:56.20,Default,,0000,0000,0000,,為了這個村子
Dialogue: Marked=0,0:02:56.30,0:03:00.17,Default,,0000,0000,0000,,不管怎樣我們都得想辦法\N到那個忍者村去才行
Dialogue: Marked=0,0:03:12.72,0:03:14.71,Default,,0000,0000,0000,,葬禮真的很棒啊
Dialogue: Marked=0,0:03:18.06,0:03:19.42,Default,,0000,0000,0000,,還想再辦一場呢
Dialogue: Marked=0,0:03:24.10,0:03:24.86,Default,,0000,0000,0000,,一個人
Dialogue: Marked=0,0:03:25.73,0:03:26.50,Default,,0000,0000,0000,,兩個人
Dialogue: Marked=0,0:03:27.24,0:03:28.07,Default,,0000,0000,0000,,三個人
Dialogue: Marked=0,0:03:29.57,0:03:30.94,Default,,0000,0000,0000,,他們又逃走了
Dialogue: Marked=0,0:03:31.91,0:03:34.67,Default,,0000,0000,0000,,好像又可以舉辦葬禮了呢
Dialogue: Marked=0,0:03:56.10,0:03:56.96,Default,,0000,0000,0000,,這裡是...
Dialogue: Marked=0,0:03:57.57,0:03:59.06,Default,,0000,0000,0000,,木葉忍者村
Dialogue: Marked=0,0:04:00.60,0:04:01.40,Default,,0000,0000,0000,,你是誰
Dialogue: Marked=0,0:04:03.07,0:04:04.66,Default,,0000,0000,0000,,我是漩渦鳴人
Dialogue: Marked=0,0:04:04.77,0:04:06.64,Default,,0000,0000,0000,,現在正在修練當中
Dialogue: Marked=0,0:04:07.24,0:04:08.73,Default,,0000,0000,0000,,木葉忍者村...
Dialogue: Marked=0,0:04:11.01,0:04:14.41,Default,,0000,0000,0000,,喂，喂，撐著點呀
Dialogue: Marked=0,0:04:21.22,0:04:22.78,Default,,0000,0000,0000,,這也是修練
Dialogue: Marked=0,0:04:47.05,0:04:48.28,Default,,0000,0000,0000,,還不夠呢
