[Script Info]
Title: NARUTO -ナルト- 第154話 「白眼の天敵」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.41,0:00:20.64,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.75,0:00:25.55,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.65,0:00:30.82,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.93,0:00:35.49,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.60,0:00:39.73,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.64,0:00:45.16,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.74,0:00:49.73,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.68,0:00:54.64,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.85,0:00:59.72,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.76,0:01:05.62,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.73,0:01:09.86,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.70,0:01:14.90,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.80,0:01:19.90,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:31.39,0:01:35.82,Default,,0000,0000,0000,,第154話 白眼的天敵
Dialogue: Marked=0,0:01:53.74,0:01:55.27,Default,,0000,0000,0000,,飛起來了
Dialogue: Marked=0,0:01:55.38,0:01:57.31,Default,,0000,0000,0000,,飛起來摔死了
Dialogue: Marked=0,0:01:59.91,0:02:02.08,Default,,0000,0000,0000,,真的不會難過耶
Dialogue: Marked=0,0:02:02.18,0:02:04.81,Default,,0000,0000,0000,,這樣就真的\N沒辦法舉辦葬禮了
Dialogue: Marked=0,0:02:11.16,0:02:12.85,Default,,0000,0000,0000,,那四個人還活著喔
Dialogue: Marked=0,0:02:13.73,0:02:14.66,Default,,0000,0000,0000,,怎麼可能
Dialogue: Marked=0,0:02:14.76,0:02:16.96,Default,,0000,0000,0000,,遭到我雷電之牙的攻擊
Dialogue: Marked=0,0:02:17.97,0:02:19.23,Default,,0000,0000,0000,,不對
Dialogue: Marked=0,0:02:19.33,0:02:21.86,Default,,0000,0000,0000,,既然你這麼說就肯定錯不了
Dialogue: Marked=0,0:02:22.64,0:02:24.00,Default,,0000,0000,0000,,有一個人很麻煩
Dialogue: Marked=0,0:02:29.38,0:02:30.84,Default,,0000,0000,0000,,敵人就在附近
Dialogue: Marked=0,0:02:31.71,0:02:34.34,Default,,0000,0000,0000,,可是我卻什麼也看不到
Dialogue: Marked=0,0:02:36.08,0:02:37.02,Default,,0000,0000,0000,,太奇怪了
Dialogue: Marked=0,0:02:37.89,0:02:40.25,Default,,0000,0000,0000,,就算是霧隱之術
Dialogue: Marked=0,0:02:40.36,0:02:42.48,Default,,0000,0000,0000,,白眼也不可能看不透啊
Dialogue: Marked=0,0:02:44.16,0:02:44.99,Default,,0000,0000,0000,,白眼
Dialogue: Marked=0,0:02:46.36,0:02:47.33,Default,,0000,0000,0000,,這一次...
Dialogue: Marked=0,0:02:51.53,0:02:52.40,Default,,0000,0000,0000,,看到了
Dialogue: Marked=0,0:02:53.13,0:02:54.80,Default,,0000,0000,0000,,南西52度2
Dialogue: Marked=0,0:02:57.31,0:02:59.71,Default,,0000,0000,0000,,東南12度3
Dialogue: Marked=0,0:03:02.01,0:03:04.27,Default,,0000,0000,0000,,南東8度1
Dialogue: Marked=0,0:03:05.95,0:03:09.28,Default,,0000,0000,0000,,北西24度11
Dialogue: Marked=0,0:03:14.52,0:03:15.75,Default,,0000,0000,0000,,影分身之術
Dialogue: Marked=0,0:03:18.63,0:03:19.46,Default,,0000,0000,0000,,上吧
Dialogue: Marked=0,0:03:22.20,0:03:23.36,Default,,0000,0000,0000,,木葉旋風
Dialogue: Marked=0,0:03:28.84,0:03:29.63,Default,,0000,0000,0000,,不可能
Dialogue: Marked=0,0:03:35.21,0:03:35.97,Default,,0000,0000,0000,,為什麼
Dialogue: Marked=0,0:03:42.28,0:03:45.45,Default,,0000,0000,0000,,漩渦鳴人連彈
Dialogue: Marked=0,0:03:47.36,0:03:48.55,Default,,0000,0000,0000,,攻擊落空了
Dialogue: Marked=0,0:03:50.06,0:03:51.25,Default,,0000,0000,0000,,請快點來救我
Dialogue: Marked=0,0:03:53.86,0:03:54.76,Default,,0000,0000,0000,,濃眉小子?
Dialogue: Marked=0,0:03:56.13,0:03:58.00,Default,,0000,0000,0000,,敵人消失了
Dialogue: Marked=0,0:04:09.64,0:04:10.91,Default,,0000,0000,0000,,不會吧
Dialogue: Marked=0,0:04:11.01,0:04:13.04,Default,,0000,0000,0000,,虛像怎麼會有經脈系統
Dialogue: Marked=0,0:04:16.99,0:04:19.15,Default,,0000,0000,0000,,懸崖的中央有一個人
Dialogue: Marked=0,0:04:19.25,0:04:21.09,Default,,0000,0000,0000,,懸崖下面有一個
Dialogue: Marked=0,0:04:21.19,0:04:22.62,Default,,0000,0000,0000,,右邊有一個
Dialogue: Marked=0,0:04:22.72,0:04:24.02,Default,,0000,0000,0000,,左邊還有一個
Dialogue: Marked=0,0:04:24.69,0:04:26.66,Default,,0000,0000,0000,,雖然不能舉辦葬禮
Dialogue: Marked=0,0:04:26.76,0:04:29.73,Default,,0000,0000,0000,,我還是會\N把他們處理得乾乾淨淨的
Dialogue: Marked=0,0:04:34.34,0:04:37.07,Default,,0000,0000,0000,,雷葬．雷電之宴
Dialogue: Marked=0,0:04:52.32,0:04:54.35,Default,,0000,0000,0000,,是熱騰騰的屍體
Dialogue: Marked=0,0:04:56.39,0:04:59.16,Default,,0000,0000,0000,,我們兩個人真的好強啊
Dialogue: Marked=0,0:05:00.63,0:05:02.06,Default,,0000,0000,0000,,不對，應該是你
Dialogue: Marked=0,0:05:02.73,0:05:05.36,Default,,0000,0000,0000,,蘭丸，是你很強才對
Dialogue: Marked=0,0:05:05.47,0:05:07.99,Default,,0000,0000,0000,,跟你在一起的話我也很強
Dialogue: Marked=0,0:05:08.54,0:05:09.47,Default,,0000,0000,0000,,等一下
Dialogue: Marked=0,0:05:09.57,0:05:11.27,Default,,0000,0000,0000,,他們還沒死
Dialogue: Marked=0,0:05:11.37,0:05:12.96,Default,,0000,0000,0000,,只是暈過去而已
Dialogue: Marked=0,0:05:14.04,0:05:15.63,Default,,0000,0000,0000,,這些傢伙還真是頑強
Dialogue: Marked=0,0:05:16.44,0:05:18.54,Default,,0000,0000,0000,,好吧，電不死的話
Dialogue: Marked=0,0:05:18.65,0:05:20.05,Default,,0000,0000,0000,,那就用重擊好了
Dialogue: Marked=0,0:05:21.95,0:05:25.08,Default,,0000,0000,0000,,我會讓你們徹底粉身碎骨的
Dialogue: Marked=0,0:05:30.46,0:05:31.58,Default,,0000,0000,0000,,蘭丸你不要緊吧
Dialogue: Marked=0,0:05:37.20,0:05:38.96,Default,,0000,0000,0000,,你撐著點啊，蘭丸
Dialogue: Marked=0,0:05:39.83,0:05:40.70,Default,,0000,0000,0000,,蘭丸...
Dialogue: Marked=0,0:05:42.74,0:05:43.60,Default,,0000,0000,0000,,我沒事
Dialogue: Marked=0,0:05:45.87,0:05:46.67,Default,,0000,0000,0000,,雷牙
Dialogue: Marked=0,0:05:47.88,0:05:50.00,Default,,0000,0000,0000,,這個人還是昏迷的狀態
Dialogue: Marked=0,0:05:50.85,0:05:51.81,Default,,0000,0000,0000,,你說什麼
Dialogue: Marked=0,0:05:55.45,0:05:56.92,Default,,0000,0000,0000,,好厲害啊
Dialogue: Marked=0,0:05:57.02,0:05:59.38,Default,,0000,0000,0000,,他只是靠肌肉的記憶在跟你打
Dialogue: Marked=0,0:06:00.32,0:06:01.45,Default,,0000,0000,0000,,挺認真的嘛
Dialogue: Marked=0,0:06:01.56,0:06:03.32,Default,,0000,0000,0000,,我會銘記在心的
Dialogue: Marked=0,0:06:04.69,0:06:07.29,Default,,0000,0000,0000,,這小子就替他舉辦葬禮好了
Dialogue: Marked=0,0:06:07.40,0:06:09.80,Default,,0000,0000,0000,,一定會是哭得出來的葬禮
Dialogue: Marked=0,0:06:10.37,0:06:11.16,Default,,0000,0000,0000,,右邊
Dialogue: Marked=0,0:06:12.10,0:06:13.33,Default,,0000,0000,0000,,這小子在幹嘛
Dialogue: Marked=0,0:06:13.43,0:06:15.43,Default,,0000,0000,0000,,他的動作很難看得出來
