[Script Info]
Title: NARUTO -ナルト- 第155話 「忍び寄る暗雲」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.41,0:00:20.61,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.72,0:00:25.62,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.72,0:00:30.82,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.93,0:00:35.49,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.60,0:00:39.69,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.64,0:00:45.57,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.67,0:00:49.70,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.75,0:00:54.61,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.82,0:00:59.69,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.76,0:01:05.59,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.69,0:01:09.75,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.70,0:01:14.96,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.74,0:01:19.87,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:30.75,0:01:34.35,Default,,0000,0000,0000,,第155話 悄悄靠近的黑雲
Dialogue: Marked=0,0:01:39.26,0:01:41.99,Default,,0000,0000,0000,,過來，過來，過來
Dialogue: Marked=0,0:01:45.90,0:01:48.16,Default,,0000,0000,0000,,村子裡的人\N都出來迎接我們了
Dialogue: Marked=0,0:01:49.00,0:01:50.47,Default,,0000,0000,0000,,大家都平安無事嘛
Dialogue: Marked=0,0:01:51.27,0:01:54.61,Default,,0000,0000,0000,,黑鍬家族好像也因為害怕\N全部都逃走了
Dialogue: Marked=0,0:02:12.49,0:02:13.59,Default,,0000,0000,0000,,終於過來了
Dialogue: Marked=0,0:02:13.70,0:02:15.66,Default,,0000,0000,0000,,鳴人，千萬不可以過...
Dialogue: Marked=0,0:02:16.33,0:02:18.42,Default,,0000,0000,0000,,想要命的話，就給我閉嘴
Dialogue: Marked=0,0:02:18.93,0:02:20.06,Default,,0000,0000,0000,,芥子
Dialogue: Marked=0,0:02:20.17,0:02:22.69,Default,,0000,0000,0000,,我聽說你已經深深反省了啊
Dialogue: Marked=0,0:02:23.74,0:02:26.87,Default,,0000,0000,0000,,我怎麼可能會厚著臉皮\N回去原來的咖哩店呢
Dialogue: Marked=0,0:02:28.91,0:02:29.81,Default,,0000,0000,0000,,就是現在
Dialogue: Marked=0,0:02:58.71,0:02:59.67,Default,,0000,0000,0000,,看到了嗎
Dialogue: Marked=0,0:02:59.77,0:03:02.04,Default,,0000,0000,0000,,就算雷牙大人已經不在了
Dialogue: Marked=0,0:03:02.14,0:03:04.30,Default,,0000,0000,0000,,黑鍬家族也永遠不會滅亡的
Dialogue: Marked=0,0:03:07.28,0:03:09.05,Default,,0000,0000,0000,,你們在找什麼呀
Dialogue: Marked=0,0:03:09.15,0:03:10.98,Default,,0000,0000,0000,,這還用得著說嗎
Dialogue: Marked=0,0:03:11.09,0:03:12.25,Default,,0000,0000,0000,,在找那幾個小子
Dialogue: Marked=0,0:03:12.75,0:03:14.24,Default,,0000,0000,0000,,是在找我們嗎
Dialogue: Marked=0,0:03:22.66,0:03:27.47,Default,,0000,0000,0000,,被大石頭壓住的是\N用影分身和變身術的我們喔
Dialogue: Marked=0,0:03:27.97,0:03:28.83,Default,,0000,0000,0000,,快擺好陣式
Dialogue: Marked=0,0:03:32.11,0:03:34.13,Default,,0000,0000,0000,,忍法．黑龍卷
Dialogue: Marked=0,0:04:28.23,0:04:31.49,Default,,0000,0000,0000,,那也是影分身AND變身術
Dialogue: Marked=0,0:04:34.50,0:04:35.83,Default,,0000,0000,0000,,我們早就看穿一切了
Dialogue: Marked=0,0:04:36.27,0:04:37.17,Default,,0000,0000,0000,,接招吧
Dialogue: Marked=0,0:04:59.26,0:05:00.99,Default,,0000,0000,0000,,木葉旋風
Dialogue: Marked=0,0:05:08.94,0:05:09.70,Default,,0000,0000,0000,,散開
Dialogue: Marked=0,0:05:17.68,0:05:18.48,Default,,0000,0000,0000,,白眼
Dialogue: Marked=0,0:05:28.66,0:05:30.49,Default,,0000,0000,0000,,二掌，四掌
Dialogue: Marked=0,0:05:30.59,0:05:32.18,Default,,0000,0000,0000,,八掌，十六掌
Dialogue: Marked=0,0:05:36.00,0:05:36.96,Default,,0000,0000,0000,,三十二掌
Dialogue: Marked=0,0:05:38.53,0:05:40.06,Default,,0000,0000,0000,,八卦．六十四掌
Dialogue: Marked=0,0:05:43.44,0:05:44.43,Default,,0000,0000,0000,,看我的
Dialogue: Marked=0,0:05:45.24,0:05:46.43,Default,,0000,0000,0000,,影分身之術
Dialogue: Marked=0,0:05:52.98,0:05:55.35,Default,,0000,0000,0000,,分身旋轉腳後跟攻擊
Dialogue: Marked=0,0:06:02.49,0:06:03.35,Default,,0000,0000,0000,,全都解決掉了
Dialogue: Marked=0,0:06:03.46,0:06:04.39,Default,,0000,0000,0000,,好痛喔
Dialogue: Marked=0,0:06:04.49,0:06:05.65,Default,,0000,0000,0000,,你很奸詐耶
Dialogue: Marked=0,0:06:05.76,0:06:09.09,Default,,0000,0000,0000,,也留幾個給我表現一下嘛
Dialogue: Marked=0,0:06:09.20,0:06:12.10,Default,,0000,0000,0000,,我本來想試試\N新編出來的忍術的
Dialogue: Marked=0,0:06:17.00,0:06:20.77,Default,,0000,0000,0000,,這小子還真是一個\N不知記取教訓的傢伙
Dialogue: Marked=0,0:06:21.21,0:06:24.34,Default,,0000,0000,0000,,芥子\N你已經有心理準備了吧
Dialogue: Marked=0,0:06:24.45,0:06:25.94,Default,,0000,0000,0000,,我是開玩笑的
Dialogue: Marked=0,0:06:26.05,0:06:28.52,Default,,0000,0000,0000,,這些日子\N你害我們吃了不少苦頭
Dialogue: Marked=0,0:06:28.62,0:06:30.68,Default,,0000,0000,0000,,一句開玩笑就能算了嗎
Dialogue: Marked=0,0:06:30.79,0:06:32.75,Default,,0000,0000,0000,,我也是身不由己的
Dialogue: Marked=0,0:06:32.85,0:06:34.22,Default,,0000,0000,0000,,如果不照他們的話去做
Dialogue: Marked=0,0:06:34.32,0:06:36.55,Default,,0000,0000,0000,,就會被他們給活活殺死
Dialogue: Marked=0,0:06:37.16,0:06:38.89,Default,,0000,0000,0000,,那我就代替黑鍬眾
Dialogue: Marked=0,0:06:38.99,0:06:41.39,Default,,0000,0000,0000,,用這根鐵槌往你頭上敲下去了
Dialogue: Marked=0,0:06:44.30,0:06:45.23,Default,,0000,0000,0000,,對不起啦
Dialogue: Marked=0,0:06:46.43,0:06:47.66,Default,,0000,0000,0000,,別擋在他前面，小李
Dialogue: Marked=0,0:06:48.20,0:06:51.33,Default,,0000,0000,0000,,請你們打我吧\N打到你們消氣為止
Dialogue: Marked=0,0:06:51.44,0:06:52.80,Default,,0000,0000,0000,,你為什麼要袒護他
Dialogue: Marked=0,0:06:53.54,0:06:57.17,Default,,0000,0000,0000,,話說從頭的話\N芥子其實是個善良的人
Dialogue: Marked=0,0:06:57.28,0:07:01.34,Default,,0000,0000,0000,,他會加入流氓家族\N我也要負一部分的責任
Dialogue: Marked=0,0:07:01.92,0:07:03.75,Default,,0000,0000,0000,,你的責任?
Dialogue: Marked=0,0:07:03.85,0:07:04.98,Default,,0000,0000,0000,,都是因為我的關係
Dialogue: Marked=0,0:07:05.09,0:07:07.78,Default,,0000,0000,0000,,才會讓他覺得\N力量就代表一切
Dialogue: Marked=0,0:07:07.89,0:07:09.62,Default,,0000,0000,0000,,沒錯，就是這個樣子
Dialogue: Marked=0,0:07:09.72,0:07:12.12,Default,,0000,0000,0000,,明明知道是壞事\N卻還是忍不住...
Dialogue: Marked=0,0:07:12.23,0:07:13.45,Default,,0000,0000,0000,,你不要說話
Dialogue: Marked=0,0:07:14.30,0:07:16.66,Default,,0000,0000,0000,,芥子現在還不夠成熟
Dialogue: Marked=0,0:07:16.76,0:07:21.33,Default,,0000,0000,0000,,可是，他能烹調出\N可以救人一命咖哩的深奧技術
Dialogue: Marked=0,0:07:21.44,0:07:25.37,Default,,0000,0000,0000,,請大家給芥子一個可以\N靠烹調咖哩來贖罪的機會
Dialogue: Marked=0,0:07:25.47,0:07:29.81,Default,,0000,0000,0000,,如果芥子以後\N再做出脫離正軌的事情的話
Dialogue: Marked=0,0:07:30.78,0:07:31.61,Default,,0000,0000,0000,,那我就...
Dialogue: Marked=0,0:07:34.12,0:07:36.31,Default,,0000,0000,0000,,用這個拳頭，好好教訓他
Dialogue: Marked=0,0:07:39.19,0:07:40.62,Default,,0000,0000,0000,,各位
Dialogue: Marked=0,0:07:40.72,0:07:41.98,Default,,0000,0000,0000,,教訓這個小子的事
Dialogue: Marked=0,0:07:42.09,0:07:44.61,Default,,0000,0000,0000,,就交給小李\N跟山椒婆婆去處理好了
Dialogue: Marked=0,0:07:47.40,0:07:50.52,Default,,0000,0000,0000,,反正這個小子\N只是黑鍬家族的小跟班
