[Script Info]
Title: NARUTO -ナルト- 第157話 「走れ！！！生命のカレー」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.31,0:00:20.54,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.65,0:00:25.48,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.59,0:00:30.79,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.89,0:00:35.42,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.53,0:00:39.80,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.57,0:00:45.56,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.67,0:00:49.61,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.61,0:00:54.51,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.72,0:00:59.62,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.66,0:01:05.56,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.66,0:01:09.72,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.63,0:01:14.86,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.70,0:01:19.83,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:31.59,0:01:36.42,Default,,0000,0000,0000,,第157話 跑吧 生命的咖哩
Dialogue: Marked=0,0:01:55.14,0:01:57.61,Default,,0000,0000,0000,,你為何要做到這種地步
Dialogue: Marked=0,0:02:00.35,0:02:04.48,Default,,0000,0000,0000,,我要讓阿凱老師能開心地\N看著我的成長
Dialogue: Marked=0,0:02:04.59,0:02:06.58,Default,,0000,0000,0000,,因為這就是我的忍道
Dialogue: Marked=0,0:02:07.92,0:02:08.91,Default,,0000,0000,0000,,是嗎
Dialogue: Marked=0,0:02:09.72,0:02:14.18,Default,,0000,0000,0000,,你是為了\N那個叫阿凱的傢伙而活嘛
Dialogue: Marked=0,0:02:16.50,0:02:19.66,Default,,0000,0000,0000,,那就請那個叫阿凱的\N幫你舉辦葬禮
Dialogue: Marked=0,0:02:20.47,0:02:24.53,Default,,0000,0000,0000,,回想著你拼命的模樣\N他一定會流下眼淚的
Dialogue: Marked=0,0:02:34.88,0:02:36.08,Default,,0000,0000,0000,,忍法
Dialogue: Marked=0,0:02:41.72,0:02:43.92,Default,,0000,0000,0000,,雷龍龍捲風
Dialogue: Marked=0,0:02:57.27,0:02:59.40,Default,,0000,0000,0000,,媽，妳不要推我
Dialogue: Marked=0,0:02:59.51,0:03:01.24,Default,,0000,0000,0000,,我沒有辦法跑那麼快啊
Dialogue: Marked=0,0:03:03.01,0:03:05.21,Default,,0000,0000,0000,,現在不是說喪氣話的時候
Dialogue: Marked=0,0:03:26.77,0:03:28.10,Default,,0000,0000,0000,,拜託，跑快一點
Dialogue: Marked=0,0:03:29.67,0:03:31.07,Default,,0000,0000,0000,,我們兩個先走了
Dialogue: Marked=0,0:03:39.95,0:03:42.58,Default,,0000,0000,0000,,那小子消失到哪去啦
Dialogue: Marked=0,0:03:42.68,0:03:44.88,Default,,0000,0000,0000,,連骨頭都一起蒸發了嗎
Dialogue: Marked=0,0:04:02.17,0:04:03.76,Default,,0000,0000,0000,,你振作起來好不好
Dialogue: Marked=0,0:04:09.61,0:04:11.31,Default,,0000,0000,0000,,我跑不動了
Dialogue: Marked=0,0:04:12.58,0:04:14.84,Default,,0000,0000,0000,,山椒婆婆\N趕快準備生命咖哩
Dialogue: Marked=0,0:04:18.75,0:04:19.65,Default,,0000,0000,0000,,好了
Dialogue: Marked=0,0:04:20.36,0:04:22.82,Default,,0000,0000,0000,,小李就交給我來照顧吧
Dialogue: Marked=0,0:04:22.92,0:04:26.72,Default,,0000,0000,0000,,妳趕快把這些咖哩\N拿去給寧次和鳴人他們吃
Dialogue: Marked=0,0:04:30.20,0:04:32.22,Default,,0000,0000,0000,,蘭丸，你在這裡等我
Dialogue: Marked=0,0:04:33.80,0:04:36.36,Default,,0000,0000,0000,,我現在先到鳴人那邊
Dialogue: Marked=0,0:04:36.47,0:04:37.63,Default,,0000,0000,0000,,小李就交給你了
Dialogue: Marked=0,0:04:41.18,0:04:41.90,Default,,0000,0000,0000,,好痛
Dialogue: Marked=0,0:04:42.74,0:04:45.44,Default,,0000,0000,0000,,你現在\N趕快把這個拿去給寧次
Dialogue: Marked=0,0:04:46.25,0:04:47.58,Default,,0000,0000,0000,,是的，媽
Dialogue: Marked=0,0:04:51.05,0:04:53.42,Default,,0000,0000,0000,,你來幫我把小李的嘴巴扳開
Dialogue: Marked=0,0:04:54.96,0:04:55.72,Default,,0000,0000,0000,,好
