[Script Info]
Title: NARUTO -ナルト- 第159話 「敵か味方か！？ 荒野の賞金稼ぎ」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.34,0:00:20.54,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.65,0:00:25.59,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.69,0:00:30.75,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.86,0:00:35.39,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.50,0:00:39.59,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.57,0:00:45.51,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.61,0:00:49.54,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.61,0:00:54.31,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.72,0:00:59.65,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.66,0:01:05.52,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.63,0:01:09.69,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.60,0:01:14.69,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.67,0:01:19.77,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:44.67,0:01:45.56,Default,,0000,0000,0000,,赤丸
Dialogue: Marked=0,0:01:52.21,0:01:53.70,Default,,0000,0000,0000,,等等我，赤丸
Dialogue: Marked=0,0:01:57.61,0:01:58.58,Default,,0000,0000,0000,,赤丸...
Dialogue: Marked=0,0:02:01.12,0:02:03.68,Default,,0000,0000,0000,,鳴人...我...
Dialogue: Marked=0,0:02:03.79,0:02:07.31,Default,,0000,0000,0000,,我...我有幫你準備便當
Dialogue: Marked=0,0:02:07.42,0:02:08.95,Default,,0000,0000,0000,,不知道你要不要吃
Dialogue: Marked=0,0:02:09.66,0:02:10.45,Default,,0000,0000,0000,,謝啦
Dialogue: Marked=0,0:02:17.70,0:02:19.00,Default,,0000,0000,0000,,這...這個是...
Dialogue: Marked=0,0:02:20.44,0:02:22.90,Default,,0000,0000,0000,,你們幾個到底是想幹嘛
Dialogue: Marked=0,0:02:23.00,0:02:24.49,Default,,0000,0000,0000,,這可不是在野餐
Dialogue: Marked=0,0:02:25.54,0:02:26.67,Default,,0000,0000,0000,,對不起
Dialogue: Marked=0,0:02:26.77,0:02:28.61,Default,,0000,0000,0000,,其實也沒什麼關係啊
Dialogue: Marked=0,0:02:28.71,0:02:32.08,Default,,0000,0000,0000,,這個任務光靠我們三人\N就可以輕鬆完成
Dialogue: Marked=0,0:02:32.18,0:02:34.77,Default,,0000,0000,0000,,你自己也說過\N完全提不起幹勁啊
Dialogue: Marked=0,0:02:39.02,0:02:41.39,Default,,0000,0000,0000,,我完全提不起幹勁
Dialogue: Marked=0,0:02:41.49,0:02:44.08,Default,,0000,0000,0000,,抓小偷這種小任務
Dialogue: Marked=0,0:02:44.19,0:02:46.39,Default,,0000,0000,0000,,不管派誰去\N還不都是一樣的
Dialogue: Marked=0,0:02:47.16,0:02:47.99,Default,,0000,0000,0000,,你聽好
Dialogue: Marked=0,0:02:48.10,0:02:52.26,Default,,0000,0000,0000,,本來是以牙、雛田、志乃\N這三人小組為主的
Dialogue: Marked=0,0:02:52.37,0:02:54.86,Default,,0000,0000,0000,,但是很遺憾\N志乃因為其他任務不在
Dialogue: Marked=0,0:02:55.90,0:02:58.37,Default,,0000,0000,0000,,有你一起上路的話\N總比沒人好吧
Dialogue: Marked=0,0:02:58.47,0:02:59.96,Default,,0000,0000,0000,,妳說什麼，奶奶
Dialogue: Marked=0,0:03:00.07,0:03:01.91,Default,,0000,0000,0000,,這種話未免太過分了吧
Dialogue: Marked=0,0:03:03.95,0:03:05.24,Default,,0000,0000,0000,,我一定會努力
Dialogue: Marked=0,0:03:05.35,0:03:07.75,Default,,0000,0000,0000,,雖然是很提不起勁的任務
Dialogue: Marked=0,0:03:09.32,0:03:12.25,Default,,0000,0000,0000,,中隊長\N應該不需要刻意決定吧
Dialogue: Marked=0,0:03:12.85,0:03:15.19,Default,,0000,0000,0000,,總之，你們的任務就是
Dialogue: Marked=0,0:03:15.29,0:03:18.49,Default,,0000,0000,0000,,把這個叫\N五寸釘的男人逮捕回來
Dialogue: Marked=0,0:03:18.59,0:03:23.09,Default,,0000,0000,0000,,他偷了茶之國諸候\N所擁有的茶壺"祓渥"
Dialogue: Marked=0,0:03:24.07,0:03:28.40,Default,,0000,0000,0000,,根據情報顯示\N這傢伙現在正潛伏在石之國
Dialogue: Marked=0,0:03:29.37,0:03:32.17,Default,,0000,0000,0000,,你們只要趕快上路\N趕快把他抓回來就行了
Dialogue: Marked=0,0:03:33.21,0:03:37.34,Default,,0000,0000,0000,,聽妳這麼一說\N反而讓我更提不起勁來了
Dialogue: Marked=0,0:03:40.88,0:03:42.04,Default,,0000,0000,0000,,赤丸，接住
Dialogue: Marked=0,0:03:45.82,0:03:48.48,Default,,0000,0000,0000,,偶爾執行這種任務也不錯吧
Dialogue: Marked=0,0:03:48.59,0:03:50.06,Default,,0000,0000,0000,,放鬆心情就行了
Dialogue: Marked=0,0:03:50.16,0:03:53.36,Default,,0000,0000,0000,,就是因為太輕鬆\N我才想趕快結束任務
Dialogue: Marked=0,0:03:53.46,0:03:56.76,Default,,0000,0000,0000,,如果好色仙人在我離開時回來\N該怎麼辦
Dialogue: Marked=0,0:03:56.86,0:03:58.23,Default,,0000,0000,0000,,鳴人，對不起
Dialogue: Marked=0,0:03:58.33,0:03:59.56,Default,,0000,0000,0000,,因為...
Dialogue: Marked=0,0:03:59.67,0:04:04.66,Default,,0000,0000,0000,,因為我一聽到\N是和你一起執行任務
Dialogue: Marked=0,0:04:04.77,0:04:06.33,Default,,0000,0000,0000,,就好高興
Dialogue: Marked=0,0:04:06.44,0:04:08.93,Default,,0000,0000,0000,,雛田妳在說什麼\N我沒有聽清楚喔
Dialogue: Marked=0,0:04:10.14,0:04:11.91,Default,,0000,0000,0000,,妳幹嘛臉紅
Dialogue: Marked=0,0:04:12.01,0:04:13.07,Default,,0000,0000,0000,,奇怪的傢伙
Dialogue: Marked=0,0:04:13.18,0:04:15.21,Default,,0000,0000,0000,,你別那麼著急嘛
Dialogue: Marked=0,0:04:15.32,0:04:16.11,Default,,0000,0000,0000,,你看
Dialogue: Marked=0,0:04:17.12,0:04:19.48,Default,,0000,0000,0000,,越過那座山頂就是石之國了
Dialogue: Marked=0,0:04:20.42,0:04:22.82,Default,,0000,0000,0000,,在抵達之前\N還是先填飽肚子吧
Dialogue: Marked=0,0:04:28.00,0:04:31.26,Default,,0000,0000,0000,,總覺得好像在吃自己一樣\N心情好複雜
Dialogue: Marked=0,0:04:33.70,0:04:34.86,Default,,0000,0000,0000,,好吃
Dialogue: Marked=0,0:04:34.97,0:04:37.90,Default,,0000,0000,0000,,雛田\N妳一定會是一個好新娘喔
Dialogue: Marked=0,0:04:41.24,0:04:42.30,Default,,0000,0000,0000,,好新娘
Dialogue: Marked=0,0:05:09.80,0:05:11.93,Default,,0000,0000,0000,,這裡就是石之國的第一個城鎮
Dialogue: Marked=0,0:05:12.77,0:05:14.26,Default,,0000,0000,0000,,什麼嘛
Dialogue: Marked=0,0:05:14.38,0:05:15.43,Default,,0000,0000,0000,,真荒涼耶
Dialogue: Marked=0,0:05:25.95,0:05:29.41,Default,,0000,0000,0000,,第159話 是敵是友\N荒野的獎金獵人
Dialogue: Marked=0,0:05:52.78,0:05:54.41,Default,,0000,0000,0000,,怎麼回事啊
Dialogue: Marked=0,0:05:54.52,0:05:56.45,Default,,0000,0000,0000,,幹嘛一直盯著人家的臉看
Dialogue: Marked=0,0:05:59.69,0:06:02.35,Default,,0000,0000,0000,,這氣氛看來\N要速戰速決恐怕很難
Dialogue: Marked=0,0:06:06.26,0:06:07.35,Default,,0000,0000,0000,,怎麼了，赤丸
Dialogue: Marked=0,0:06:14.07,0:06:18.27,Default,,0000,0000,0000,,難道五寸釘那傢伙\N就在這棟建築物裡面嗎
Dialogue: Marked=0,0:06:22.78,0:06:24.47,Default,,0000,0000,0000,,五寸釘就在那裡
Dialogue: Marked=0,0:06:29.65,0:06:30.74,Default,,0000,0000,0000,,照片?
Dialogue: Marked=0,0:06:30.85,0:06:33.69,Default,,0000,0000,0000,,什麼嘛，這個就是五寸釘
Dialogue: Marked=0,0:06:36.59,0:06:38.08,Default,,0000,0000,0000,,三百萬兩
Dialogue: Marked=0,0:06:38.83,0:06:40.16,Default,,0000,0000,0000,,這是怎麼回事啊
Dialogue: Marked=0,0:06:40.26,0:06:43.13,Default,,0000,0000,0000,,你看...到處都有貼他的照片
Dialogue: Marked=0,0:06:49.14,0:06:51.33,Default,,0000,0000,0000,,好吧，那就找個人來問問吧
Dialogue: Marked=0,0:06:55.38,0:06:56.27,Default,,0000,0000,0000,,你好嗎
Dialogue: Marked=0,0:07:02.12,0:07:03.17,Default,,0000,0000,0000,,歡迎光臨
Dialogue: Marked=0,0:07:03.28,0:07:05.65,Default,,0000,0000,0000,,我們有事情想要請教一下
Dialogue: Marked=0,0:07:06.19,0:07:09.38,Default,,0000,0000,0000,,什麼\N不是客人的話就快點滾吧
Dialogue: Marked=0,0:07:09.49,0:07:11.46,Default,,0000,0000,0000,,那只要點東西吃就可以了吧
Dialogue: Marked=0,0:07:11.56,0:07:12.42,Default,,0000,0000,0000,,我要拉麵
Dialogue: Marked=0,0:07:12.53,0:07:14.02,Default,,0000,0000,0000,,我要起司漢堡
Dialogue: Marked=0,0:07:14.13,0:07:15.53,Default,,0000,0000,0000,,這個傢伙要牛奶
Dialogue: Marked=0,0:07:19.40,0:07:21.16,Default,,0000,0000,0000,,這可好耶，要牛奶
Dialogue: Marked=0,0:07:21.27,0:07:22.57,Default,,0000,0000,0000,,還有起司漢堡
Dialogue: Marked=0,0:07:22.67,0:07:24.66,Default,,0000,0000,0000,,連拉麵都說出口了呢
Dialogue: Marked=0,0:07:28.78,0:07:31.71,Default,,0000,0000,0000,,你們是瞧不起我啊\N小鬼們，快給我滾出去
Dialogue: Marked=0,0:07:31.81,0:07:33.68,Default,,0000,0000,0000,,我們身上有帶現金喔
Dialogue: Marked=0,0:07:33.78,0:07:35.31,Default,,0000,0000,0000,,這不是問題的重點
Dialogue: Marked=0,0:07:36.95,0:07:39.75,Default,,0000,0000,0000,,小朋友帶這麼多錢\N會有危險的喔
Dialogue: Marked=0,0:07:39.85,0:07:42.02,Default,,0000,0000,0000,,我來替你們保管好了
Dialogue: Marked=0,0:07:42.12,0:07:45.49,Default,,0000,0000,0000,,因為這個鎮上\N全都是無惡不做的叔叔呢
Dialogue: Marked=0,0:07:45.59,0:07:47.36,Default,,0000,0000,0000,,喂，你在搞什麼
Dialogue: Marked=0,0:07:47.46,0:07:48.86,Default,,0000,0000,0000,,還要不要玩
Dialogue: Marked=0,0:07:48.96,0:07:51.99,Default,,0000,0000,0000,,等我一下，錢到手了\N我待會就過去
Dialogue: Marked=0,0:07:53.47,0:07:54.70,Default,,0000,0000,0000,,你要幹什麼
Dialogue: Marked=0,0:07:54.80,0:07:55.46,Default,,0000,0000,0000,,快點放手
Dialogue: Marked=0,0:07:55.57,0:07:58.16,Default,,0000,0000,0000,,該放手的人應該是你才對
Dialogue: Marked=0,0:08:02.94,0:08:03.81,Default,,0000,0000,0000,,怎麼樣
Dialogue: Marked=0,0:08:04.58,0:08:06.81,Default,,0000,0000,0000,,你這小鬼，想跟我打嗎
Dialogue: Marked=0,0:08:07.58,0:08:08.74,Default,,0000,0000,0000,,正是如此
Dialogue: Marked=0,0:08:08.85,0:08:10.01,Default,,0000,0000,0000,,放馬過來吧
Dialogue: Marked=0,0:08:10.65,0:08:11.74,Default,,0000,0000,0000,,混蛋
Dialogue: Marked=0,0:08:11.85,0:08:13.25,Default,,0000,0000,0000,,先等一下，鳴人
Dialogue: Marked=0,0:08:13.35,0:08:14.75,Default,,0000,0000,0000,,鳴人，你看四周
Dialogue: Marked=0,0:08:22.43,0:08:23.19,Default,,0000,0000,0000,,不妙
Dialogue: Marked=0,0:08:24.43,0:08:26.63,Default,,0000,0000,0000,,老闆，我要牛奶
Dialogue: Marked=0,0:08:26.73,0:08:27.72,Default,,0000,0000,0000,,你說什麼
Dialogue: Marked=0,0:08:30.84,0:08:32.20,Default,,0000,0000,0000,,好，馬上來
Dialogue: Marked=0,0:08:35.01,0:08:36.14,Default,,0000,0000,0000,,請慢用
Dialogue: Marked=0,0:08:36.24,0:08:37.07,Default,,0000,0000,0000,,謝了
Dialogue: Marked=0,0:08:38.38,0:08:39.81,Default,,0000,0000,0000,,來吧，不用客氣
Dialogue: Marked=0,0:08:39.91,0:08:41.40,Default,,0000,0000,0000,,全都給你喝
Dialogue: Marked=0,0:08:41.52,0:08:44.68,Default,,0000,0000,0000,,是那個禿頭叔叔請你喝的
Dialogue: Marked=0,0:08:46.99,0:08:49.42,Default,,0000,0000,0000,,你說的禿頭是在指我嗎
Dialogue: Marked=0,0:08:49.52,0:08:50.99,Default,,0000,0000,0000,,你這混蛋，開什麼玩笑
Dialogue: Marked=0,0:08:51.09,0:08:53.29,Default,,0000,0000,0000,,誰會請那種小狗喝牛奶
Dialogue: Marked=0,0:08:53.39,0:08:55.02,Default,,0000,0000,0000,,看我一刀把你宰了
Dialogue: Marked=0,0:09:08.98,0:09:11.81,Default,,0000,0000,0000,,懸賞對象\N間中道藏
Dialogue: Marked=0,0:09:12.85,0:09:14.75,Default,,0000,0000,0000,,緝捕的功勞就算老闆的
Dialogue: Marked=0,0:09:16.08,0:09:18.45,Default,,0000,0000,0000,,牛奶錢\N就從這個傢伙的獎金裡扣吧
Dialogue: Marked=0,0:09:19.12,0:09:21.61,Default,,0000,0000,0000,,還有桌子的修理費用也一樣
Dialogue: Marked=0,0:09:22.32,0:09:23.72,Default,,0000,0000,0000,,剩下的就不用找了
Dialogue: Marked=0,0:09:25.03,0:09:26.08,Default,,0000,0000,0000,,好厲害
Dialogue: Marked=0,0:09:27.80,0:09:29.89,Default,,0000,0000,0000,,怎麼，你也是同行嗎
Dialogue: Marked=0,0:09:30.90,0:09:31.96,Default,,0000,0000,0000,,不好意思了
Dialogue: Marked=0,0:09:37.61,0:09:38.80,Default,,0000,0000,0000,,請你先等一下
Dialogue: Marked=0,0:09:41.21,0:09:42.61,Default,,0000,0000,0000,,有什麼事嗎
Dialogue: Marked=0,0:09:42.71,0:09:44.70,Default,,0000,0000,0000,,大叔你到底是什麼人啊
Dialogue: Marked=0,0:09:45.61,0:09:46.84,Default,,0000,0000,0000,,叫我大叔?
Dialogue: Marked=0,0:09:48.25,0:09:51.18,Default,,0000,0000,0000,,我叫漣漪，是個獎金獵人
Dialogue: Marked=0,0:09:53.65,0:09:55.42,Default,,0000,0000,0000,,好酷喔
Dialogue: Marked=0,0:09:56.59,0:09:57.46,Default,,0000,0000,0000,,大叔
Dialogue: Marked=0,0:10:00.16,0:10:02.15,Default,,0000,0000,0000,,你剛才那一招好厲害喔
Dialogue: Marked=0,0:10:03.33,0:10:04.86,Default,,0000,0000,0000,,你說拔鞘的那招嗎
Dialogue: Marked=0,0:10:04.97,0:10:06.56,Default,,0000,0000,0000,,速度超快的
Dialogue: Marked=0,0:10:06.67,0:10:09.19,Default,,0000,0000,0000,,都看不清楚\N你是什麼時候出刀的
Dialogue: Marked=0,0:10:09.30,0:10:11.10,Default,,0000,0000,0000,,真的好驚人
Dialogue: Marked=0,0:10:11.21,0:10:15.44,Default,,0000,0000,0000,,迅雷不及掩耳\N指的就是這個吧
Dialogue: Marked=0,0:10:16.34,0:10:19.84,Default,,0000,0000,0000,,我們獎金獵人\N是博命在賺錢的
Dialogue: Marked=0,0:10:19.95,0:10:22.35,Default,,0000,0000,0000,,如果拔刀的速度\N不能比別人快的話
Dialogue: Marked=0,0:10:22.45,0:10:24.61,Default,,0000,0000,0000,,有幾條命都不夠用
