[Script Info]
Title: NARUTO -ナルト- 第160話 「獲るか獲られるか！？オッケー寺の決斗（けっとう）」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.24,0:00:20.51,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.62,0:00:25.48,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.59,0:00:30.72,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.83,0:00:35.39,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.50,0:00:39.56,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.47,0:00:45.43,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.54,0:00:49.44,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.55,0:00:54.28,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.68,0:00:59.55,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.62,0:01:05.49,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.59,0:01:09.59,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.53,0:01:14.63,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.64,0:01:19.73,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:32.52,0:01:33.15,Default,,0000,0000,0000,,這是什麼
Dialogue: Marked=0,0:01:36.06,0:01:37.15,Default,,0000,0000,0000,,通緝令
Dialogue: Marked=0,0:01:38.99,0:01:41.93,Default,,0000,0000,0000,,這名叫刀吉的男子
Dialogue: Marked=0,0:01:42.03,0:01:45.02,Default,,0000,0000,0000,,是殺了一家三口的重大罪犯
Dialogue: Marked=0,0:01:46.60,0:01:49.00,Default,,0000,0000,0000,,胸前有個鳥形的疤痕
Dialogue: Marked=0,0:01:49.10,0:01:50.44,Default,,0000,0000,0000,,鳥形的疤痕?
Dialogue: Marked=0,0:01:51.47,0:01:52.67,Default,,0000,0000,0000,,難道是...
Dialogue: Marked=0,0:01:52.77,0:01:54.61,Default,,0000,0000,0000,,妳怎麼了，雛田
Dialogue: Marked=0,0:01:54.71,0:01:57.27,Default,,0000,0000,0000,,雖然他臉上都是傷痕\N沒有辦法分辨
Dialogue: Marked=0,0:01:58.18,0:02:00.98,Default,,0000,0000,0000,,可是他有...鳥形的疤痕
Dialogue: Marked=0,0:02:04.45,0:02:07.08,Default,,0000,0000,0000,,這傢伙也是懸賞對象?
Dialogue: Marked=0,0:02:07.19,0:02:10.42,Default,,0000,0000,0000,,這到底是怎麼一回事啊
Dialogue: Marked=0,0:02:16.83,0:02:20.10,Default,,0000,0000,0000,,第160話 抓或是被抓\N御可寺的決鬥
Dialogue: Marked=0,0:03:08.18,0:03:09.65,Default,,0000,0000,0000,,你要到哪裡去啊，大叔
Dialogue: Marked=0,0:03:15.46,0:03:17.15,Default,,0000,0000,0000,,你還是乖乖的躺著休息吧
Dialogue: Marked=0,0:03:19.33,0:03:20.52,Default,,0000,0000,0000,,放開我
Dialogue: Marked=0,0:03:20.63,0:03:21.96,Default,,0000,0000,0000,,請你不要妨礙我
Dialogue: Marked=0,0:03:22.06,0:03:23.86,Default,,0000,0000,0000,,我要去收拾五寸釘...
Dialogue: Marked=0,0:03:23.97,0:03:27.03,Default,,0000,0000,0000,,憑你現在的傷勢\N你還能做什麼呢
Dialogue: Marked=0,0:03:27.14,0:03:28.50,Default,,0000,0000,0000,,懸賞對象的大叔
Dialogue: Marked=0,0:03:34.51,0:03:37.77,Default,,0000,0000,0000,,昨晚在酒吧裡的\N獎金獵人過來偷襲了
Dialogue: Marked=0,0:03:39.21,0:03:42.78,Default,,0000,0000,0000,,懸賞對象追著懸賞對象跑\N這到底怎麼回事
Dialogue: Marked=0,0:03:43.82,0:03:45.22,Default,,0000,0000,0000,,這跟你們沒關係
Dialogue: Marked=0,0:03:49.92,0:03:51.12,Default,,0000,0000,0000,,你的傷口又...
Dialogue: Marked=0,0:03:53.83,0:03:54.66,Default,,0000,0000,0000,,不用妳管
Dialogue: Marked=0,0:03:56.60,0:03:57.59,Default,,0000,0000,0000,,你還不可以動啊
Dialogue: Marked=0,0:04:00.80,0:04:02.43,Default,,0000,0000,0000,,那件事情不是我做的
Dialogue: Marked=0,0:04:03.37,0:04:04.53,Default,,0000,0000,0000,,既然如此
Dialogue: Marked=0,0:04:04.64,0:04:07.23,Default,,0000,0000,0000,,那這張通緝令上寫的\N你要怎麼解釋呢
Dialogue: Marked=0,0:04:08.94,0:04:11.07,Default,,0000,0000,0000,,那是五寸釘下的毒手
Dialogue: Marked=0,0:04:12.98,0:04:15.45,Default,,0000,0000,0000,,是他狠心\N殺了無辜的一家三口
Dialogue: Marked=0,0:04:16.62,0:04:18.64,Default,,0000,0000,0000,,而他的目的\N只是為了偷錢而已
Dialogue: Marked=0,0:04:20.29,0:04:22.09,Default,,0000,0000,0000,,這到底怎麼回事
Dialogue: Marked=0,0:04:28.63,0:04:33.93,Default,,0000,0000,0000,,我的家位於兩國邊境的小村子裡
Dialogue: Marked=0,0:04:34.84,0:04:36.30,Default,,0000,0000,0000,,我的職業是打鐵的鐵匠
Dialogue: Marked=0,0:04:49.75,0:04:51.22,Default,,0000,0000,0000,,雖然貧窮
Dialogue: Marked=0,0:04:51.32,0:04:53.48,Default,,0000,0000,0000,,但對我來說卻是幸福的日子
Dialogue: Marked=0,0:04:55.62,0:04:57.49,Default,,0000,0000,0000,,可是就在辦祭典的那一天
Dialogue: Marked=0,0:05:20.25,0:05:24.65,Default,,0000,0000,0000,,我正準備把客戶訂製的刀\N送去給對方
Dialogue: Marked=0,0:05:27.59,0:05:30.06,Default,,0000,0000,0000,,為了參加祭典\N所以我急著趕路
Dialogue: Marked=0,0:05:30.96,0:05:31.86,Default,,0000,0000,0000,,那時候...
Dialogue: Marked=0,0:05:39.30,0:05:41.93,Default,,0000,0000,0000,,不知道為何\N大門是半開半掩的
Dialogue: Marked=0,0:05:44.11,0:05:45.97,Default,,0000,0000,0000,,我...我是刀吉
Dialogue: Marked=0,0:05:46.07,0:05:47.30,Default,,0000,0000,0000,,我把刀送過來了
Dialogue: Marked=0,0:06:56.31,0:06:58.40,Default,,0000,0000,0000,,我把事發的現況\N告訴了大家
Dialogue: Marked=0,0:06:59.68,0:07:00.54,Default,,0000,0000,0000,,可是...
