[Script Info]
Title: NARUTO -ナルト- 第161話 「珍客見参 碧の野獣？猛獣？…珍獣？」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.24,0:00:20.51,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.62,0:00:25.45,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.55,0:00:30.72,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.83,0:00:35.35,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.46,0:00:39.56,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.50,0:00:45.41,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.51,0:00:49.47,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.55,0:00:54.24,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.68,0:00:59.59,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.56,0:01:05.49,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.59,0:01:09.59,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.60,0:01:14.66,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.67,0:01:19.61,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:37.69,0:01:39.85,Default,,0000,0000,0000,,這次的任務是很辛苦的
Dialogue: Marked=0,0:01:39.96,0:01:41.05,Default,,0000,0000,0000,,你行嗎，小李
Dialogue: Marked=0,0:01:41.53,0:01:42.72,Default,,0000,0000,0000,,沒問題
Dialogue: Marked=0,0:01:42.83,0:01:44.03,Default,,0000,0000,0000,,隨時都可以出發
Dialogue: Marked=0,0:01:45.23,0:01:46.83,Default,,0000,0000,0000,,這才是我的弟子
Dialogue: Marked=0,0:01:47.70,0:01:49.67,Default,,0000,0000,0000,,出發了，小李
Dialogue: Marked=0,0:01:50.31,0:01:51.60,Default,,0000,0000,0000,,是，阿凱老師
Dialogue: Marked=0,0:01:55.74,0:01:57.23,Default,,0000,0000,0000,,出發了
Dialogue: Marked=0,0:01:59.85,0:02:01.44,Default,,0000,0000,0000,,揹那麼一大袋行李
Dialogue: Marked=0,0:02:01.55,0:02:04.18,Default,,0000,0000,0000,,一定是執行\N需要過夜的任務才對
Dialogue: Marked=0,0:02:04.29,0:02:07.28,Default,,0000,0000,0000,,沒想到這麼快就遇到\N正適合我們的雙人組
Dialogue: Marked=0,0:02:07.39,0:02:08.98,Default,,0000,0000,0000,,我們還真是走運
Dialogue: Marked=0,0:02:09.09,0:02:12.03,Default,,0000,0000,0000,,那就這麼決定了\N作戰開始了
Dialogue: Marked=0,0:02:12.13,0:02:13.92,Default,,0000,0000,0000,,超菁英份子忍者村
Dialogue: Marked=0,0:02:20.80,0:02:22.74,Default,,0000,0000,0000,,好難過
Dialogue: Marked=0,0:02:22.84,0:02:24.63,Default,,0000,0000,0000,,笨蛋，你快點起來
Dialogue: Marked=0,0:02:27.84,0:02:30.81,Default,,0000,0000,0000,,超菁英份子忍者村
Dialogue: Marked=0,0:02:32.45,0:02:34.47,Default,,0000,0000,0000,,要潛入木葉忍者村了
Dialogue: Marked=0,0:02:35.55,0:02:39.99,Default,,0000,0000,0000,,第161話 稀客登場\N蒼藍的野獸 猛獸 珍獸
Dialogue: Marked=0,0:02:43.06,0:02:44.99,Default,,0000,0000,0000,,我們跟那兩個人簡直一模一樣
Dialogue: Marked=0,0:02:50.13,0:02:51.29,Default,,0000,0000,0000,,那當然了
Dialogue: Marked=0,0:02:51.40,0:02:54.93,Default,,0000,0000,0000,,就是為了這一天\N我們才日夜磨練變裝術的
Dialogue: Marked=0,0:02:55.40,0:02:57.74,Default,,0000,0000,0000,,目標是\N木葉忍者村的機密情報
Dialogue: Marked=0,0:02:59.44,0:03:00.27,Default,,0000,0000,0000,,沒錯
Dialogue: Marked=0,0:03:00.38,0:03:02.81,Default,,0000,0000,0000,,這件事情如果辦得好\N我們就是名人了
Dialogue: Marked=0,0:03:02.91,0:03:05.38,Default,,0000,0000,0000,,也能提昇村子的名氣
Dialogue: Marked=0,0:03:06.15,0:03:10.08,Default,,0000,0000,0000,,這樣任務就會接踵而來\N我們也成了村子的英雄
Dialogue: Marked=0,0:03:18.03,0:03:18.89,Default,,0000,0000,0000,,好
Dialogue: Marked=0,0:03:18.99,0:03:20.82,Default,,0000,0000,0000,,從現在開始我的名字叫阿凱
Dialogue: Marked=0,0:03:20.93,0:03:23.06,Default,,0000,0000,0000,,是木葉村的忍者文啼凱
Dialogue: Marked=0,0:03:23.16,0:03:25.33,Default,,0000,0000,0000,,我是您的弟子波茶李
Dialogue: Marked=0,0:03:25.43,0:03:26.80,Default,,0000,0000,0000,,出發了，小李
Dialogue: Marked=0,0:03:26.90,0:03:28.27,Default,,0000,0000,0000,,遵命，阿凱老師
Dialogue: Marked=0,0:03:38.38,0:03:40.47,Default,,0000,0000,0000,,大型忍者村果然就是不一樣
Dialogue: Marked=0,0:03:42.75,0:03:44.88,Default,,0000,0000,0000,,好厲害，大家都跟忍者一樣
Dialogue: Marked=0,0:03:44.99,0:03:47.39,Default,,0000,0000,0000,,好啦，不要一直東張西望的
Dialogue: Marked=0,0:03:48.19,0:03:49.18,Default,,0000,0000,0000,,好痛
Dialogue: Marked=0,0:03:49.29,0:03:50.22,Default,,0000,0000,0000,,知道嗎
Dialogue: Marked=0,0:03:50.33,0:03:51.52,Default,,0000,0000,0000,,這個村子裡面
Dialogue: Marked=0,0:03:51.63,0:03:53.39,Default,,0000,0000,0000,,有個叫火影的大頭目
Dialogue: Marked=0,0:03:53.49,0:03:56.79,Default,,0000,0000,0000,,所有的機密情報\N一定都聚集在那傢伙身上
Dialogue: Marked=0,0:03:56.90,0:03:57.66,Default,,0000,0000,0000,,原來如此
Dialogue: Marked=0,0:03:58.33,0:04:01.70,Default,,0000,0000,0000,,我記得應該有一棟\N有火字標記的建築物
Dialogue: Marked=0,0:04:07.91,0:04:09.64,Default,,0000,0000,0000,,有了，就是那裡
Dialogue: Marked=0,0:04:10.51,0:04:12.45,Default,,0000,0000,0000,,火影大人的家怎麼了嗎
Dialogue: Marked=0,0:04:14.38,0:04:15.14,Default,,0000,0000,0000,,嗨
Dialogue: Marked=0,0:04:15.65,0:04:17.55,Default,,0000,0000,0000,,沒...沒什麼
Dialogue: Marked=0,0:04:17.65,0:04:20.35,Default,,0000,0000,0000,,我們並不想打探\N木葉村的機密情報
Dialogue: Marked=0,0:04:20.46,0:04:21.62,Default,,0000,0000,0000,,你傻瓜啊
Dialogue: Marked=0,0:04:22.79,0:04:24.55,Default,,0000,0000,0000,,沒事沒事，沒有事啦
Dialogue: Marked=0,0:04:26.96,0:04:28.90,Default,,0000,0000,0000,,這個時候要保持自然才行
Dialogue: Marked=0,0:04:29.00,0:04:30.23,Default,,0000,0000,0000,,遵...遵命
Dialogue: Marked=0,0:04:30.83,0:04:32.32,Default,,0000,0000,0000,,嗨，我是阿凱
Dialogue: Marked=0,0:04:32.43,0:04:33.49,Default,,0000,0000,0000,,我是小李
Dialogue: Marked=0,0:04:35.27,0:04:37.33,Default,,0000,0000,0000,,阿凱和小李啊...
Dialogue: Marked=0,0:04:37.44,0:04:39.84,Default,,0000,0000,0000,,總感覺你們跟平常不太一樣
Dialogue: Marked=0,0:04:39.94,0:04:42.10,Default,,0000,0000,0000,,沒有，是你太多心了啦
Dialogue: Marked=0,0:04:42.21,0:04:45.15,Default,,0000,0000,0000,,總覺得好像不對勁
Dialogue: Marked=0,0:04:47.15,0:04:49.81,Default,,0000,0000,0000,,那裡有隻鳶\N邊飛邊吃炸豬排蓋飯
Dialogue: Marked=0,0:04:53.15,0:04:53.95,Default,,0000,0000,0000,,在哪啊
Dialogue: Marked=0,0:04:56.09,0:04:57.75,Default,,0000,0000,0000,,我怎麼沒看到呀
Dialogue: Marked=0,0:04:57.86,0:04:59.05,Default,,0000,0000,0000,,奇怪了
Dialogue: Marked=0,0:05:04.53,0:05:05.76,Default,,0000,0000,0000,,真是的
