[Script Info]
Title: NARUTO -ナルト- 第162話 「白き呪い武者」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.34,0:00:20.54,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.65,0:00:25.52,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.62,0:00:30.82,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.93,0:00:35.42,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.53,0:00:39.56,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.57,0:00:45.51,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.61,0:00:49.60,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.65,0:00:54.38,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.75,0:00:59.62,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.69,0:01:05.59,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.69,0:01:09.65,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.67,0:01:14.90,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.70,0:01:19.87,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:58.71,0:01:59.65,Default,,0000,0000,0000,,怎麼回事
Dialogue: Marked=0,0:02:25.27,0:02:26.26,Default,,0000,0000,0000,,可疑的傢伙
Dialogue: Marked=0,0:02:41.16,0:02:42.45,Default,,0000,0000,0000,,就是你嗎
Dialogue: Marked=0,0:02:43.66,0:02:46.25,Default,,0000,0000,0000,,人是你殺的嗎
Dialogue: Marked=0,0:02:46.36,0:02:48.06,Default,,0000,0000,0000,,不是的
Dialogue: Marked=0,0:02:48.16,0:02:49.53,Default,,0000,0000,0000,,我什麼都不知道
Dialogue: Marked=0,0:03:04.68,0:03:06.01,Default,,0000,0000,0000,,是詛咒武士嗎
Dialogue: Marked=0,0:03:08.85,0:03:13.12,Default,,0000,0000,0000,,第162話 白色的詛咒武士
Dialogue: Marked=0,0:03:19.93,0:03:23.73,Default,,0000,0000,0000,,爺爺的鼻水
Dialogue: Marked=0,0:03:27.77,0:03:30.86,Default,,0000,0000,0000,,總覺得自己修練\N完全提不起勁
Dialogue: Marked=0,0:03:33.14,0:03:36.20,Default,,0000,0000,0000,,不知道最近有沒有\N跟佐助相關的任務進來
Dialogue: Marked=0,0:03:44.52,0:03:45.58,Default,,0000,0000,0000,,鳥之國?
Dialogue: Marked=0,0:03:46.35,0:03:48.19,Default,,0000,0000,0000,,那是個很偏僻的國家
Dialogue: Marked=0,0:03:48.79,0:03:50.78,Default,,0000,0000,0000,,所以才覺得傷腦筋
Dialogue: Marked=0,0:03:51.59,0:03:53.86,Default,,0000,0000,0000,,因為詛咒武士的作祟
Dialogue: Marked=0,0:03:53.96,0:03:58.02,Default,,0000,0000,0000,,不但引起騷動\N也使得人心惶惶
Dialogue: Marked=0,0:03:58.80,0:04:01.36,Default,,0000,0000,0000,,對方希望我們除掉的\N就是幽靈嗎
