[Script Info]
Title: NARUTO -ナルト- 第163話 「策士・紅明の思惑」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.28,0:00:20.44,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.55,0:00:25.38,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.49,0:00:30.62,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.73,0:00:35.29,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.40,0:00:39.46,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.47,0:00:45.46,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.57,0:00:49.51,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.51,0:00:54.21,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.62,0:00:59.55,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.56,0:01:05.46,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.56,0:01:09.59,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.53,0:01:14.63,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.60,0:01:19.70,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:33.02,0:01:37.46,Default,,0000,0000,0000,,第163話 策士．紅明的困惑
Dialogue: Marked=0,0:01:50.71,0:01:54.04,Default,,0000,0000,0000,,這裡真的是孟宗住的地方嗎
Dialogue: Marked=0,0:01:55.84,0:01:57.47,Default,,0000,0000,0000,,因為你說他是個大官
Dialogue: Marked=0,0:01:57.58,0:02:00.78,Default,,0000,0000,0000,,我還以為他住的地方\N是金碧輝煌的宅第呢
Dialogue: Marked=0,0:02:01.38,0:02:03.35,Default,,0000,0000,0000,,你們的聲音太大了
Dialogue: Marked=0,0:02:04.65,0:02:09.65,Default,,0000,0000,0000,,孟宗大人是一位沒有私慾\N德高望重的人
Dialogue: Marked=0,0:02:09.76,0:02:12.82,Default,,0000,0000,0000,,所以\N才會過著平淡樸實的生活
Dialogue: Marked=0,0:02:12.93,0:02:18.16,Default,,0000,0000,0000,,他是這個國家厲害程度\N僅次於諸侯的人吧
Dialogue: Marked=0,0:02:18.27,0:02:20.10,Default,,0000,0000,0000,,住這種地方\N也未免太窮酸了吧
Dialogue: Marked=0,0:02:20.20,0:02:21.10,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:02:29.31,0:02:33.37,Default,,0000,0000,0000,,我的住處如此寒酸\N讓你們見笑了
Dialogue: Marked=0,0:02:34.48,0:02:35.38,Default,,0000,0000,0000,,孟宗大人
Dialogue: Marked=0,0:02:39.92,0:02:43.29,Default,,0000,0000,0000,,這個長得像賣丸子的大叔\N就是...
Dialogue: Marked=0,0:02:45.96,0:02:48.55,Default,,0000,0000,0000,,我像丸子店裡的大叔啊
Dialogue: Marked=0,0:02:49.76,0:02:51.73,Default,,0000,0000,0000,,簡直就是難以置信
Dialogue: Marked=0,0:02:51.83,0:02:52.66,Default,,0000,0000,0000,,傻瓜
Dialogue: Marked=0,0:02:53.60,0:02:55.09,Default,,0000,0000,0000,,你這是在幹嘛，寧次
Dialogue: Marked=0,0:02:55.80,0:02:58.14,Default,,0000,0000,0000,,沒關係，放輕鬆
Dialogue: Marked=0,0:02:58.24,0:03:02.97,Default,,0000,0000,0000,,你們幾位就是從木葉村\N來幫忙的忍者是嗎
Dialogue: Marked=0,0:03:03.61,0:03:05.84,Default,,0000,0000,0000,,從右邊開始是鳴人
Dialogue: Marked=0,0:03:05.95,0:03:07.04,Default,,0000,0000,0000,,寧次
Dialogue: Marked=0,0:03:07.15,0:03:08.17,Default,,0000,0000,0000,,還有天天
Dialogue: Marked=0,0:03:09.95,0:03:15.25,Default,,0000,0000,0000,,聽說你們昨晚遇到\N出現在紅明大人屋裡的幽靈
Dialogue: Marked=0,0:03:15.96,0:03:16.79,Default,,0000,0000,0000,,是的
Dialogue: Marked=0,0:03:17.43,0:03:19.59,Default,,0000,0000,0000,,結果如何?
Dialogue: Marked=0,0:03:19.69,0:03:22.29,Default,,0000,0000,0000,,已經知道\N詛咒武士的真面目了嗎
Dialogue: Marked=0,0:03:23.73,0:03:25.29,Default,,0000,0000,0000,,那是真正的幽靈
Dialogue: Marked=0,0:03:27.17,0:03:28.66,Default,,0000,0000,0000,,是幽靈啊
Dialogue: Marked=0,0:03:28.77,0:03:30.24,Default,,0000,0000,0000,,你不要先下定論
Dialogue: Marked=0,0:03:30.34,0:03:34.43,Default,,0000,0000,0000,,誰叫他突然出現\N還在天空中飛
Dialogue: Marked=0,0:03:34.54,0:03:38.67,Default,,0000,0000,0000,,對呀\N而且盔甲裡不是什麼都沒有嗎
Dialogue: Marked=0,0:03:38.78,0:03:41.61,Default,,0000,0000,0000,,再怎麼奇怪的事\N都是有機關的
Dialogue: Marked=0,0:03:42.35,0:03:45.15,Default,,0000,0000,0000,,我一定要揪出那傢伙的真面目
Dialogue: Marked=0,0:03:46.15,0:03:47.95,Default,,0000,0000,0000,,挺靠得住的
Dialogue: Marked=0,0:03:48.06,0:03:52.46,Default,,0000,0000,0000,,因為諸侯才剛走馬上任\N使得人心不穩
Dialogue: Marked=0,0:03:52.56,0:03:57.59,Default,,0000,0000,0000,,所以請你們\N早日消滅詛咒武士的傳聞吧
Dialogue: Marked=0,0:03:57.70,0:03:59.03,Default,,0000,0000,0000,,拜託各位了
Dialogue: Marked=0,0:04:01.50,0:04:02.90,Default,,0000,0000,0000,,請務必幫忙
Dialogue: Marked=0,0:04:08.84,0:04:11.04,Default,,0000,0000,0000,,雞翅烤好了，請慢用
Dialogue: Marked=0,0:04:11.15,0:04:12.34,Default,,0000,0000,0000,,來了來了
Dialogue: Marked=0,0:04:12.45,0:04:13.74,Default,,0000,0000,0000,,好好吃的樣子
Dialogue: Marked=0,0:04:18.15,0:04:21.55,Default,,0000,0000,0000,,這位孟宗大叔\N看起來人挺好的嘛
Dialogue: Marked=0,0:04:21.66,0:04:22.38,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:04:22.49,0:04:27.22,Default,,0000,0000,0000,,當初收我當作近身侍童的\N也是孟宗大人
Dialogue: Marked=0,0:04:27.83,0:04:30.09,Default,,0000,0000,0000,,諸侯的兒子繼承王位
Dialogue: Marked=0,0:04:30.20,0:04:33.43,Default,,0000,0000,0000,,再加上有優秀的輔政者從旁協助
Dialogue: Marked=0,0:04:33.53,0:04:36.20,Default,,0000,0000,0000,,政局看起來也還算穩定
Dialogue: Marked=0,0:04:36.30,0:04:41.40,Default,,0000,0000,0000,,那為何會有\N前任諸侯在作祟的奇怪傳聞呢
Dialogue: Marked=0,0:04:41.84,0:04:46.71,Default,,0000,0000,0000,,應該是有人對王位繼承結果\N覺得很不滿意吧
Dialogue: Marked=0,0:04:49.98,0:04:52.82,Default,,0000,0000,0000,,有沒有什麼線索
