[Script Info]
Title: NARUTO -ナルト- 第164話 「遅すぎた助っ人」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.31,0:00:20.51,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.62,0:00:25.52,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.62,0:00:30.75,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.86,0:00:35.39,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.50,0:00:39.73,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.54,0:00:45.50,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.61,0:00:49.70,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.61,0:00:54.55,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.72,0:00:59.55,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.62,0:01:05.49,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.59,0:01:09.62,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.60,0:01:14.53,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.67,0:01:19.70,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:31.19,0:01:35.95,Default,,0000,0000,0000,,第164話 遲來的救兵
Dialogue: Marked=0,0:01:37.46,0:01:41.29,Default,,0000,0000,0000,,你們表現得很好\N紅明已經招認了
Dialogue: Marked=0,0:01:42.46,0:01:45.73,Default,,0000,0000,0000,,詛咒武士是他用來擾亂人心
Dialogue: Marked=0,0:01:45.83,0:01:49.27,Default,,0000,0000,0000,,好讓自己能掌握\N諸侯王位所運用的手段
Dialogue: Marked=0,0:01:50.11,0:01:52.30,Default,,0000,0000,0000,,紅明是那麼說的嗎
Dialogue: Marked=0,0:01:52.41,0:01:55.43,Default,,0000,0000,0000,,是啊，就為了一己之利
Dialogue: Marked=0,0:01:55.54,0:01:57.37,Default,,0000,0000,0000,,詛咒武士會消失不見
Dialogue: Marked=0,0:01:57.91,0:02:04.88,Default,,0000,0000,0000,,也是因為裝扮成武士的士兵\N用王水溶化自己的肉體
Dialogue: Marked=0,0:02:15.43,0:02:17.73,Default,,0000,0000,0000,,裡面又是空的...
Dialogue: Marked=0,0:02:20.20,0:02:22.90,Default,,0000,0000,0000,,這下子\N詛咒武士事件就解決了
Dialogue: Marked=0,0:02:23.00,0:02:27.37,Default,,0000,0000,0000,,鳥之國也會恢復成昔日\N美麗又寧靜的國家了
Dialogue: Marked=0,0:02:28.11,0:02:29.63,Default,,0000,0000,0000,,先等一下
Dialogue: Marked=0,0:02:29.74,0:02:31.30,Default,,0000,0000,0000,,可是，詛咒武士還沒有...
Dialogue: Marked=0,0:02:31.41,0:02:32.64,Default,,0000,0000,0000,,你不要說了
Dialogue: Marked=0,0:02:32.75,0:02:34.01,Default,,0000,0000,0000,,可是
Dialogue: Marked=0,0:02:34.12,0:02:36.52,Default,,0000,0000,0000,,各位的使命已經完成
Dialogue: Marked=0,0:02:37.19,0:02:39.59,Default,,0000,0000,0000,,可以整理行囊\N準備回村子裡了
Dialogue: Marked=0,0:02:46.06,0:02:48.26,Default,,0000,0000,0000,,真是的，到底怎麼搞的
Dialogue: Marked=0,0:02:50.43,0:02:54.53,Default,,0000,0000,0000,,你不是說昨晚那傢伙\N跟你第一次看到的不一樣嗎
Dialogue: Marked=0,0:02:54.64,0:03:00.01,Default,,0000,0000,0000,,詛咒武士應該不是一個人\N而是由好幾個人變裝而成的
Dialogue: Marked=0,0:03:00.11,0:03:04.77,Default,,0000,0000,0000,,如果是人變裝的話\N那在空中飛的武士又該做何解釋
Dialogue: Marked=0,0:03:04.88,0:03:07.21,Default,,0000,0000,0000,,既然委託人已經說任務結束
Dialogue: Marked=0,0:03:07.32,0:03:10.05,Default,,0000,0000,0000,,那我們也沒有理由\N待在這繼續執行任務了
Dialogue: Marked=0,0:03:11.39,0:03:14.48,Default,,0000,0000,0000,,再說那個紅明\N也已經承認犯罪了
Dialogue: Marked=0,0:03:14.59,0:03:16.45,Default,,0000,0000,0000,,可是這樣子很奇怪
Dialogue: Marked=0,0:03:16.56,0:03:19.79,Default,,0000,0000,0000,,不把詳情說清楚的話\N叫我怎麼心服口服
Dialogue: Marked=0,0:03:19.89,0:03:22.16,Default,,0000,0000,0000,,這個國家有他們自己的情況
Dialogue: Marked=0,0:03:22.83,0:03:25.13,Default,,0000,0000,0000,,深入追查\N只會引起無謂的爭端
Dialogue: Marked=0,0:03:27.30,0:03:29.07,Default,,0000,0000,0000,,既然這樣，我就用我的辦法
Dialogue: Marked=0,0:03:29.17,0:03:29.97,Default,,0000,0000,0000,,慢著
Dialogue: Marked=0,0:03:30.91,0:03:32.67,Default,,0000,0000,0000,,這個小組的隊長是我
Dialogue: Marked=0,0:03:35.28,0:03:37.47,Default,,0000,0000,0000,,隊長是你又怎麼樣
Dialogue: Marked=0,0:03:37.58,0:03:40.57,Default,,0000,0000,0000,,再調查一次詛咒武士的動向
Dialogue: Marked=0,0:03:40.68,0:03:43.81,Default,,0000,0000,0000,,我和天天會從其他的線索\N重新檢視這個事件
Dialogue: Marked=0,0:03:44.55,0:03:46.45,Default,,0000,0000,0000,,可是任務不是結束了嗎
Dialogue: Marked=0,0:03:47.42,0:03:49.41,Default,,0000,0000,0000,,你剛才說的話也有道理
Dialogue: Marked=0,0:03:50.63,0:03:53.06,Default,,0000,0000,0000,,事情實在進行得太順利了
Dialogue: Marked=0,0:03:53.16,0:03:54.59,Default,,0000,0000,0000,,好，包在我身上了
Dialogue: Marked=0,0:03:57.47,0:03:59.83,Default,,0000,0000,0000,,奇怪，鳴人你要去哪裡
Dialogue: Marked=0,0:04:00.44,0:04:03.46,Default,,0000,0000,0000,,還用得著說嗎\N我要去調查詛咒武士
Dialogue: Marked=0,0:04:07.91,0:04:09.43,Default,,0000,0000,0000,,千島
Dialogue: Marked=0,0:04:09.54,0:04:11.44,Default,,0000,0000,0000,,請問鳴人是要去...
Dialogue: Marked=0,0:04:12.45,0:04:14.75,Default,,0000,0000,0000,,沒什麼，真的沒什麼
Dialogue: Marked=0,0:04:14.85,0:04:16.15,Default,,0000,0000,0000,,你找我們有事嗎
Dialogue: Marked=0,0:04:17.19,0:04:17.98,Default,,0000,0000,0000,,是呀
Dialogue: Marked=0,0:04:20.52,0:04:23.12,Default,,0000,0000,0000,,這陣子多虧有你們幫忙
Dialogue: Marked=0,0:04:24.49,0:04:27.95,Default,,0000,0000,0000,,只付那麼一點費用\N我也很過意不去
Dialogue: Marked=0,0:04:28.06,0:04:29.96,Default,,0000,0000,0000,,是追加費用嗎
Dialogue: Marked=0,0:04:30.06,0:04:31.66,Default,,0000,0000,0000,,這些錢我們不能收
Dialogue: Marked=0,0:04:31.77,0:04:35.63,Default,,0000,0000,0000,,不是，這是鳥之國的名產\N雞翅小饅頭
Dialogue: Marked=0,0:04:56.79,0:04:57.62,Default,,0000,0000,0000,,謝謝
Dialogue: Marked=0,0:05:23.28,0:05:25.58,Default,,0000,0000,0000,,這裡果然很有問題
Dialogue: Marked=0,0:05:26.59,0:05:28.82,Default,,0000,0000,0000,,一個人找的話\N應該會花很多時間
Dialogue: Marked=0,0:05:32.49,0:05:33.52,Default,,0000,0000,0000,,通靈之術
Dialogue: Marked=0,0:05:38.47,0:05:42.53,Default,,0000,0000,0000,,好久不見了\N你要請我吃東西嗎
Dialogue: Marked=0,0:05:42.64,0:05:44.94,Default,,0000,0000,0000,,怎麼是你們兩個
Dialogue: Marked=0,0:05:45.04,0:05:47.17,Default,,0000,0000,0000,,因為我老爸有事正在忙
Dialogue: Marked=0,0:05:47.91,0:05:48.67,Default,,0000,0000,0000,,算了
Dialogue: Marked=0,0:05:48.78,0:05:51.47,Default,,0000,0000,0000,,如果是蛤蟆老大出馬\N也不太好
Dialogue: Marked=0,0:05:52.35,0:05:54.25,Default,,0000,0000,0000,,好吧，沒辦法了
Dialogue: Marked=0,0:05:54.82,0:05:58.22,Default,,0000,0000,0000,,你們的鼻子應該比人類還靈吧
Dialogue: Marked=0,0:05:58.32,0:06:00.15,Default,,0000,0000,0000,,你以為在召喚小狗啊
Dialogue: Marked=0,0:06:00.25,0:06:03.71,Default,,0000,0000,0000,,真是的\N蛤蟆的權威都被掃在地上了啦
Dialogue: Marked=0,0:06:03.83,0:06:05.52,Default,,0000,0000,0000,,蛤蟆龍，我們回去吧
Dialogue: Marked=0,0:06:08.60,0:06:09.62,Default,,0000,0000,0000,,蛤蟆龍
Dialogue: Marked=0,0:06:11.23,0:06:12.06,Default,,0000,0000,0000,,蛤蟆龍
Dialogue: Marked=0,0:06:15.40,0:06:17.93,Default,,0000,0000,0000,,牠想成為飛到柳葉上的青蛙嗎
Dialogue: Marked=0,0:06:18.04,0:06:20.06,Default,,0000,0000,0000,,牠到底在幹什麼，笨蛋
Dialogue: Marked=0,0:06:20.17,0:06:21.54,Default,,0000,0000,0000,,蛤蟆吉大哥
Dialogue: Marked=0,0:06:22.54,0:06:24.67,Default,,0000,0000,0000,,這是什麼東西啊...
Dialogue: Marked=0,0:06:28.35,0:06:30.75,Default,,0000,0000,0000,,好暗，天黑了
Dialogue: Marked=0,0:06:32.99,0:06:34.72,Default,,0000,0000,0000,,晚安囉
Dialogue: Marked=0,0:06:39.56,0:06:41.43,Default,,0000,0000,0000,,早安呀
Dialogue: Marked=0,0:06:41.53,0:06:43.05,Default,,0000,0000,0000,,這是什麼東西
Dialogue: Marked=0,0:06:43.16,0:06:45.22,Default,,0000,0000,0000,,是漆成黑色的風箏
Dialogue: Marked=0,0:06:45.33,0:06:46.60,Default,,0000,0000,0000,,風箏?
Dialogue: Marked=0,0:06:46.70,0:06:47.90,Default,,0000,0000,0000,,你看看上面吧
Dialogue: Marked=0,0:06:49.57,0:06:52.37,Default,,0000,0000,0000,,還真是個超大的風箏
Dialogue: Marked=0,0:06:52.47,0:06:56.10,Default,,0000,0000,0000,,是不是舉辦過風箏的慶典啊
Dialogue: Marked=0,0:06:57.04,0:07:00.95,Default,,0000,0000,0000,,以慶典的風箏來說\N這風箏也太單調了吧
Dialogue: Marked=0,0:07:01.72,0:07:03.01,Default,,0000,0000,0000,,這話怎麼說
