[Script Info]
Title: NARUTO -ナルト- 第165話 「ナルト死す」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.28,0:00:20.51,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.62,0:00:25.52,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.62,0:00:30.72,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.83,0:00:35.35,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.46,0:00:39.56,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.50,0:00:45.41,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.51,0:00:49.53,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.58,0:00:54.57,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.68,0:00:59.55,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.62,0:01:05.49,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.59,0:01:09.59,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.57,0:01:14.70,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.60,0:01:19.66,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:42.53,0:01:43.62,Default,,0000,0000,0000,,卡卡西老師
Dialogue: Marked=0,0:01:46.13,0:01:48.19,Default,,0000,0000,0000,,鳥之國的任務已經結束了
Dialogue: Marked=0,0:01:50.00,0:01:51.20,Default,,0000,0000,0000,,這樣就行了
Dialogue: Marked=0,0:01:51.31,0:01:53.71,Default,,0000,0000,0000,,可是，受困的鳴人怎麼辦
Dialogue: Marked=0,0:01:53.81,0:01:56.33,Default,,0000,0000,0000,,我這個隊長該負起責任
Dialogue: Marked=0,0:01:58.38,0:02:01.44,Default,,0000,0000,0000,,忍者執行任務\N難免會有所犧牲
Dialogue: Marked=0,0:02:03.65,0:02:06.62,Default,,0000,0000,0000,,走吧，回村子裡去了
Dialogue: Marked=0,0:02:20.84,0:02:24.60,Default,,0000,0000,0000,,你想他們真的會回去嗎，流
Dialogue: Marked=0,0:02:25.37,0:02:26.47,Default,,0000,0000,0000,,應該是吧
Dialogue: Marked=0,0:02:28.04,0:02:31.48,Default,,0000,0000,0000,,後來過來會合的\N戴面罩忍者也很可疑
Dialogue: Marked=0,0:02:32.21,0:02:35.08,Default,,0000,0000,0000,,要我去跟蹤他們嗎，北星
Dialogue: Marked=0,0:02:35.85,0:02:39.98,Default,,0000,0000,0000,,不，我負責跟蹤他們\N你先回去報告
Dialogue: Marked=0,0:02:40.09,0:02:40.92,Default,,0000,0000,0000,,好
Dialogue: Marked=0,0:02:43.96,0:02:47.72,Default,,0000,0000,0000,,第165話 鳴人將死
Dialogue: Marked=0,0:03:04.28,0:03:06.25,Default,,0000,0000,0000,,結果怎麼樣了
Dialogue: Marked=0,0:03:06.35,0:03:07.25,Default,,0000,0000,0000,,是
Dialogue: Marked=0,0:03:07.35,0:03:10.41,Default,,0000,0000,0000,,那兩名忍者與\N事後會合的一名忍者
Dialogue: Marked=0,0:03:10.52,0:03:12.25,Default,,0000,0000,0000,,已經離開國境
Dialogue: Marked=0,0:03:12.35,0:03:14.84,Default,,0000,0000,0000,,往木葉村的方向走了
