[Script Info]
Title: NARUTO -ナルト- 第166話 「止まったままの時間」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.28,0:00:20.54,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.65,0:00:25.48,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.59,0:00:30.68,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.79,0:00:35.42,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.53,0:00:39.59,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.50,0:00:45.46,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.57,0:00:49.53,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.58,0:00:54.41,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.68,0:00:59.59,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.66,0:01:05.52,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.63,0:01:09.65,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.67,0:01:14.60,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.60,0:01:19.77,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:30.89,0:01:34.38,Default,,0000,0000,0000,,第166話 靜止的時間
Dialogue: Marked=0,0:01:37.06,0:01:39.65,Default,,0000,0000,0000,,只要怨恨一天不除
Dialogue: Marked=0,0:01:39.76,0:01:43.03,Default,,0000,0000,0000,,我心裡的時鐘\N就會永遠停留在過去
Dialogue: Marked=0,0:01:45.60,0:01:48.36,Default,,0000,0000,0000,,鷺大人，如果您是為了復仇而活
Dialogue: Marked=0,0:01:48.47,0:01:51.20,Default,,0000,0000,0000,,您的心將會被黑暗的深淵吞噬
Dialogue: Marked=0,0:01:51.31,0:01:57.58,Default,,0000,0000,0000,,如果這樣可以消除怨恨\N就算黑暗吞噬我的心也無妨
Dialogue: Marked=0,0:02:06.75,0:02:08.38,Default,,0000,0000,0000,,我如你說的去做了
Dialogue: Marked=0,0:02:09.36,0:02:13.42,Default,,0000,0000,0000,,我從來沒有停止過怨恨你
Dialogue: Marked=0,0:02:13.53,0:02:16.46,Default,,0000,0000,0000,,我就是為了要親手殺你\N才會...
Dialogue: Marked=0,0:02:16.56,0:02:17.46,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:02:17.57,0:02:18.59,Default,,0000,0000,0000,,我才會...
