[Script Info]
Title: NARUTO -ナルト- 第167話 「白鷺の羽ばたく時間」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.21,0:00:20.48,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.58,0:00:25.52,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.62,0:00:30.72,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.83,0:00:35.32,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.43,0:00:39.59,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.47,0:00:45.46,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.57,0:00:49.53,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.58,0:00:54.24,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.65,0:00:59.52,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.62,0:01:05.49,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.59,0:01:09.59,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.57,0:01:14.52,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.64,0:01:19.66,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:30.25,0:01:34.24,Default,,0000,0000,0000,,第167話 白鷺展翅飛翔時
Dialogue: Marked=0,0:01:50.67,0:01:51.47,Default,,0000,0000,0000,,這是...
Dialogue: Marked=0,0:01:52.24,0:01:53.64,Default,,0000,0000,0000,,這些水流到底是...
Dialogue: Marked=0,0:02:29.88,0:02:31.44,Default,,0000,0000,0000,,你是怎麼了，鳴人
Dialogue: Marked=0,0:02:32.21,0:02:34.04,Default,,0000,0000,0000,,快點醒過來呀，鳴人
Dialogue: Marked=0,0:02:43.63,0:02:45.82,Default,,0000,0000,0000,,他們看起來\N好像很快樂的樣子
Dialogue: Marked=0,0:02:46.53,0:02:48.26,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:02:50.00,0:02:50.97,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:02:54.47,0:02:55.27,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:03:09.68,0:03:11.41,Default,,0000,0000,0000,,這裡是上次來過的湖泊嗎
Dialogue: Marked=0,0:03:13.96,0:03:14.98,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:03:16.32,0:03:17.48,Default,,0000,0000,0000,,我懂了
Dialogue: Marked=0,0:03:17.59,0:03:21.08,Default,,0000,0000,0000,,剛才大聲把我叫醒的人\N就是千島小哥了
Dialogue: Marked=0,0:03:23.50,0:03:25.13,Default,,0000,0000,0000,,你沒有受傷吧
Dialogue: Marked=0,0:03:25.23,0:03:28.60,Default,,0000,0000,0000,,沒事，你身受重傷\N才不應該到處走動吧
Dialogue: Marked=0,0:03:28.70,0:03:30.07,Default,,0000,0000,0000,,我沒事的
Dialogue: Marked=0,0:03:31.47,0:03:33.13,Default,,0000,0000,0000,,重要的是救朱鷺大人
Dialogue: Marked=0,0:03:33.24,0:03:36.87,Default,,0000,0000,0000,,你說的對\N孟宗那個傢伙跑到哪裡去了
Dialogue: Marked=0,0:03:38.58,0:03:39.51,Default,,0000,0000,0000,,在這裡
Dialogue: Marked=0,0:03:41.62,0:03:42.71,Default,,0000,0000,0000,,孟宗
Dialogue: Marked=0,0:03:42.82,0:03:43.68,Default,,0000,0000,0000,,朱鷺大人
Dialogue: Marked=0,0:03:44.22,0:03:46.15,Default,,0000,0000,0000,,千島，對不起
Dialogue: Marked=0,0:03:47.09,0:03:49.92,Default,,0000,0000,0000,,這些日子以來我都在欺騙你
Dialogue: Marked=0,0:03:50.02,0:03:54.46,Default,,0000,0000,0000,,不，其實我早就在猜\N鷺大人是您喬裝而成的
Dialogue: Marked=0,0:03:54.56,0:03:58.19,Default,,0000,0000,0000,,你們幾個知道太多國家秘密了
Dialogue: Marked=0,0:03:58.30,0:04:02.79,Default,,0000,0000,0000,,你們就抱著這些秘密\N一起下地獄吧
Dialogue: Marked=0,0:04:11.81,0:04:14.18,Default,,0000,0000,0000,,這才是你的真面目嗎
Dialogue: Marked=0,0:04:14.28,0:04:17.74,Default,,0000,0000,0000,,我的名字叫法器\N是個流浪忍者
Dialogue: Marked=0,0:04:17.85,0:04:19.98,Default,,0000,0000,0000,,好不容易才找到安居之所
Dialogue: Marked=0,0:04:20.09,0:04:23.58,Default,,0000,0000,0000,,怎麼可以\N讓你們這幾個小鬼妨礙呢
Dialogue: Marked=0,0:04:23.69,0:04:26.79,Default,,0000,0000,0000,,水遁，水龍彈之術
Dialogue: Marked=0,0:04:54.09,0:04:54.95,Default,,0000,0000,0000,,千島
Dialogue: Marked=0,0:04:55.52,0:04:56.68,Default,,0000,0000,0000,,千島小哥
Dialogue: Marked=0,0:05:01.50,0:05:02.55,Default,,0000,0000,0000,,你要振作起來
Dialogue: Marked=0,0:05:04.87,0:05:06.30,Default,,0000,0000,0000,,你沒事吧
Dialogue: Marked=0,0:05:07.54,0:05:08.43,Default,,0000,0000,0000,,太好了
Dialogue: Marked=0,0:05:09.04,0:05:10.13,Default,,0000,0000,0000,,千島
Dialogue: Marked=0,0:05:12.01,0:05:14.57,Default,,0000,0000,0000,,朱鷺大人，我真的很懷念
Dialogue: Marked=0,0:05:15.61,0:05:21.95,Default,,0000,0000,0000,,和朱鷺大人還有鷺大人\N一起在湖畔遊玩的日子
Dialogue: Marked=0,0:05:24.79,0:05:26.75,Default,,0000,0000,0000,,那個時候的鳥之國
Dialogue: Marked=0,0:05:26.85,0:05:30.92,Default,,0000,0000,0000,,是個和平，穩定又溫暖的地方
Dialogue: Marked=0,0:05:32.36,0:05:33.69,Default,,0000,0000,0000,,用朱鷺大人的力量
Dialogue: Marked=0,0:05:34.83,0:05:36.85,Default,,0000,0000,0000,,讓鳥之國再一次
Dialogue: Marked=0,0:05:38.23,0:05:39.72,Default,,0000,0000,0000,,回到從前吧
Dialogue: Marked=0,0:05:42.00,0:05:42.90,Default,,0000,0000,0000,,千島
Dialogue: Marked=0,0:05:44.24,0:05:45.80,Default,,0000,0000,0000,,你要振作起來啊
Dialogue: Marked=0,0:05:46.67,0:05:49.94,Default,,0000,0000,0000,,我求求你，鳴人
Dialogue: Marked=0,0:05:50.04,0:05:51.20,Default,,0000,0000,0000,,要保護朱鷺大人...
Dialogue: Marked=0,0:05:53.11,0:05:54.55,Default,,0000,0000,0000,,保護我的朋友
Dialogue: Marked=0,0:05:55.52,0:05:57.98,Default,,0000,0000,0000,,好，木葉村的忍者
Dialogue: Marked=0,0:05:58.09,0:06:01.18,Default,,0000,0000,0000,,一定會信守承諾\N完成別人所託付的任務
Dialogue: Marked=0,0:06:02.36,0:06:03.82,Default,,0000,0000,0000,,我們說定了
Dialogue: Marked=0,0:06:05.33,0:06:06.55,Default,,0000,0000,0000,,你一定要...
Dialogue: Marked=0,0:06:07.60,0:06:10.06,Default,,0000,0000,0000,,你一定要保護朱鷺大人
Dialogue: Marked=0,0:06:12.03,0:06:14.63,Default,,0000,0000,0000,,小哥，原來你對那個姊姊...
Dialogue: Marked=0,0:06:15.64,0:06:18.97,Default,,0000,0000,0000,,拉麵好好吃喔
Dialogue: Marked=0,0:06:20.01,0:06:22.64,Default,,0000,0000,0000,,我一定會再請你吃的
Dialogue: Marked=0,0:06:24.41,0:06:28.82,Default,,0000,0000,0000,,謝謝你，鳴人
Dialogue: Marked=0,0:06:34.46,0:06:35.29,Default,,0000,0000,0000,,小哥
Dialogue: Marked=0,0:06:43.00,0:06:43.93,Default,,0000,0000,0000,,小哥
Dialogue: Marked=0,0:06:47.74,0:06:49.10,Default,,0000,0000,0000,,千島
Dialogue: Marked=0,0:06:52.41,0:06:57.21,Default,,0000,0000,0000,,那傢伙也只是方便我\N調度運用的棋子罷了
Dialogue: Marked=0,0:06:57.31,0:06:58.34,Default,,0000,0000,0000,,給我閉嘴
Dialogue: Marked=0,0:06:59.35,0:07:02.71,Default,,0000,0000,0000,,他真的好喜歡...好喜歡鳥之國
Dialogue: Marked=0,0:07:03.75,0:07:07.05,Default,,0000,0000,0000,,甚至犧牲自己來保護國家\N但你竟然...
Dialogue: Marked=0,0:07:09.12,0:07:14.72,Default,,0000,0000,0000,,我絕對不會放過你
Dialogue: Marked=0,0:07:17.37,0:07:19.06,Default,,0000,0000,0000,,你不會放過我?
Dialogue: Marked=0,0:07:19.17,0:07:22.43,Default,,0000,0000,0000,,像你這種小鬼，可以做什麼呢
Dialogue: Marked=0,0:07:23.17,0:07:26.11,Default,,0000,0000,0000,,水遁，大瀑布之術
Dialogue: Marked=0,0:07:34.95,0:07:35.88,Default,,0000,0000,0000,,納命來
Dialogue: Marked=0,0:07:54.70,0:07:55.83,Default,,0000,0000,0000,,你們很煩耶
Dialogue: Marked=0,0:08:06.51,0:08:07.34,Default,,0000,0000,0000,,柔拳
Dialogue: Marked=0,0:08:16.32,0:08:19.66,Default,,0000,0000,0000,,你太不小心了\N拷貝忍者，旗木卡卡西
Dialogue: Marked=0,0:08:20.19,0:08:23.13,Default,,0000,0000,0000,,如果能打敗擁有寫輪眼的你
Dialogue: Marked=0,0:08:23.23,0:08:26.29,Default,,0000,0000,0000,,那我這個流浪忍者的身價\N也會跟著水漲船高
Dialogue: Marked=0,0:08:34.98,0:08:35.87,Default,,0000,0000,0000,,是替身?
Dialogue: Marked=0,0:08:37.14,0:08:38.98,Default,,0000,0000,0000,,真遺憾
Dialogue: Marked=0,0:08:39.08,0:08:41.78,Default,,0000,0000,0000,,對付你這種人\N根本不需要用到寫輪眼
Dialogue: Marked=0,0:08:48.02,0:08:48.75,Default,,0000,0000,0000,,在這邊
Dialogue: Marked=0,0:08:48.86,0:08:49.72,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:08:54.90,0:08:56.16,Default,,0000,0000,0000,,沿著這條水路走的話...
Dialogue: Marked=0,0:08:56.26,0:08:58.46,Default,,0000,0000,0000,,是啊，就可以找到鳴人了
Dialogue: Marked=0,0:09:07.44,0:09:12.07,Default,,0000,0000,0000,,真可惜\N我沒有辦法讓妳替親人報仇
Dialogue: Marked=0,0:09:12.18,0:09:16.34,Default,,0000,0000,0000,,不過至少我會同情妳\N送妳去見妳死去的親人
Dialogue: Marked=0,0:09:17.85,0:09:18.72,Default,,0000,0000,0000,,沒有關係
Dialogue: Marked=0,0:09:20.25,0:09:22.81,Default,,0000,0000,0000,,你就乾脆一點，殺了我吧
Dialogue: Marked=0,0:09:24.03,0:09:25.52,Default,,0000,0000,0000,,妳很乾脆嘛
Dialogue: Marked=0,0:09:27.03,0:09:29.29,Default,,0000,0000,0000,,大家都已經不在人世了
Dialogue: Marked=0,0:09:29.40,0:09:32.13,Default,,0000,0000,0000,,活在這世上的只有我一個
Dialogue: Marked=0,0:09:35.07,0:09:39.94,Default,,0000,0000,0000,,既然無法報仇\N那我活著又有什麼意義呢
