[Script Info]
Title: NARUTO -ナルト- 第168話 「燃えろ寸胴！混ぜて伸ばして茹で上げろ！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.28,0:00:20.58,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.68,0:00:25.55,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.65,0:00:30.75,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.86,0:00:35.42,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.53,0:00:39.86,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.57,0:00:45.51,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.61,0:00:49.57,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.61,0:00:54.51,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.72,0:00:59.65,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.66,0:01:05.59,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.69,0:01:09.72,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.67,0:01:14.97,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.70,0:01:19.83,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:31.99,0:01:35.18,Default,,0000,0000,0000,,我已經好一陣子\N沒吃到一樂的拉麵了耶
Dialogue: Marked=0,0:01:35.29,0:01:37.78,Default,,0000,0000,0000,,最近都是為了任務離開村子
Dialogue: Marked=0,0:01:38.73,0:01:41.25,Default,,0000,0000,0000,,執行任務後的一碗拉麵
Dialogue: Marked=0,0:01:41.36,0:01:45.26,Default,,0000,0000,0000,,能把活力傳送到身體各處\N成為邁向明天的動力
Dialogue: Marked=0,0:01:45.37,0:01:47.99,Default,,0000,0000,0000,,吃一碗拉麵\N疲勞也跟著消除
Dialogue: Marked=0,0:01:48.50,0:01:49.47,Default,,0000,0000,0000,,拉麵
Dialogue: Marked=0,0:01:50.97,0:01:51.96,Default,,0000,0000,0000,,拉麵
Dialogue: Marked=0,0:01:52.91,0:01:53.87,Default,,0000,0000,0000,,拉麵
Dialogue: Marked=0,0:01:54.68,0:01:55.84,Default,,0000,0000,0000,,拉麵
Dialogue: Marked=0,0:02:02.38,0:02:04.35,Default,,0000,0000,0000,,臨時休息?
