[Script Info]
Title: NARUTO -ナルト- 第171話 「潜入 仕組まれた罠（トラップ）」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.21,0:00:20.44,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.55,0:00:25.38,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.49,0:00:30.72,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.83,0:00:35.32,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.43,0:00:39.59,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.44,0:00:45.43,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.54,0:00:49.48,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.51,0:00:54.41,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.65,0:00:59.55,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.56,0:01:05.46,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.56,0:01:09.55,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.57,0:01:14.73,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.60,0:01:19.73,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:34.29,0:01:39.12,Default,,0000,0000,0000,,第171話\N潛入 已設計好的陷阱
Dialogue: Marked=0,0:01:49.90,0:01:50.89,Default,,0000,0000,0000,,情況怎麼樣
Dialogue: Marked=0,0:01:52.07,0:01:53.73,Default,,0000,0000,0000,,我實在搞不懂
Dialogue: Marked=0,0:01:54.44,0:01:56.24,Default,,0000,0000,0000,,為什麼老師會突然倒下呢
Dialogue: Marked=0,0:01:56.98,0:01:57.74,Default,,0000,0000,0000,,是嗎
Dialogue: Marked=0,0:01:58.71,0:02:01.55,Default,,0000,0000,0000,,早上御用金船就要出航了
Dialogue: Marked=0,0:02:01.65,0:02:03.62,Default,,0000,0000,0000,,我們應該儘快回旅館才對
Dialogue: Marked=0,0:02:03.72,0:02:04.55,Default,,0000,0000,0000,,可是...可是...
Dialogue: Marked=0,0:02:04.65,0:02:06.48,Default,,0000,0000,0000,,這樣一來姊姊會怎麼樣呢
Dialogue: Marked=0,0:02:06.59,0:02:07.89,Default,,0000,0000,0000,,我怎麼會知道啊
Dialogue: Marked=0,0:02:07.99,0:02:09.98,Default,,0000,0000,0000,,對方可是個海魔耶
Dialogue: Marked=0,0:02:10.09,0:02:11.25,Default,,0000,0000,0000,,可是她...
Dialogue: Marked=0,0:02:11.36,0:02:12.35,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:02:12.46,0:02:14.39,Default,,0000,0000,0000,,你和那個女孩\N到底是怎麼了嘛
Dialogue: Marked=0,0:02:14.50,0:02:15.66,Default,,0000,0000,0000,,就是因為...
Dialogue: Marked=0,0:02:15.76,0:02:16.89,Default,,0000,0000,0000,,我剛才也說過啦
Dialogue: Marked=0,0:02:17.00,0:02:19.52,Default,,0000,0000,0000,,我困在海裡的時候\N就是姊姊出手救我的
Dialogue: Marked=0,0:02:53.74,0:02:54.70,Default,,0000,0000,0000,,怎麼了嗎
