[Script Info]
Title: NARUTO -ナルト- 第172話 「絶望 引き裂かれた心（ハート）」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.31,0:00:20.51,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.62,0:00:25.52,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.62,0:00:30.75,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.86,0:00:35.42,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.53,0:00:39.56,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.54,0:00:45.44,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.54,0:00:49.60,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.58,0:00:54.38,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.72,0:00:59.68,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.66,0:01:05.52,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.63,0:01:09.65,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.63,0:01:14.97,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.67,0:01:19.83,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:45.53,0:01:47.19,Default,,0000,0000,0000,,該往哪裡走啊
Dialogue: Marked=0,0:01:47.30,0:01:49.29,Default,,0000,0000,0000,,我有聞到一點海水的味道
Dialogue: Marked=0,0:01:53.74,0:01:55.47,Default,,0000,0000,0000,,差一點就可以逃出去了
Dialogue: Marked=0,0:01:58.38,0:02:00.51,Default,,0000,0000,0000,,事到如今\N只好用我的螺旋丸了
Dialogue: Marked=0,0:02:00.62,0:02:01.55,Default,,0000,0000,0000,,等一下
Dialogue: Marked=0,0:02:01.65,0:02:04.21,Default,,0000,0000,0000,,要是失敗了\N我們都別想出去了
Dialogue: Marked=0,0:02:04.32,0:02:07.05,Default,,0000,0000,0000,,那妳說我們該怎麼辦呢
Dialogue: Marked=0,0:02:07.16,0:02:09.12,Default,,0000,0000,0000,,大家往後退
Dialogue: Marked=0,0:02:27.31,0:02:28.30,Default,,0000,0000,0000,,總算得救了
Dialogue: Marked=0,0:02:29.58,0:02:30.51,Default,,0000,0000,0000,,紅豆老師
Dialogue: Marked=0,0:02:31.58,0:02:33.55,Default,,0000,0000,0000,,現在不是拖拖拉拉的時候
Dialogue: Marked=0,0:02:33.65,0:02:34.71,Default,,0000,0000,0000,,已經早上了
Dialogue: Marked=0,0:02:35.28,0:02:36.44,Default,,0000,0000,0000,,糟糕了
Dialogue: Marked=0,0:02:36.55,0:02:38.64,Default,,0000,0000,0000,,御用金船有危險了
Dialogue: Marked=0,0:02:38.75,0:02:40.41,Default,,0000,0000,0000,,我們現在馬上就趕過去
Dialogue: Marked=0,0:02:42.56,0:02:43.25,Default,,0000,0000,0000,,坐那艘船
Dialogue: Marked=0,0:02:43.36,0:02:44.45,Default,,0000,0000,0000,,好，出發了
Dialogue: Marked=0,0:02:48.23,0:02:51.16,Default,,0000,0000,0000,,難道都沒有\N木葉忍者傳來的消息嗎
Dialogue: Marked=0,0:02:51.27,0:02:54.29,Default,,0000,0000,0000,,明明說好\N要和船隻一塊同行的
Dialogue: Marked=0,0:02:54.40,0:02:55.87,Default,,0000,0000,0000,,到底怎麼了啊
Dialogue: Marked=0,0:02:57.27,0:02:59.76,Default,,0000,0000,0000,,隊長，剛剛接獲對方的消息了
Dialogue: Marked=0,0:03:02.41,0:03:03.38,Default,,0000,0000,0000,,是嗎
Dialogue: Marked=0,0:03:05.65,0:03:07.81,Default,,0000,0000,0000,,真不愧是忍者中的菁英份子
Dialogue: Marked=0,0:03:07.92,0:03:10.98,Default,,0000,0000,0000,,他們昨天晚上\N好像就已經解決掉海魔了
Dialogue: Marked=0,0:03:13.09,0:03:13.99,Default,,0000,0000,0000,,好厲害啊
Dialogue: Marked=0,0:03:14.09,0:03:16.28,Default,,0000,0000,0000,,這麼一來，這艘船就安全了
Dialogue: Marked=0,0:03:16.39,0:03:17.55,Default,,0000,0000,0000,,那當然了
Dialogue: Marked=0,0:03:17.66,0:03:19.85,Default,,0000,0000,0000,,兄弟們，各就各位
Dialogue: Marked=0,0:03:19.96,0:03:21.22,Default,,0000,0000,0000,,出航
Dialogue: Marked=0,0:03:27.90,0:03:31.84,Default,,0000,0000,0000,,第172話 絕望 被撕裂的心
Dialogue: Marked=0,0:03:34.14,0:03:35.80,Default,,0000,0000,0000,,要小心海裡的岩礁
Dialogue: Marked=0,0:03:40.95,0:03:44.08,Default,,0000,0000,0000,,港口並沒有看到御用金船的蹤影
Dialogue: Marked=0,0:03:44.19,0:03:45.05,Default,,0000,0000,0000,,怎麼會
Dialogue: Marked=0,0:03:45.15,0:03:47.12,Default,,0000,0000,0000,,竟然會沒等我們到就先出發了
Dialogue: Marked=0,0:03:48.49,0:03:51.08,Default,,0000,0000,0000,,難道是中了阿馬奇的圈套?
Dialogue: Marked=0,0:04:04.74,0:04:05.64,Default,,0000,0000,0000,,海星隊長
Dialogue: Marked=0,0:04:07.28,0:04:08.37,Default,,0000,0000,0000,,怎麼了嗎
Dialogue: Marked=0,0:04:08.48,0:04:10.41,Default,,0000,0000,0000,,船底下好像有什麼東西
Dialogue: Marked=0,0:04:23.46,0:04:25.15,Default,,0000,0000,0000,,趕快確認敵人身分
Dialogue: Marked=0,0:04:25.26,0:04:25.95,Default,,0000,0000,0000,,是
Dialogue: Marked=0,0:04:29.40,0:04:30.19,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:04:34.47,0:04:35.46,Default,,0000,0000,0000,,左滿舵
Dialogue: Marked=0,0:04:36.97,0:04:38.50,Default,,0000,0000,0000,,船舵沒有辦法動
Dialogue: Marked=0,0:04:38.61,0:04:39.60,Default,,0000,0000,0000,,你說什麼
Dialogue: Marked=0,0:04:56.26,0:04:58.23,Default,,0000,0000,0000,,沒辦法，就是不能動
Dialogue: Marked=0,0:04:58.33,0:04:59.49,Default,,0000,0000,0000,,要撞上了
Dialogue: Marked=0,0:04:59.59,0:05:01.15,Default,,0000,0000,0000,,大家要抓牢了
Dialogue: Marked=0,0:05:19.85,0:05:21.25,Default,,0000,0000,0000,,是海魔來襲嗎
Dialogue: Marked=0,0:05:23.32,0:05:25.51,Default,,0000,0000,0000,,謝謝你們搬來御用金
Dialogue: Marked=0,0:05:25.62,0:05:26.88,Default,,0000,0000,0000,,你是剛才那個人
Dialogue: Marked=0,0:05:32.26,0:05:33.23,Default,,0000,0000,0000,,你到底是誰
Dialogue: Marked=0,0:05:34.16,0:05:38.29,Default,,0000,0000,0000,,乖乖的把這艘船交出來\N我就放你們一條生路
Dialogue: Marked=0,0:05:38.40,0:05:39.33,Default,,0000,0000,0000,,不要開玩笑了
Dialogue: Marked=0,0:05:51.15,0:05:52.01,Default,,0000,0000,0000,,是海魔
Dialogue: Marked=0,0:05:52.11,0:05:53.05,Default,,0000,0000,0000,,是怪物
Dialogue: Marked=0,0:06:01.42,0:06:03.52,Default,,0000,0000,0000,,魔幻，地獄業火之術
Dialogue: Marked=0,0:06:06.79,0:06:07.92,Default,,0000,0000,0000,,什麼...
Dialogue: Marked=0,0:06:08.03,0:06:09.26,Default,,0000,0000,0000,,那...那是...
Dialogue: Marked=0,0:06:14.44,0:06:15.42,Default,,0000,0000,0000,,火燒起來了
Dialogue: Marked=0,0:06:31.29,0:06:33.41,Default,,0000,0000,0000,,鎧，你負責善後
Dialogue: Marked=0,0:06:53.81,0:06:54.57,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:06:58.91,0:07:00.51,Default,,0000,0000,0000,,你的對手是我才對
Dialogue: Marked=0,0:07:04.89,0:07:06.32,Default,,0000,0000,0000,,大家振作一點
Dialogue: Marked=0,0:07:07.72,0:07:09.75,Default,,0000,0000,0000,,不許你們繼續亂來了
Dialogue: Marked=0,0:07:10.89,0:07:13.09,Default,,0000,0000,0000,,我們又見面啦，變態
Dialogue: Marked=0,0:07:14.86,0:07:16.16,Default,,0000,0000,0000,,不好意思
Dialogue: Marked=0,0:07:16.26,0:07:18.36,Default,,0000,0000,0000,,我還有一些事想要請教你喔
Dialogue: Marked=0,0:07:19.50,0:07:20.97,Default,,0000,0000,0000,,妳在幹什麼，姊姊
Dialogue: Marked=0,0:07:22.24,0:07:23.97,Default,,0000,0000,0000,,不要再那麼做了啦
Dialogue: Marked=0,0:07:24.07,0:07:26.60,Default,,0000,0000,0000,,再這樣下去的話\N妳真的會變成海魔的
Dialogue: Marked=0,0:07:29.04,0:07:30.27,Default,,0000,0000,0000,,幹掉他，漁火
Dialogue: Marked=0,0:07:39.79,0:07:41.31,Default,,0000,0000,0000,,你的對手可是我
Dialogue: Marked=0,0:07:42.99,0:07:46.76,Default,,0000,0000,0000,,你說大蛇丸在半個月前\N離開了那間研究室
Dialogue: Marked=0,0:07:47.60,0:07:49.72,Default,,0000,0000,0000,,他到底往哪裡去了
Dialogue: Marked=0,0:07:49.83,0:07:50.82,Default,,0000,0000,0000,,不知道
Dialogue: Marked=0,0:07:51.97,0:07:55.40,Default,,0000,0000,0000,,我想起來了\N大蛇丸身邊帶著一個孩子
Dialogue: Marked=0,0:07:55.50,0:07:58.60,Default,,0000,0000,0000,,跟妳不一樣\N好像是個很優秀的傢伙
Dialogue: Marked=0,0:08:00.14,0:08:01.27,Default,,0000,0000,0000,,宇智波佐助
Dialogue: Marked=0,0:08:02.24,0:08:06.27,Default,,0000,0000,0000,,妳會遭到遺棄\N應該是某些能力不足吧
Dialogue: Marked=0,0:08:12.15,0:08:12.95,Default,,0000,0000,0000,,姊姊
Dialogue: Marked=0,0:08:18.46,0:08:20.02,Default,,0000,0000,0000,,影分身之術
Dialogue: Marked=0,0:08:59.70,0:09:00.53,Default,,0000,0000,0000,,姊姊
Dialogue: Marked=0,0:09:02.50,0:09:06.67,Default,,0000,0000,0000,,妳應該聽得懂\N我講的那些話的意思吧
Dialogue: Marked=0,0:09:07.54,0:09:10.34,Default,,0000,0000,0000,,妳這麼做讓大家受苦
Dialogue: Marked=0,0:09:10.44,0:09:13.04,Default,,0000,0000,0000,,難道說妳都不覺得怎麼樣嗎
