[Script Info]
Title: NARUTO -ナルト- 第174話 「ありえねーってばよ！セレブ忍法・金遁の術」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.11,0:00:20.38,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.48,0:00:25.32,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.42,0:00:30.55,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.66,0:00:35.19,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.30,0:00:39.36,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.30,0:00:45.30,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.41,0:00:49.40,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.41,0:00:54.28,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.52,0:00:59.45,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.46,0:01:05.32,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.43,0:01:09.39,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.40,0:01:14.70,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.47,0:01:19.60,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:39.29,0:01:40.12,Default,,0000,0000,0000,,爸爸
Dialogue: Marked=0,0:01:41.16,0:01:42.72,Default,,0000,0000,0000,,怎麼啦，小左
Dialogue: Marked=0,0:01:43.50,0:01:44.06,Default,,0000,0000,0000,,你看
Dialogue: Marked=0,0:01:44.17,0:01:46.07,Default,,0000,0000,0000,,這個亮晶晶的好漂亮喔
Dialogue: Marked=0,0:01:46.17,0:01:47.79,Default,,0000,0000,0000,,真的很漂亮耶，小左
Dialogue: Marked=0,0:01:50.41,0:01:54.43,Default,,0000,0000,0000,,明明就這麼漂亮\N卻沒有任何價值
Dialogue: Marked=0,0:01:56.74,0:01:58.68,Default,,0000,0000,0000,,根本沒用嘛，爸爸
Dialogue: Marked=0,0:02:00.38,0:02:04.25,Default,,0000,0000,0000,,第174話 不可能的喲\N完美的忍法 錢遁之術
Dialogue: Marked=0,0:02:05.22,0:02:08.25,Default,,0000,0000,0000,,妳說的是真的嗎，綱手奶奶
Dialogue: Marked=0,0:02:08.79,0:02:09.69,Default,,0000,0000,0000,,冷靜下來
Dialogue: Marked=0,0:02:10.76,0:02:11.32,Default,,0000,0000,0000,,對不起
Dialogue: Marked=0,0:02:11.43,0:02:13.02,Default,,0000,0000,0000,,我已經冷靜下來了啦
Dialogue: Marked=0,0:02:17.70,0:02:21.73,Default,,0000,0000,0000,,對方是個很重要的人物\N此任務只有你能勝任
Dialogue: Marked=0,0:02:21.84,0:02:23.13,Default,,0000,0000,0000,,終於...
Dialogue: Marked=0,0:02:23.24,0:02:26.77,Default,,0000,0000,0000,,配得上我實力的任務\N終於來了
Dialogue: Marked=0,0:02:27.48,0:02:32.04,Default,,0000,0000,0000,,護衛重要人物\N這話聽起來真是太舒服了
Dialogue: Marked=0,0:02:33.88,0:02:35.44,Default,,0000,0000,0000,,給我認真點聽
Dialogue: Marked=0,0:02:37.22,0:02:38.58,Default,,0000,0000,0000,,遵命
Dialogue: Marked=0,0:02:40.86,0:02:43.79,Default,,0000,0000,0000,,那麼，關於這次的任務...
Dialogue: Marked=0,0:02:43.89,0:02:44.48,Default,,0000,0000,0000,,靜音
Dialogue: Marked=0,0:02:44.59,0:02:45.35,Default,,0000,0000,0000,,是
Dialogue: Marked=0,0:02:48.36,0:02:51.16,Default,,0000,0000,0000,,詳細的內容寫在那份文件上
Dialogue: Marked=0,0:02:51.27,0:02:53.03,Default,,0000,0000,0000,,對方叫做邦日左
Dialogue: Marked=0,0:02:53.13,0:02:56.93,Default,,0000,0000,0000,,住在京城裡\N和我認識很久了，是個公子哥
Dialogue: Marked=0,0:02:57.61,0:02:59.27,Default,,0000,0000,0000,,綱手奶奶的朋友?
Dialogue: Marked=0,0:02:59.37,0:03:00.07,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:03:00.84,0:03:03.28,Default,,0000,0000,0000,,父親的名字叫邦次郎
Dialogue: Marked=0,0:03:03.38,0:03:06.21,Default,,0000,0000,0000,,是個白手起家\N精明能幹的珠寶商
Dialogue: Marked=0,0:03:07.95,0:03:10.18,Default,,0000,0000,0000,,珠寶商的公子哥
Dialogue: Marked=0,0:03:15.02,0:03:16.15,Default,,0000,0000,0000,,爸爸
Dialogue: Marked=0,0:03:17.26,0:03:19.35,Default,,0000,0000,0000,,這也是真的嗎
Dialogue: Marked=0,0:03:19.46,0:03:22.16,Default,,0000,0000,0000,,當然是真的囉，小左
Dialogue: Marked=0,0:03:22.26,0:03:24.36,Default,,0000,0000,0000,,那這個也是囉\N那個也是?
Dialogue: Marked=0,0:03:24.47,0:03:26.19,Default,,0000,0000,0000,,那也是?這也是嗎?
Dialogue: Marked=0,0:03:26.30,0:03:28.53,Default,,0000,0000,0000,,當然都是囉，小左
Dialogue: Marked=0,0:03:28.64,0:03:31.07,Default,,0000,0000,0000,,忍者，忍者，忍者
Dialogue: Marked=0,0:03:34.41,0:03:36.71,Default,,0000,0000,0000,,我的幹勁全都來了
Dialogue: Marked=0,0:03:38.55,0:03:40.10,Default,,0000,0000,0000,,好，這個任務我接了
Dialogue: Marked=0,0:03:40.22,0:03:40.94,Default,,0000,0000,0000,,綱手奶奶
Dialogue: Marked=0,0:03:41.05,0:03:43.07,Default,,0000,0000,0000,,那個叫邦日左的公子哥在哪裡
Dialogue: Marked=0,0:03:45.32,0:03:46.12,Default,,0000,0000,0000,,請進
Dialogue: Marked=0,0:03:47.69,0:03:49.88,Default,,0000,0000,0000,,忍者，忍者...\N哪來的小鬼啊
Dialogue: Marked=0,0:03:49.99,0:03:52.72,Default,,0000,0000,0000,,忍者，忍者，忍者...
Dialogue: Marked=0,0:03:52.83,0:03:54.19,Default,,0000,0000,0000,,忍者
Dialogue: Marked=0,0:03:54.90,0:03:57.46,Default,,0000,0000,0000,,別把語尾的音下降，知道嗎
Dialogue: Marked=0,0:03:57.57,0:03:58.66,Default,,0000,0000,0000,,就是你啊
Dialogue: Marked=0,0:03:59.70,0:04:03.69,Default,,0000,0000,0000,,你就是陪邦日左\N進行一日忍者體驗遊的忍者?
Dialogue: Marked=0,0:04:04.44,0:04:06.10,Default,,0000,0000,0000,,今天就麻煩你了
Dialogue: Marked=0,0:04:07.44,0:04:11.44,Default,,0000,0000,0000,,一日體驗遊?
Dialogue: Marked=0,0:04:11.55,0:04:14.54,Default,,0000,0000,0000,,我們家小左\N一直很嚮往忍者的生活
Dialogue: Marked=0,0:04:14.65,0:04:17.81,Default,,0000,0000,0000,,每天都吵著要當忍者呢
Dialogue: Marked=0,0:04:21.42,0:04:24.59,Default,,0000,0000,0000,,綱手奶奶\N不是說要護衛重要人物嗎
Dialogue: Marked=0,0:04:25.76,0:04:27.25,Default,,0000,0000,0000,,你在說什麼
Dialogue: Marked=0,0:04:27.36,0:04:30.76,Default,,0000,0000,0000,,我是有說重要人物\N但從來沒提到要護衛喔
Dialogue: Marked=0,0:04:30.87,0:04:32.66,Default,,0000,0000,0000,,妳這是騙我嘛，奶奶
Dialogue: Marked=0,0:04:32.77,0:04:33.70,Default,,0000,0000,0000,,漩渦鳴人
Dialogue: Marked=0,0:04:34.90,0:04:38.70,Default,,0000,0000,0000,,我命令你接下邦日左\N一日忍者體驗遊的任務
Dialogue: Marked=0,0:04:38.81,0:04:40.21,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:04:40.31,0:04:41.87,Default,,0000,0000,0000,,妳很卑鄙喔，奶奶
Dialogue: Marked=0,0:04:42.54,0:04:43.67,Default,,0000,0000,0000,,還有一件事
Dialogue: Marked=0,0:04:44.35,0:04:46.47,Default,,0000,0000,0000,,再送你一個小小的任務
Dialogue: Marked=0,0:04:48.45,0:04:51.38,Default,,0000,0000,0000,,綱手奶奶，妳這樣好過分啊
Dialogue: Marked=0,0:04:56.46,0:05:00.69,Default,,0000,0000,0000,,清掃沼澤，修理橋樑\N制伏失控的山豬
Dialogue: Marked=0,0:05:01.80,0:05:02.66,Default,,0000,0000,0000,,再加上...
