[Script Info]
Title: NARUTO -ナルト- 第175話 「ここ掘れワンワン！埋蔵金を探せ」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.34,0:00:20.58,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.68,0:00:25.52,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.62,0:00:30.82,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.93,0:00:35.45,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.56,0:00:39.59,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.57,0:00:45.53,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.64,0:00:49.60,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.65,0:00:54.45,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.75,0:00:59.69,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.69,0:01:05.59,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.69,0:01:09.65,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.67,0:01:14.83,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.70,0:01:19.87,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:31.22,0:01:33.28,Default,,0000,0000,0000,,金額比上個月多了嗎
Dialogue: Marked=0,0:01:33.39,0:01:34.62,Default,,0000,0000,0000,,比上個月多喔
Dialogue: Marked=0,0:01:34.72,0:01:36.95,Default,,0000,0000,0000,,綱手大人就任火影的消息
Dialogue: Marked=0,0:01:37.06,0:01:38.99,Default,,0000,0000,0000,,連遠在天邊的國家都知道了
Dialogue: Marked=0,0:01:39.09,0:01:44.23,Default,,0000,0000,0000,,所以他們就把請款單\N直接寄到木葉忍者村裡來了
Dialogue: Marked=0,0:01:45.03,0:01:47.50,Default,,0000,0000,0000,,早知道就不要接下火影這個職務
Dialogue: Marked=0,0:01:51.04,0:01:52.70,Default,,0000,0000,0000,,我的名字叫綱手
Dialogue: Marked=0,0:01:52.81,0:01:55.24,Default,,0000,0000,0000,,是木葉村第五代火影
Dialogue: Marked=0,0:01:56.14,0:01:59.20,Default,,0000,0000,0000,,現在煩惱的就是負債有增無減
Dialogue: Marked=0,0:01:59.31,0:02:00.30,Default,,0000,0000,0000,,還有...
Dialogue: Marked=0,0:02:00.42,0:02:02.28,Default,,0000,0000,0000,,綱手奶奶
Dialogue: Marked=0,0:02:02.95,0:02:04.21,Default,,0000,0000,0000,,給我等一下
Dialogue: Marked=0,0:02:04.32,0:02:05.12,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:02:05.75,0:02:06.52,Default,,0000,0000,0000,,冷靜點
Dialogue: Marked=0,0:02:06.62,0:02:10.56,Default,,0000,0000,0000,,如果沒有任務的話\N就讓我出去找佐助好不好
Dialogue: Marked=0,0:02:10.66,0:02:13.68,Default,,0000,0000,0000,,不是已經交待過\N要你好好修練的嗎
Dialogue: Marked=0,0:02:14.83,0:02:16.73,Default,,0000,0000,0000,,綱手奶奶
Dialogue: Marked=0,0:02:20.34,0:02:21.20,Default,,0000,0000,0000,,就是他了
Dialogue: Marked=0,0:02:23.14,0:02:26.13,Default,,0000,0000,0000,,第175話 就挖這裡汪汪\N尋找埋藏的寶藏
Dialogue: Marked=0,0:02:31.91,0:02:32.85,Default,,0000,0000,0000,,你休想要過
Dialogue: Marked=0,0:02:37.42,0:02:38.15,Default,,0000,0000,0000,,射門
Dialogue: Marked=0,0:02:45.03,0:02:46.46,Default,,0000,0000,0000,,結果很遺憾
Dialogue: Marked=0,0:02:48.73,0:02:52.36,Default,,0000,0000,0000,,因為是同一個人在踢的嘛\N想也知道結果
Dialogue: Marked=0,0:02:53.80,0:02:55.74,Default,,0000,0000,0000,,最近也都沒有什麼任務
Dialogue: Marked=0,0:02:58.97,0:02:59.67,Default,,0000,0000,0000,,好色仙人
Dialogue: Marked=0,0:02:59.77,0:03:01.90,Default,,0000,0000,0000,,拜託你趕快回來啦
Dialogue: Marked=0,0:03:02.01,0:03:04.04,Default,,0000,0000,0000,,我一個人沒有辦法修練
Dialogue: Marked=0,0:03:05.21,0:03:07.37,Default,,0000,0000,0000,,已經有人先來啦
Dialogue: Marked=0,0:03:09.25,0:03:10.72,Default,,0000,0000,0000,,牙，赤丸
Dialogue: Marked=0,0:03:10.82,0:03:13.48,Default,,0000,0000,0000,,我還以為可以好好的修練耶
Dialogue: Marked=0,0:03:14.89,0:03:17.82,Default,,0000,0000,0000,,就你一個人嗎\N雛田和志乃呢
Dialogue: Marked=0,0:03:17.93,0:03:22.36,Default,,0000,0000,0000,,志乃跟紅老師兩個人\N一起去支援其他的小組
Dialogue: Marked=0,0:03:22.46,0:03:24.99,Default,,0000,0000,0000,,雛田則是待在家裡繼續修練
Dialogue: Marked=0,0:03:25.77,0:03:28.50,Default,,0000,0000,0000,,我覺得我們好像失業了
Dialogue: Marked=0,0:03:28.60,0:03:30.66,Default,,0000,0000,0000,,別這麼說，感覺很空虛耶
