[Script Info]
Title: NARUTO -ナルト- 第176話 「疾走、迷走、ジグザグ走！追って追われて間違えて」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.28,0:00:20.54,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.65,0:00:25.52,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.62,0:00:30.75,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.86,0:00:35.39,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.50,0:00:39.56,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.54,0:00:45.50,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.61,0:00:49.54,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.55,0:00:54.48,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.72,0:00:59.62,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.66,0:01:05.52,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.63,0:01:09.62,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.63,0:01:14.90,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.67,0:01:19.87,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:31.09,0:01:33.21,Default,,0000,0000,0000,,要去村子裡進行破壞?
Dialogue: Marked=0,0:01:33.86,0:01:36.59,Default,,0000,0000,0000,,我絕對不會\N讓你們去做那種事的
Dialogue: Marked=0,0:01:36.69,0:01:40.29,Default,,0000,0000,0000,,不過就憑你們四個人\N是絕對不可能辦得到的
Dialogue: Marked=0,0:01:40.40,0:01:42.16,Default,,0000,0000,0000,,我們當然辦得到了
Dialogue: Marked=0,0:01:42.26,0:01:44.20,Default,,0000,0000,0000,,有個對村子瞭若指掌的人
Dialogue: Marked=0,0:01:44.30,0:01:47.53,Default,,0000,0000,0000,,已經給我們\N該如何下手的情報了
Dialogue: Marked=0,0:01:47.64,0:01:49.60,Default,,0000,0000,0000,,對村子瞭若指掌?
Dialogue: Marked=0,0:01:51.54,0:01:52.60,Default,,0000,0000,0000,,難道是...
Dialogue: Marked=0,0:01:52.71,0:01:53.97,Default,,0000,0000,0000,,大蛇丸嗎
Dialogue: Marked=0,0:01:55.18,0:01:56.27,Default,,0000,0000,0000,,不告訴你
Dialogue: Marked=0,0:01:57.81,0:02:02.61,Default,,0000,0000,0000,,就是這麼一回事\N如果讓你們活著回去就傷腦筋了
Dialogue: Marked=0,0:02:02.72,0:02:04.62,Default,,0000,0000,0000,,你們看到了嗎
Dialogue: Marked=0,0:02:06.72,0:02:07.62,Default,,0000,0000,0000,,起爆符
Dialogue: Marked=0,0:02:08.29,0:02:11.88,Default,,0000,0000,0000,,等我們離開這裡\N就會讓起爆符爆炸
Dialogue: Marked=0,0:02:11.99,0:02:15.83,Default,,0000,0000,0000,,你們無路可逃\N也不可能有人來救你們
Dialogue: Marked=0,0:02:15.93,0:02:17.26,Default,,0000,0000,0000,,你們就死心吧
Dialogue: Marked=0,0:02:17.37,0:02:20.03,Default,,0000,0000,0000,,總比回到\N忍者學校重修來得好吧
Dialogue: Marked=0,0:02:20.14,0:02:22.87,Default,,0000,0000,0000,,請你們結伴下黃泉吧
Dialogue: Marked=0,0:02:24.61,0:02:25.60,Default,,0000,0000,0000,,你們先別走啊
Dialogue: Marked=0,0:02:27.98,0:02:30.57,Default,,0000,0000,0000,,再見了，我的本尊
Dialogue: Marked=0,0:02:32.38,0:02:36.34,Default,,0000,0000,0000,,第176話 快跑，亂跑，迂迴跑\N追蹤，被追，搞混了
Dialogue: Marked=0,0:02:42.06,0:02:44.05,Default,,0000,0000,0000,,本來只是單純的尋寶而已
Dialogue: Marked=0,0:02:44.16,0:02:45.85,Default,,0000,0000,0000,,結果卻變成這個樣子
Dialogue: Marked=0,0:02:46.59,0:02:50.12,Default,,0000,0000,0000,,跟鳴人一起執行的任務\N果然都沒有好結果
Dialogue: Marked=0,0:02:50.23,0:02:52.03,Default,,0000,0000,0000,,現在是說那種話的時候嗎
Dialogue: Marked=0,0:02:52.13,0:02:54.12,Default,,0000,0000,0000,,那幾個傢伙偽裝成我們
