[Script Info]
Title: NARUTO -ナルト- 第177話 「OH！？ぷりーず♥みすたーぽすとまん」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.24,0:00:20.58,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.68,0:00:25.52,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.62,0:00:30.75,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.86,0:00:35.39,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.50,0:00:39.49,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.54,0:00:45.50,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.61,0:00:49.57,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.61,0:00:54.55,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.72,0:00:59.55,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.66,0:01:05.52,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.63,0:01:09.53,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.70,0:01:14.66,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.74,0:01:19.80,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:34.32,0:01:36.65,Default,,0000,0000,0000,,我都快累慘了啦
Dialogue: Marked=0,0:01:36.76,0:01:39.23,Default,,0000,0000,0000,,什麼叫單獨出重要任務嘛
Dialogue: Marked=0,0:01:39.33,0:01:43.13,Default,,0000,0000,0000,,還不就是\N城牆的修補工程缺人手
Dialogue: Marked=0,0:01:43.23,0:01:45.43,Default,,0000,0000,0000,,這哪算是忍者的工作啊
Dialogue: Marked=0,0:01:47.00,0:01:48.87,Default,,0000,0000,0000,,好痛
Dialogue: Marked=0,0:01:48.97,0:01:51.94,Default,,0000,0000,0000,,不找個地方放鬆一下\N我哪撐得了啊
Dialogue: Marked=0,0:01:56.74,0:01:58.87,Default,,0000,0000,0000,,乾脆去泡個溫泉好了
Dialogue: Marked=0,0:01:58.98,0:01:59.81,Default,,0000,0000,0000,,這...
Dialogue: Marked=0,0:02:01.15,0:02:03.05,Default,,0000,0000,0000,,這樣不就跟老頭子一樣了嗎
Dialogue: Marked=0,0:02:04.69,0:02:05.74,Default,,0000,0000,0000,,什...什麼啊
Dialogue: Marked=0,0:02:16.53,0:02:17.62,Default,,0000,0000,0000,,影分身之術
Dialogue: Marked=0,0:02:36.42,0:02:37.61,Default,,0000,0000,0000,,真是不好意思
Dialogue: Marked=0,0:02:41.42,0:02:43.32,Default,,0000,0000,0000,,大叔，你到底是什麼人啊
Dialogue: Marked=0,0:02:43.42,0:02:44.82,Default,,0000,0000,0000,,在下是飛腳忍者
Dialogue: Marked=0,0:02:46.39,0:02:48.99,Default,,0000,0000,0000,,第177話\NOHPLEASEMr． POSTMAN
Dialogue: Marked=0,0:02:52.37,0:02:56.20,Default,,0000,0000,0000,,23，24，25，26
Dialogue: Marked=0,0:02:56.84,0:02:58.50,Default,,0000,0000,0000,,數量正確無誤
Dialogue: Marked=0,0:02:58.61,0:03:02.20,Default,,0000,0000,0000,,多虧了鳴人先生的幫忙\N郵件才能安然無恙
Dialogue: Marked=0,0:03:02.31,0:03:03.40,Default,,0000,0000,0000,,對了
Dialogue: Marked=0,0:03:03.51,0:03:05.57,Default,,0000,0000,0000,,飛腳忍者是在做什麼的啊
Dialogue: Marked=0,0:03:06.38,0:03:10.75,Default,,0000,0000,0000,,就會拼了命\N我們也要將委託的包裹送達
Dialogue: Marked=0,0:03:10.85,0:03:12.44,Default,,0000,0000,0000,,是一群專業的團隊
Dialogue: Marked=0,0:03:12.55,0:03:13.95,Default,,0000,0000,0000,,也就是郵差先生囉
Dialogue: Marked=0,0:03:14.06,0:03:15.82,Default,,0000,0000,0000,,我們是飛腳忍者
Dialogue: Marked=0,0:03:15.92,0:03:18.86,Default,,0000,0000,0000,,普通的郵差\N不會拼命的寄送郵件
Dialogue: Marked=0,0:03:19.49,0:03:22.83,Default,,0000,0000,0000,,就是很厲害的郵差先生囉\N這麼說是沒錯啦
Dialogue: Marked=0,0:03:24.33,0:03:27.17,Default,,0000,0000,0000,,不可以讓我的客戶等太久了
Dialogue: Marked=0,0:03:27.27,0:03:28.67,Default,,0000,0000,0000,,那我就先告辭了
Dialogue: Marked=0,0:03:30.87,0:03:32.64,Default,,0000,0000,0000,,大叔，你叫什麼名字啊
Dialogue: Marked=0,0:03:32.74,0:03:34.94,Default,,0000,0000,0000,,我叫做596-03
Dialogue: Marked=0,0:03:35.58,0:03:37.17,Default,,0000,0000,0000,,這不是郵遞區號嗎
Dialogue: Marked=0,0:03:44.82,0:03:47.22,Default,,0000,0000,0000,,只是泡溫泉的話\N應該到哪都可以
Dialogue: Marked=0,0:03:48.32,0:03:49.79,Default,,0000,0000,0000,,討厭啦
Dialogue: Marked=0,0:03:49.89,0:03:52.66,Default,,0000,0000,0000,,明明還是大白天的\N就這麼那個...
Dialogue: Marked=0,0:03:52.76,0:03:54.28,Default,,0000,0000,0000,,這樣我會受不了的\N這個聲音是
Dialogue: Marked=0,0:03:56.63,0:03:58.46,Default,,0000,0000,0000,,小自來真是與眾不同
Dialogue: Marked=0,0:03:59.43,0:04:00.56,Default,,0000,0000,0000,,是這樣嗎
Dialogue: Marked=0,0:04:01.84,0:04:02.77,Default,,0000,0000,0000,,好色仙人
Dialogue: Marked=0,0:04:04.34,0:04:05.74,Default,,0000,0000,0000,,誰是好色仙人啊
Dialogue: Marked=0,0:04:10.31,0:04:13.37,Default,,0000,0000,0000,,這到底是怎麼回事啊\N好色仙人
Dialogue: Marked=0,0:04:13.48,0:04:16.71,Default,,0000,0000,0000,,你不是因為處理重要的任務\N才離開村子嗎
Dialogue: Marked=0,0:04:16.82,0:04:20.28,Default,,0000,0000,0000,,所以我一直在等你回來\N指導我修練耶
Dialogue: Marked=0,0:04:20.39,0:04:22.22,Default,,0000,0000,0000,,你既然有時間在這裡混
Dialogue: Marked=0,0:04:22.32,0:04:24.45,Default,,0000,0000,0000,,還不如馬上指導我修練呢
Dialogue: Marked=0,0:04:24.56,0:04:26.46,Default,,0000,0000,0000,,等...等一下，鳴人
Dialogue: Marked=0,0:04:26.56,0:04:27.62,Default,,0000,0000,0000,,我這麼做是有原因的
Dialogue: Marked=0,0:04:27.73,0:04:30.20,Default,,0000,0000,0000,,我才不想聽呢\N反正你說的都只是藉口
Dialogue: Marked=0,0:04:30.30,0:04:31.49,Default,,0000,0000,0000,,不是...
Dialogue: Marked=0,0:04:31.60,0:04:33.40,Default,,0000,0000,0000,,我來是為了取材
Dialogue: Marked=0,0:04:34.14,0:04:34.97,Default,,0000,0000,0000,,就是...
Dialogue: Marked=0,0:04:36.30,0:04:39.76,Default,,0000,0000,0000,,出版社追著我\N要我交火熱天堂最後一集的稿子
Dialogue: Marked=0,0:04:39.87,0:04:42.14,Default,,0000,0000,0000,,那你的任務怎麼辦
Dialogue: Marked=0,0:04:42.24,0:04:45.08,Default,,0000,0000,0000,,我也同時在執行任務啊
Dialogue: Marked=0,0:04:46.31,0:04:47.37,Default,,0000,0000,0000,,你不需要擔心
Dialogue: Marked=0,0:04:48.02,0:04:49.64,Default,,0000,0000,0000,,你在執行什麼任務啊
Dialogue: Marked=0,0:04:52.35,0:04:53.34,Default,,0000,0000,0000,,老實說
Dialogue: Marked=0,0:04:54.06,0:04:55.89,Default,,0000,0000,0000,,根據情報顯示
Dialogue: Marked=0,0:04:55.99,0:04:59.86,Default,,0000,0000,0000,,曉的其中一名成員\N將會在後天到這個城鎮來
Dialogue: Marked=0,0:04:59.96,0:05:01.45,Default,,0000,0000,0000,,曉的成員?
Dialogue: Marked=0,0:05:01.56,0:05:03.29,Default,,0000,0000,0000,,這麼說就是那個鼬了
Dialogue: Marked=0,0:05:03.40,0:05:07.86,Default,,0000,0000,0000,,這我也不知道\N但這也是我的目的之一
Dialogue: Marked=0,0:05:07.97,0:05:11.06,Default,,0000,0000,0000,,一切要等到後天才會知道
Dialogue: Marked=0,0:05:11.17,0:05:15.07,Default,,0000,0000,0000,,所以我才會有效地利用\N這段空檔的時間啊
Dialogue: Marked=0,0:05:15.18,0:05:19.11,Default,,0000,0000,0000,,好啊，這樣剛好\N那你趕快指導我修練啊
Dialogue: Marked=0,0:05:19.21,0:05:20.20,Default,,0000,0000,0000,,這個嘛
Dialogue: Marked=0,0:05:20.32,0:05:22.78,Default,,0000,0000,0000,,就是我剛才說的稿子啊
Dialogue: Marked=0,0:05:22.88,0:05:24.51,Default,,0000,0000,0000,,對方催得很緊
Dialogue: Marked=0,0:05:24.62,0:05:28.61,Default,,0000,0000,0000,,我答應出版社\N今天或是明天寄過去給他們
Dialogue: Marked=0,0:05:28.72,0:05:29.88,Default,,0000,0000,0000,,你在說什麼嘛
Dialogue: Marked=0,0:05:29.99,0:05:32.19,Default,,0000,0000,0000,,這可是我難得的修練機會耶
Dialogue: Marked=0,0:05:32.29,0:05:34.69,Default,,0000,0000,0000,,如果我能夠趕快完成稿件
Dialogue: Marked=0,0:05:34.80,0:05:37.23,Default,,0000,0000,0000,,或許就能爭取到修練的時間喔
Dialogue: Marked=0,0:05:46.57,0:05:47.80,Default,,0000,0000,0000,,肩膀好硬喔
Dialogue: Marked=0,0:05:47.91,0:05:48.71,Default,,0000,0000,0000,,馬上來
Dialogue: Marked=0,0:05:51.91,0:05:53.24,Default,,0000,0000,0000,,我的口好渴喔
Dialogue: Marked=0,0:05:54.75,0:05:55.51,Default,,0000,0000,0000,,馬上來
Dialogue: Marked=0,0:05:58.92,0:05:59.82,Default,,0000,0000,0000,,好燙
Dialogue: Marked=0,0:06:01.19,0:06:03.35,Default,,0000,0000,0000,,我剛想到的靈感\N全部都不見了
Dialogue: Marked=0,0:06:04.26,0:06:06.23,Default,,0000,0000,0000,,算了，我去泡溫泉
Dialogue: Marked=0,0:06:10.06,0:06:12.26,Default,,0000,0000,0000,,真是個難伺候的老師
Dialogue: Marked=0,0:06:15.34,0:06:17.86,Default,,0000,0000,0000,,反正他一定會說\N這也是在取材
Dialogue: Marked=0,0:06:19.54,0:06:23.70,Default,,0000,0000,0000,,用什麼方法，都要把祕密文件\N送給牙之國的諸侯
Dialogue: Marked=0,0:06:23.81,0:06:26.41,Default,,0000,0000,0000,,這裡好像\N是飛腳忍者的指定旅館
Dialogue: Marked=0,0:06:27.62,0:06:28.58,Default,,0000,0000,0000,,要是找他們的話...
Dialogue: Marked=0,0:06:29.28,0:06:30.44,Default,,0000,0000,0000,,飛腳忍者
Dialogue: Marked=0,0:06:32.65,0:06:34.21,Default,,0000,0000,0000,,我看到了
Dialogue: Marked=0,0:06:35.02,0:06:37.86,Default,,0000,0000,0000,,有了這個，我就有寫作靈感了
Dialogue: Marked=0,0:06:42.96,0:06:45.83,Default,,0000,0000,0000,,這樣實在沒辦法想像
Dialogue: Marked=0,0:06:45.93,0:06:48.40,Default,,0000,0000,0000,,作家不是都用頭腦想像的嗎
Dialogue: Marked=0,0:06:48.50,0:06:50.99,Default,,0000,0000,0000,,我是個執著於寫實派的作家
Dialogue: Marked=0,0:06:51.11,0:06:53.63,Default,,0000,0000,0000,,真實的影像是非常重要的
Dialogue: Marked=0,0:06:53.74,0:06:55.61,Default,,0000,0000,0000,,所以拜託你用那個啦
Dialogue: Marked=0,0:06:55.71,0:06:57.51,Default,,0000,0000,0000,,我做那個你就能寫了嗎
Dialogue: Marked=0,0:06:57.61,0:06:58.74,Default,,0000,0000,0000,,是啊，是啊
