[Script Info]
Title: NARUTO -ナルト- 第178話 「出会い 『星』の名を持つ少年」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:15.38,0:00:20.61,Default,,0000,0000,0000,,我一路收集吹過頭的風
Dialogue: Marked=0,0:00:20.72,0:00:25.58,Default,,0000,0000,0000,,乘著波浪 奔向彼方
Dialogue: Marked=0,0:00:25.69,0:00:30.85,Default,,0000,0000,0000,,我已下定決心 即使路途遙遠
Dialogue: Marked=0,0:00:30.96,0:00:35.45,Default,,0000,0000,0000,,也要前往描繪好的未來
Dialogue: Marked=0,0:00:35.56,0:00:39.52,Default,,0000,0000,0000,,是時間在催促我們
Dialogue: Marked=0,0:00:40.57,0:00:45.53,Default,,0000,0000,0000,,是鼓動讓速度加快
Dialogue: Marked=0,0:00:45.64,0:00:49.63,Default,,0000,0000,0000,,即使在夢中醒來
Dialogue: Marked=0,0:00:50.65,0:00:54.51,Default,,0000,0000,0000,,也尋找過同樣的光芒
Dialogue: Marked=0,0:00:55.75,0:00:59.69,Default,,0000,0000,0000,,在燦爛的星空下
Dialogue: Marked=0,0:01:00.72,0:01:05.59,Default,,0000,0000,0000,,有數不盡的星座
Dialogue: Marked=0,0:01:05.69,0:01:09.72,Default,,0000,0000,0000,,你在前面做什麼
Dialogue: Marked=0,0:01:10.63,0:01:14.80,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:01:15.74,0:01:19.83,Default,,0000,0000,0000,,在注視著什麼呢
Dialogue: Marked=0,0:02:35.62,0:02:40.08,Default,,0000,0000,0000,,第178話\N邂逅 擁有"星星"之名的少年
Dialogue: Marked=0,0:03:10.65,0:03:11.45,Default,,0000,0000,0000,,靜音
Dialogue: Marked=0,0:03:13.02,0:03:13.95,Default,,0000,0000,0000,,發生什麼事了嗎
Dialogue: Marked=0,0:03:27.50,0:03:28.30,Default,,0000,0000,0000,,有事嗎
Dialogue: Marked=0,0:03:29.14,0:03:31.23,Default,,0000,0000,0000,,星忍者村希望我們派遣保鑣
Dialogue: Marked=0,0:03:33.21,0:03:34.54,Default,,0000,0000,0000,,這其中有問題嗎
Dialogue: Marked=0,0:03:35.31,0:03:36.94,Default,,0000,0000,0000,,靜音，妳都沒聽說過嗎
Dialogue: Marked=0,0:03:37.78,0:03:42.08,Default,,0000,0000,0000,,星忍者村的規模並不算大\N但自尊心很強
Dialogue: Marked=0,0:03:42.18,0:03:44.08,Default,,0000,0000,0000,,因此常引發了一些爭執
Dialogue: Marked=0,0:03:44.95,0:03:46.98,Default,,0000,0000,0000,,您要接受對方的委託嗎
Dialogue: Marked=0,0:03:48.16,0:03:50.06,Default,,0000,0000,0000,,也不能對他們不理不睬吧
Dialogue: Marked=0,0:03:52.33,0:03:54.92,Default,,0000,0000,0000,,因為他們村子裡有"那個"嘛
Dialogue: Marked=0,0:04:08.44,0:04:12.81,Default,,0000,0000,0000,,好像是寧次負責當小隊長\N帶領三人小組執行任務
Dialogue: Marked=0,0:04:14.05,0:04:17.81,Default,,0000,0000,0000,,可是那個星忍者村\N是個忍者的村子嘛
Dialogue: Marked=0,0:04:18.95,0:04:22.41,Default,,0000,0000,0000,,這樣哪需要委託別人\N靠自己保護就好啦
Dialogue: Marked=0,0:04:23.96,0:04:29.12,Default,,0000,0000,0000,,跟我們有友好關係的小村子\N聽說常來請求支援
Dialogue: Marked=0,0:04:30.03,0:04:31.97,Default,,0000,0000,0000,,而且那裡真的很小
Dialogue: Marked=0,0:04:32.07,0:04:34.47,Default,,0000,0000,0000,,忍者的人數也不是很多
Dialogue: Marked=0,0:04:36.97,0:04:39.13,Default,,0000,0000,0000,,那種小地方\N為什麼會被盯上呢
Dialogue: Marked=0,0:04:41.64,0:04:42.58,Default,,0000,0000,0000,,那是因為
Dialogue: Marked=0,0:04:43.51,0:04:45.34,Default,,0000,0000,0000,,距離現在兩百年前
Dialogue: Marked=0,0:04:53.39,0:04:54.91,Default,,0000,0000,0000,,有星星掉在那個村子裡
Dialogue: Marked=0,0:04:57.56,0:05:00.72,Default,,0000,0000,0000,,妳說的不是梅乾\N而是天上的星星嗎
Dialogue: Marked=0,0:05:00.83,0:05:01.62,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:05:01.73,0:05:05.60,Default,,0000,0000,0000,,聽說那顆星星擁有\N影響查克拉的神祕力量耶
Dialogue: Marked=0,0:05:08.60,0:05:10.40,Default,,0000,0000,0000,,那根本就是迷信嘛
Dialogue: Marked=0,0:05:10.51,0:05:14.07,Default,,0000,0000,0000,,再怎麼說，星星都不可能\N自動掉到地面上啦
Dialogue: Marked=0,0:05:14.98,0:05:16.17,Default,,0000,0000,0000,,是真的啦
Dialogue: Marked=0,0:05:16.28,0:05:20.11,Default,,0000,0000,0000,,這顆星星有好幾次\N遭他國忍者的覬覦
Dialogue: Marked=0,0:05:21.48,0:05:22.78,Default,,0000,0000,0000,,遭到他國忍者覬覦?
Dialogue: Marked=0,0:05:24.62,0:05:26.28,Default,,0000,0000,0000,,擁有神祕力量
Dialogue: Marked=0,0:05:27.09,0:05:29.85,Default,,0000,0000,0000,,這樣聽起來\N感覺大蛇丸也會盯上它
Dialogue: Marked=0,0:05:31.76,0:05:32.45,Default,,0000,0000,0000,,好吧
Dialogue: Marked=0,0:05:32.56,0:05:34.08,Default,,0000,0000,0000,,我也一起加入好了
Dialogue: Marked=0,0:05:35.16,0:05:37.56,Default,,0000,0000,0000,,可是三人小組的名單\N已經決定了耶
Dialogue: Marked=0,0:05:37.67,0:05:39.43,Default,,0000,0000,0000,,我另有妙計啦
Dialogue: Marked=0,0:05:50.28,0:05:51.01,Default,,0000,0000,0000,,聽好了
Dialogue: Marked=0,0:05:51.11,0:05:53.17,Default,,0000,0000,0000,,接下來的路由我負責帶頭
Dialogue: Marked=0,0:05:53.28,0:05:55.22,Default,,0000,0000,0000,,進入村子前，有個危險地帶
Dialogue: Marked=0,0:05:55.32,0:05:56.78,Default,,0000,0000,0000,,好，我知道了
Dialogue: Marked=0,0:05:56.88,0:05:58.18,Default,,0000,0000,0000,,各位
Dialogue: Marked=0,0:05:59.02,0:06:01.25,Default,,0000,0000,0000,,我在前面等你們來喔
Dialogue: Marked=0,0:06:01.36,0:06:02.45,Default,,0000,0000,0000,,鳴人，你先不要走
Dialogue: Marked=0,0:06:03.12,0:06:04.28,Default,,0000,0000,0000,,那個傢伙
Dialogue: Marked=0,0:06:04.39,0:06:07.52,Default,,0000,0000,0000,,為什麼鳴人會出現在這裡呢
Dialogue: Marked=0,0:06:07.63,0:06:08.49,Default,,0000,0000,0000,,我怎麼知道
Dialogue: Marked=0,0:06:09.30,0:06:10.09,Default,,0000,0000,0000,,綱手大人
Dialogue: Marked=0,0:06:10.20,0:06:12.96,Default,,0000,0000,0000,,我剛收到\N鳴人跟寧次小組會合的消息
Dialogue: Marked=0,0:06:14.00,0:06:15.99,Default,,0000,0000,0000,,是我讓他加入這一次的任務
Dialogue: Marked=0,0:06:16.10,0:06:16.80,Default,,0000,0000,0000,,為什麼呢
Dialogue: Marked=0,0:06:16.90,0:06:22.17,Default,,0000,0000,0000,,他們在酢醬草金山的表現不錯\N這樣村子也比較安靜
Dialogue: Marked=0,0:06:22.28,0:06:25.37,Default,,0000,0000,0000,,只因為這種理由\N就更改決定好的小組名單
Dialogue: Marked=0,0:06:26.98,0:06:27.81,Default,,0000,0000,0000,,綱手大人
Dialogue: Marked=0,0:06:31.95,0:06:35.22,Default,,0000,0000,0000,,這是甘栗甘\N添加金箔的最高級羊羹
