[Script Info]
Title: NARUTO -ナルト- 第179話 「ナツヒボシ 思い出の子守唄」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.36,0:00:05.46,Default,,0000,0000,0000,,彈奏的旋律 徘徊在這裡...
Dialogue: Marked=0,0:00:05.57,0:00:10.87,Default,,0000,0000,0000,,現在展開新的旅程
Dialogue: Marked=0,0:00:22.18,0:00:27.99,Default,,0000,0000,0000,,每當我們度過變化無常的季節
Dialogue: Marked=0,0:00:28.09,0:00:31.12,Default,,0000,0000,0000,,就會得到智慧與堅強
Dialogue: Marked=0,0:00:31.23,0:00:33.16,Default,,0000,0000,0000,,just looks like\Na survival game
Dialogue: Marked=0,0:00:33.26,0:00:39.13,Default,,0000,0000,0000,,在流逝的時間裡 早已捨去的感情
Dialogue: Marked=0,0:00:39.23,0:00:43.00,Default,,0000,0000,0000,,讓我忘了那段遺忘已久的過去
Dialogue: Marked=0,0:00:45.87,0:00:50.57,Default,,0000,0000,0000,,開始崩潰時 才知道何謂孤獨
Dialogue: Marked=0,0:00:51.38,0:00:55.91,Default,,0000,0000,0000,,邂逅之後 我們不再孤單
Dialogue: Marked=0,0:00:56.02,0:01:01.25,Default,,0000,0000,0000,,釋放所有的情感 與無限的思念
Dialogue: Marked=0,0:01:01.36,0:01:06.69,Default,,0000,0000,0000,,眼淚將會改變命運
Dialogue: Marked=0,0:01:06.80,0:01:12.46,Default,,0000,0000,0000,,心跳聲響徹黑暗 我們會再見面
Dialogue: Marked=0,0:01:12.57,0:01:17.80,Default,,0000,0000,0000,,就在同樣傷痛的旗幟下
Dialogue: Marked=0,0:01:36.36,0:01:37.15,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:01:39.86,0:01:42.02,Default,,0000,0000,0000,,我們接到\N修練場傳來的緊急通知
Dialogue: Marked=0,0:01:42.73,0:01:44.46,Default,,0000,0000,0000,,到底發生什麼事了
Dialogue: Marked=0,0:01:44.57,0:01:47.36,Default,,0000,0000,0000,,那顆星星被偷走了
Dialogue: Marked=0,0:01:47.47,0:01:50.56,Default,,0000,0000,0000,,敵人是個會運用查克拉\N在空中飛行的忍者
Dialogue: Marked=0,0:01:51.24,0:01:52.83,Default,,0000,0000,0000,,怎麼可能呢
Dialogue: Marked=0,0:01:52.94,0:01:56.57,Default,,0000,0000,0000,,我從來沒有聽過\N忍者會在空中飛行
Dialogue: Marked=0,0:01:58.08,0:01:58.91,Default,,0000,0000,0000,,白眼
Dialogue: Marked=0,0:02:22.40,0:02:23.70,Default,,0000,0000,0000,,不見蹤影了
Dialogue: Marked=0,0:02:23.81,0:02:26.90,Default,,0000,0000,0000,,但是鳴人說的是事實
Dialogue: Marked=0,0:02:27.01,0:02:30.77,Default,,0000,0000,0000,,竟然能運用查克拉在空中飛行\N也未免太厲害了吧
Dialogue: Marked=0,0:02:31.58,0:02:32.74,Default,,0000,0000,0000,,原來是真的呀
Dialogue: Marked=0,0:02:32.85,0:02:36.08,Default,,0000,0000,0000,,那當然啊\N難道妳不相信我說的話嗎
Dialogue: Marked=0,0:02:36.18,0:02:36.98,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:02:37.72,0:02:41.09,Default,,0000,0000,0000,,這是什麼話嘛\N我有那麼不值得信賴嗎
Dialogue: Marked=0,0:02:44.49,0:02:48.49,Default,,0000,0000,0000,,第179話\N夏日星 回憶中的搖籃曲
Dialogue: Marked=0,0:02:54.17,0:02:58.70,Default,,0000,0000,0000,,星忍者村裡的星星\N就是指隕石吧
Dialogue: Marked=0,0:03:01.64,0:03:02.44,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:03:07.72,0:03:09.58,Default,,0000,0000,0000,,第一代的星影
Dialogue: Marked=0,0:03:09.68,0:03:12.62,Default,,0000,0000,0000,,他們都是這麼稱呼村子裡的首領
Dialogue: Marked=0,0:03:13.82,0:03:20.23,Default,,0000,0000,0000,,就是他發現在星星旁修練\N查克拉就會跟著被強化
Dialogue: Marked=0,0:03:23.46,0:03:24.59,Default,,0000,0000,0000,,從那時候開始
Dialogue: Marked=0,0:03:24.70,0:03:29.23,Default,,0000,0000,0000,,星忍者村在忍者的村里之間\N也佔有舉足輕重的地位
Dialogue: Marked=0,0:03:30.07,0:03:32.01,Default,,0000,0000,0000,,可是這份文件裡提到
Dialogue: Marked=0,0:03:32.11,0:03:35.47,Default,,0000,0000,0000,,這十年來\N已經中止那種修練了耶
Dialogue: Marked=0,0:03:36.14,0:03:40.84,Default,,0000,0000,0000,,是那位第三代星影\N禁止了那種修練
Dialogue: Marked=0,0:03:40.95,0:03:42.35,Default,,0000,0000,0000,,但大約在一年前
Dialogue: Marked=0,0:03:42.45,0:03:45.89,Default,,0000,0000,0000,,那位星影身亡後\N又有人開始修練了
