[Script Info]
;  R3字幕提供: 沉默之羽 OCR: hejian981
Title: 未設定
Original Script: 未設定
Synch Point:0
ScriptType:v4.00
Collisions:Normal
PlayResX:640
PlayResY:480
Timer:100.0000

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.43,0:00:05.53,*Default,說話人,0000,0000,0000,,彈奏的旋律徘徊在這裡…
Dialogue: Marked=0,0:00:05.63,0:00:11.40,*Default,說話人,0000,0000,0000,,現在展開新的旅程
Dialogue: Marked=0,0:00:22.22,0:00:28.02,*Default,說話人,0000,0000,0000,,每當我們度過變化無常的季節
Dialogue: Marked=0,0:00:28.12,0:00:31.15,*Default,說話人,0000,0000,0000,,就會得到智慧與堅強
Dialogue: Marked=0,0:00:31.26,0:00:33.25,*Default,說話人,0000,0000,0000,,just looks like\Na survival game
Dialogue: Marked=0,0:00:33.36,0:00:39.16,*Default,說話人,0000,0000,0000,,在流逝的時間裡早已捨去的感情
Dialogue: Marked=0,0:00:39.27,0:00:43.57,*Default,說話人,0000,0000,0000,,讓我忘了那段遺忘已久的過去
Dialogue: Marked=0,0:00:45.81,0:00:50.68,*Default,說話人,0000,0000,0000,,開始崩潰時才知道何謂孤獨
Dialogue: Marked=0,0:00:51.45,0:00:55.94,*Default,說話人,0000,0000,0000,,邂逅之後我們不再孤單
Dialogue: Marked=0,0:00:56.05,0:01:01.28,*Default,說話人,0000,0000,0000,,釋放所有的情感與無限的思念
Dialogue: Marked=0,0:01:01.39,0:01:06.73,*Default,說話人,0000,0000,0000,,眼淚將會改變命運
Dialogue: Marked=0,0:01:06.83,0:01:12.49,*Default,說話人,0000,0000,0000,,心跳聲響徹黑暗我們會再見面
Dialogue: Marked=0,0:01:12.60,0:01:18.47,*Default,說話人,0000,0000,0000,,就在同樣傷痛的旗幟下
Dialogue: Marked=0,0:01:55.34,0:01:59.78,*Default,說話人,0000,0000,0000,,不打敗這些手下\N就見不到老大的盧山真面目
Dialogue: Marked=0,0:01:59.88,0:02:00.64,*Default,說話人,0000,0000,0000,,既然這樣…
Dialogue: Marked=0,0:02:02.75,0:02:06.91,*Default,說話人,0000,0000,0000,,第196話\N淚眼衝突熱血師徒對決
Dialogue: Marked=0,0:02:09.36,0:02:12.95,*Default,說話人,0000,0000,0000,,以為靠這玩意\N就能封殺我阿凱的明天嗎
Dialogue: Marked=0,0:02:13.86,0:02:17.82,*Default,說話人,0000,0000,0000,,所謂的青春\N就是突破擋在面前的所有障礙
Dialogue: Marked=0,0:02:17.93,0:02:20.92,*Default,說話人,0000,0000,0000,,只要有滿腔熱血跟努力\N就絕無辦不到的事
Dialogue: Marked=0,0:02:21.04,0:02:23.63,*Default,說話人,0000,0000,0000,,為了明天而出拳
Dialogue: Marked=0,0:02:28.28,0:02:30.90,*Default,說話人,0000,0000,0000,,難道我們沒有明天了嗎
Dialogue: Marked=0,0:02:32.51,0:02:38.15,*Default,說話人,0000,0000,0000,,這些木材以查克拉連結\N所以保有驚人的強度嗎
Dialogue: Marked=0,0:02:40.16,0:02:41.14,*Default,說話人,0000,0000,0000,,阿凱老師
Dialogue: Marked=0,0:02:41.76,0:02:42.98,*Default,說話人,0000,0000,0000,,矢倉
Dialogue: Marked=0,0:02:43.09,0:02:44.35,*Default,說話人,0000,0000,0000,,你平安無事嗎
Dialogue: Marked=0,0:02:48.23,0:02:51.03,*Default,說話人,0000,0000,0000,,我不是矢倉
Dialogue: Marked=0,0:02:55.37,0:02:58.46,*Default,說話人,0000,0000,0000,,我是龍堂院3兄弟長兄，幻將
Dialogue: Marked=0,0:02:59.07,0:03:00.80,*Default,說話人,0000,0000,0000,,我是次男，六角
Dialogue: Marked=0,0:03:00.91,0:03:02.24,*Default,說話人,0000,0000,0000,,三男，邪光
Dialogue: Marked=0,0:03:04.05,0:03:05.38,*Default,說話人,0000,0000,0000,,龍堂院
Dialogue: Marked=0,0:03:07.72,0:03:09.95,*Default,說話人,0000,0000,0000,,這個名字好耳熟哦
Dialogue: Marked=0,0:03:10.05,0:03:11.48,*Default,說話人,0000,0000,0000,,別說你不記得
Dialogue: Marked=0,0:03:13.25,0:03:15.09,*Default,說話人,0000,0000,0000,,我父親，也就是龍堂院阿奇拉
Dialogue: Marked=0,0:03:15.19,0:03:21.15,*Default,說話人,0000,0000,0000,,當年就是中了木葉忍者村忍者的\N卑鄙策略身受重傷
Dialogue: Marked=0,0:03:21.26,0:03:25.53,*Default,說話人,0000,0000,0000,,後來連任務也無法執行\N在灰心喪志中度過餘生
Dialogue: Marked=0,0:03:26.40,0:03:28.80,*Default,說話人,0000,0000,0000,,父親直到臨終前都還怨恨你
Dialogue: Marked=0,0:03:28.90,0:03:32.24,*Default,說話人,0000,0000,0000,,甚至在斷氣前還念著你的名字
Dialogue: Marked=0,0:03:32.34,0:03:36.17,*Default,說話人,0000,0000,0000,,他說\N「真想跟木葉忍者村的阿凱交手」
Dialogue: Marked=0,0:03:36.28,0:03:41.24,*Default,說話人,0000,0000,0000,,自從那天起我們3兄弟的目的\N就是殺了你替父親報仇
Dialogue: Marked=0,0:03:41.35,0:03:46.01,*Default,說話人,0000,0000,0000,,沒錯，我們早就虎視耽耽\N等著為父報仇了
Dialogue: Marked=0,0:03:47.56,0:03:49.25,*Default,說話人,0000,0000,0000,,原來是阿奇拉
Dialogue: Marked=0,0:03:50.66,0:03:53.63,*Default,說話人,0000,0000,0000,,那場戰鬥令我終身難忘
Dialogue: Marked=0,0:03:53.73,0:03:57.89,*Default,說話人,0000,0000,0000,,雖然在任務上的立場彼此敵對\N但是阿奇拉非常了不起
Dialogue: Marked=0,0:03:58.57,0:04:03.56,*Default,說話人,0000,0000,0000,,在我的對戰名勝負集全八卷之中
Dialogue: Marked=0,0:04:03.67,0:04:05.47,*Default,說話人,0000,0000,0000,,那是印象最深刻的一場決戰
Dialogue: Marked=0,0:04:10.14,0:04:12.48,*Default,說話人,0000,0000,0000,,那是一場男人與男人的戰鬥
Dialogue: Marked=0,0:04:18.49,0:04:21.68,*Default,說話人,0000,0000,0000,,是一場貴徹忍道\N光明磊落的對決
Dialogue: Marked=0,0:04:21.79,0:04:23.81,*Default,說話人,0000,0000,0000,,你們是否會錯意了
Dialogue: Marked=0,0:04:23.93,0:04:27.02,*Default,說話人,0000,0000,0000,,我不跟你們計較，快讓我出去吧
Dialogue: Marked=0,0:04:27.13,0:04:30.33,*Default,說話人,0000,0000,0000,,開玩笑，我要解父親心頭之恨
Dialogue: Marked=0,0:04:31.03,0:04:32.56,*Default,說話人,0000,0000,0000,,給你最後一擊了
Dialogue: Marked=0,0:04:54.39,0:04:55.48,*Default,說話人,0000,0000,0000,,小櫻小姐
Dialogue: Marked=0,0:04:56.49,0:04:59.76,*Default,說話人,0000,0000,0000,,我知道你一直站在那裡
Dialogue: Marked=0,0:04:59.86,0:05:03.89,*Default,說話人,0000,0000,0000,,火影大人擔心你練習過度\N要我過來看你
Dialogue: Marked=0,0:05:04.00,0:05:05.43,*Default,說話人,0000,0000,0000,,你有事隱瞞著我吧
Dialogue: Marked=0,0:05:06.77,0:05:08.07,*Default,說話人,0000,0000,0000,,沒有啊
Dialogue: Marked=0,0:05:10.51,0:05:12.67,*Default,說話人,0000,0000,0000,,小櫻小姐，你不擅長說謊
Dialogue: Marked=0,0:05:18.91,0:05:19.74,*Default,說話人,0000,0000,0000,,什麼？
Dialogue: Marked=0,0:05:28.56,0:05:30.89,*Default,說話人,0000,0000,0000,,納命來吧，阿凱\N我要為父親報仇
Dialogue: Marked=0,0:05:34.50,0:05:35.59,*Default,說話人,0000,0000,0000,,等一下
