[Script Info]
Title: Default Aegisub file
ScriptType: v4.00+
WrapStyle: 0
PlayResX: 640
PlayResY: 480
ScaledBorderAndShadow: yes
Video Aspect Ratio: 0
Video Zoom: 6
Video Position: 0

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,MS UI Gothic,30,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,1.5,1.5,2,10,10,10,0

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:21.07,0:00:25.28,Default,,0000,0000,0000,,（ホムラ）いったい何の騒ぎだ？\N
Dialogue: 0,0:00:25.28,0:00:30.16,Default,,0000,0000,0000,,（ダンゾウ）暁の攻撃が始まったんだ。\N（ホムラ）ダンゾウ。\N
Dialogue: 0,0:00:30.16,0:00:34.36,Default,,0000,0000,0000,,（コハル）暁の攻撃とは本当なのか？\N
Dialogue: 0,0:00:34.36,0:00:36.89,Default,,0000,0000,0000,,（ダンゾウ）ああ\N攻め込んできたのは→\N
Dialogue: 0,0:00:36.89,0:00:40.59,Default,,0000,0000,0000,,自来也を倒した暁のリーダー　ペイン。\N
Dialogue: 0,0:00:40.59,0:00:42.95,Default,,0000,0000,0000,,自来也を亡き者にしたうえで→\N
Dialogue: 0,0:00:42.95,0:00:47.00,Default,,0000,0000,0000,,すぐさま木ノ葉に\N自ら乗り込んできたというのか？\N
Dialogue: 0,0:00:47.00,0:00:49.02,Default,,0000,0000,0000,,ああ　ヤツらは→\N
Dialogue: 0,0:00:49.02,0:00:53.55,Default,,0000,0000,0000,,尾獣を集めるために\N人柱力を狩っている。\N
Dialogue: 0,0:00:53.55,0:00:57.26,Default,,0000,0000,0000,,砂の一尾を含め\Nすでに大半の人柱力が→\N
